"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Lamiaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26060	45204	"Ferry Lane"	51.51194	0.19444	145	"AWI"	145	3229	3704	3492	0	0	152	34	0	4	2	4	0	0	5	0	0	0	0	0	1	81	95	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	130	0	5	0	85	0	0	0	0	4	0	0	0	0	0	3	0	5	11	2	0
26060	45204	"Ferry Lane"	51.51194	0.19444	146	"AWI"	146	3238	3709	3496	0	0	161	26	0	1	2	5	0	0	5	0	2	0	0	0	0	74	68	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	121	0	2	0	95	0	0	1	0	2	0	0	1	0	0	4	0	10	11	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	147	"AWI"	147	3244	3715	3502	0	0	679	20	0	6	6	1	0	0	5	0	3	0	0	0	0	90	27	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	68	0	0	0	147	0	0	0	0	3	0	0	0	0	0	3	0	11	14	3	1
26060	45204	"Ferry Lane"	51.51194	0.19444	148	"AWI"	148	3249	3721	3507	0	1	764	23	0	3	15	7	0	0	3	0	0	0	0	0	0	119	7	0	1	0	1	1	8	0	1	0	0	0	0	0	0	0	2	6	0	0	40	0	0	0	130	0	0	0	0	1	0	0	0	0	0	2	0	21	19	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	149	"AWI"	149	3254	3726	3512	0	0	711	18	3	2	12	6	0	0	5	0	1	0	0	0	0	94	11	0	2	0	0	1	5	0	0	0	0	1	0	0	0	0	0	10	0	0	35	0	0	0	138	0	0	0	0	4	0	0	0	0	0	0	0	18	37	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	150	"AWI"	150	3259	3732	3517	0	2	417	23	0	3	11	3	0	0	6	0	0	0	0	0	0	106	12	0	0	0	0	0	14	0	2	0	1	0	0	0	0	0	0	4	0	0	21	0	2	0	157	0	0	1	0	1	0	0	0	0	2	0	0	23	16	2	1
26060	45204	"Ferry Lane"	51.51194	0.19444	151	"AWI"	151	3264	3738	3522	0	0	429	22	1	3	9	10	0	0	8	0	0	0	0	0	0	98	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	29	0	0	0	140	0	0	0	0	1	0	0	0	0	1	0	0	26	41	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	152	"AWI"	152	3268	3744	3528	0	0	1500	14	0	3	9	1	0	0	4	0	1	0	0	0	1	86	25	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	0	0	29	0	2	0	145	0	0	1	0	3	0	0	0	0	0	5	0	29	39	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	156	"AWI"	156	3298	3763	3548	0	0	529	11	0	0	6	5	0	0	8	0	0	0	0	0	0	130	2	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	7	0	0	25	1	0	0	133	0	0	0	0	4	0	0	0	0	1	0	0	24	33	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	160	"AWI"	160	3334	3777	3569	0	0	1620	14	0	1	9	1	0	0	6	0	1	0	0	0	0	104	19	0	2	0	0	0	2	0	7	0	0	0	0	0	0	2	0	11	0	0	28	0	0	0	127	0	0	1	0	1	0	0	0	0	6	1	0	25	40	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	168	"AWI"	168	3397	3802	3611	0	0	1964	18	0	1	11	0	0	0	3	0	1	0	0	0	0	122	14	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	39	0	0	0	99	0	0	0	0	3	0	0	0	0	1	0	0	23	54	0	1
26060	45204	"Ferry Lane"	51.51194	0.19444	176	"AWI"	176	3460	3840	3656	0	0	1094	4	0	1	2	1	0	0	2	0	1	0	0	0	0	110	4	0	0	0	1	0	13	0	1	0	0	0	0	0	0	0	0	6	0	0	54	0	0	0	130	0	0	0	0	3	2	0	0	0	1	0	0	20	28	3	0
26060	45204	"Ferry Lane"	51.51194	0.19444	184	"AWI"	184	3559	3891	3711	0	0	548	8	1	3	6	1	0	0	1	0	3	0	0	0	0	93	21	0	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	173	0	0	0	0	2	6	0	0	0	0	3	0	20	25	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	192	"AWI"	192	3602	3963	3768	0	0	433	5	0	2	5	0	0	0	3	1	1	0	0	0	0	53	12	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	12	0	0	70	0	1	0	184	0	0	0	0	8	1	0	0	1	1	4	0	18	16	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	200	"AWI"	200	3664	4105	3856	0	0	640	5	0	1	4	0	0	0	0	0	3	0	0	0	0	92	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	183	0	0	0	0	6	1	0	0	0	0	4	0	10	36	0	1
