"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	498	"AWI"	498	4459	5211	4876	0	0	2.1505376344086	0	0.268817204301075	0.537634408602151	0	7.52688172043011	0	0	0	14.247311827957	5.10752688172043	0	28.494623655914	1.61290322580645	0	0	0	0	1.34408602150538	1.34408602150538	1.61290322580645	0	0	0	26.8817204301075	0.806451612903226	0.268817204301075	0.537634408602151	0.268817204301075	0	0.268817204301075	0	3.2258064516129	3.49462365591398
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	506	"AWI"	506	4642	5406	5056	0.267379679144385	0	4.01069518716578	0	0.53475935828877	1.33689839572193	0	8.28877005347594	0	0.267379679144385	0	13.903743315508	4.81283422459893	0	18.9839572192513	3.47593582887701	0	0	0	0	1.8716577540107	0.53475935828877	1.60427807486631	0	2.67379679144385	0	25.668449197861	1.06951871657754	0	0	0.53475935828877	0	0.267379679144385	0.267379679144385	4.27807486631016	5.3475935828877
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	514	"AWI"	514	4842	5525	5250	0	0	2.48756218905473	0.248756218905473	0.248756218905473	1.24378109452736	0	50.4975124378109	0	0	0	19.4029850746269	0.746268656716418	0.248756218905473	3.73134328358209	0	0	0	0.497512437810945	0	0.497512437810945	1.24378109452736	1.24378109452736	0	0	0	10.4477611940298	0.497512437810945	0.248756218905473	0.497512437810945	0.248756218905473	0.248756218905473	0	0	3.98009950248756	1.49253731343284
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	522	"AWI"	522	5205	5636	5419	0	2.27920227920228	2.27920227920228	0	0	1.99430199430199	0	14.5299145299145	0	0	0	28.7749287749288	0	1.13960113960114	1.13960113960114	3.13390313390313	0	0.284900284900285	0.284900284900285	0	0.854700854700855	2.27920227920228	1.13960113960114	0	0	0	22.5071225071225	0.284900284900285	0	0	0.56980056980057	0	0	0.854700854700855	7.69230769230769	7.97720797720798
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	530	"AWI"	530	5428	6125	5717	0	1.15606936416185	4.6242774566474	0.192678227360308	1.54142581888247	0.385356454720617	0	3.85356454720617	0	0	0	34.2967244701349	2.3121387283237	0.192678227360308	0.385356454720617	4.43159922928709	0	0.192678227360308	0	0	1.54142581888247	1.73410404624277	0.963391136801541	0	1.34874759152216	0	20.0385356454721	2.50481695568401	0.192678227360308	0.192678227360308	0.770712909441233	0	0	0.385356454720617	6.74373795761079	10.019267822736
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	538	"AWI"	538	5653	6698	6091	0.304878048780488	1.82926829268293	1.52439024390244	0.304878048780488	1.21951219512195	1.82926829268293	0	9.75609756097561	0	0	0	20.1219512195122	2.74390243902439	0	0	11.5853658536585	0	0.304878048780488	0	0	0.914634146341463	1.82926829268293	2.74390243902439	0	0	0	20.7317073170732	3.65853658536585	0.304878048780488	0.609756097560976	0	0	0	0.304878048780488	6.09756097560976	11.280487804878
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	546	"AWI"	546	5983	6984	6496	1.2779552715655	2.55591054313099	3.83386581469649	0	0.638977635782748	1.2779552715655	0	6.38977635782748	0	0	0	30.0319488817891	1.59744408945687	0	0.319488817891374	4.79233226837061	0	0	0	0	0	1.91693290734824	1.91693290734824	0	0	0	25.5591054313099	3.51437699680511	0	0.319488817891374	0	0.958466453674121	0.319488817891374	0.638977635782748	1.2779552715655	10.8626198083067
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	554	"AWI"	554	6468	7202	6895	0	0	3.52422907488987	1.3215859030837	0.440528634361234	2.6431718061674	2.20264317180617	6.16740088105727	0	0.440528634361234	0	19.8237885462555	4.84581497797357	0	0	0	0	0	0	0	0	7.9295154185022	7.9295154185022	0	4.84581497797357	0	23.3480176211454	0.440528634361234	0	1.3215859030837	0.440528634361234	1.3215859030837	0	0.440528634361234	3.9647577092511	6.6079295154185
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	562	"AWI"	562	6838	7378	7132	0	0	2.51572327044025	0	1.25786163522013	0.628930817610063	0	19.4968553459119	0	0	0	27.0440251572327	2.20125786163522	0.314465408805031	1.88679245283019	1.25786163522013	0	0	0.314465408805031	0	0.943396226415094	1.88679245283019	5.0314465408805	0	0	0	17.9245283018868	1.88679245283019	0	0.314465408805031	0.314465408805031	0.314465408805031	0.314465408805031	0	6.28930817610063	7.86163522012579
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	570	"AWI"	570	6991	7621	7318	0	0	0.851063829787234	1.27659574468085	0.425531914893617	4.68085106382979	0	1.27659574468085	0.425531914893617	0	0	31.063829787234	7.23404255319149	0.425531914893617	0	0	0	0	0	0	0	12.7659574468085	4.25531914893617	0	9.78723404255319	0	16.1702127659574	0	0	0	0	1.70212765957447	1.27659574468085	0.425531914893617	0.425531914893617	5.53191489361702
