"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24189	42570	"Bruckmisse"	48.730522	8.642734	46	"AWI"	46	3985	4486	4321	1.72744721689059	0	1.34357005758157	0	0	0	1.15163147792706	0	0	1.91938579654511	0	0	0	0	0	0	9.98080614203455	2.30326295585413	22.6487523992322	0	0	27.447216890595	0	0.959692898272553	0	0	0	0	0.191938579654511	0	0	0	0.383877159309021	1.53550863723608	0.191938579654511	0.959692898272553	1.53550863723608	0	0	0	0	0	8.82917466410749	0	0	0	0.191938579654511	0	0	0	0	0	0	9.98080614203455	6.52591170825336	0.191938579654511	0
24189	42570	"Bruckmisse"	48.730522	8.642734	48	"AWI"	48	4424	4635	4523	18.0469715698393	0	7.66378244746601	0	0	0	0	0.370828182941904	0	8.03461063040791	0	0	0	0	0	0.123609394313968	18.7886279357231	0.865265760197775	3.58467243510507	0	0	6.67490729295426	0	0.741656365883807	0	0	0.247218788627936	0	0	0	0	0	0	0.618046971569839	0.370828182941904	16.4400494437577	0	0	0	0	0	0	12.1137206427689	0	0	0	0	0	0	0	0	0	0	4.07911001236094	1.23609394313968	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	50	"AWI"	50	4474	5206	4713	8.00970873786408	0.121359223300971	9.46601941747573	0	0	0	0.121359223300971	0.485436893203883	0	10.4368932038835	0	0	0	0	0	0	18.5679611650485	0	2.30582524271845	0	0	4.36893203883495	0.121359223300971	0.849514563106796	0	0	0	0	0	0	0	0	0	0.121359223300971	0.606796116504854	29.247572815534	0	0	0	0.121359223300971	0	0.121359223300971	11.4077669902913	0	0	0	0	0	0	0	0	0	0	2.06310679611651	1.09223300970874	0.364077669902913	0
24189	42570	"Bruckmisse"	48.730522	8.642734	52	"AWI"	52	4553	5280	4861	20.6939281288724	0.123915737298637	6.31970260223048	0	0	0	0	0.247831474597274	0	6.07187112763321	0	0	0	0	0	0	7.93060718711276	0	3.84138785625774	0	0	24.5353159851301	0	0.247831474597274	0	0	0	0	0	0	0	0	0	0.495662949194548	0.867410161090459	21.4374225526642	0	0	0	0	0	0	5.57620817843866	0	0	0	0	0.123915737298637	0	0	0	0	0	0.867410161090459	0.619578686493185	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	54	"AWI"	54	4594	5407	5009	16.6666666666667	0	9.73084886128364	0	0	0	0	0.10351966873706	0	6.41821946169772	0	0	0	0	0	0	13.5610766045549	0.41407867494824	4.1407867494824	0	0	21.9461697722567	0	1.34575569358178	0.10351966873706	0	0.10351966873706	0	0	0	0	0	0	0.5175983436853	0.72463768115942	13.871635610766	0	0	0	0	0	0	7.97101449275362	0	0	0.10351966873706	0	0.10351966873706	0	0.10351966873706	0	0	0	1.24223602484472	0.82815734989648	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	56	"AWI"	56	4703	5555	5153	9.40959409594096	0	10.3321033210332	0	0	0	0	0.18450184501845	0	6.27306273062731	0	0	0	0	0	0	18.2656826568266	1.29151291512915	0	0	0	11.4391143911439	0	2.76752767527675	0	0	0	0	0	0	0	0	0	0	0.55350553505535	15.1291512915129	0	0	0	0	0	0	16.2361623616236	0	0	0.18450184501845	0	0.18450184501845	0	0	0	0	0	4.0590405904059	3.690036900369	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	58	"AWI"	58	4836	5668	5299	12.3339658444023	0.379506641366224	6.83111954459203	0	0	0	0	0	0	6.64136622390892	0	0	0	0	0	0	18.9753320683112	0.569259962049336	1.70777988614801	0	0	9.29791271347248	0	3.60531309297913	0	0	0.189753320683112	0	0	0	0	0	0	0.379506641366224	0	11.3851992409867	0	0	0	0.189753320683112	0	0	19.3548387096774	0	0	0	0	0	0	0.189753320683112	0	0	0	4.17457305502846	3.79506641366224	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	60	"AWI"	60	4915	5832	5458	8.18181818181818	0	5.63636363636364	0.181818181818182	0	0	0.181818181818182	0.727272727272727	0	7.09090909090909	0	0	0	0.181818181818182	0	0	22.3636363636364	0.181818181818182	5.63636363636364	0.181818181818182	0	6.36363636363636	0	2.18181818181818	0	0	0	0	0	0	0	0	0	0	0.727272727272727	13.0909090909091	0	0	0	0	0	0	17.6363636363636	0	0	0	0	0	0	0	0	0	0	4.72727272727273	4.72727272727273	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	62	"AWI"	62	5183	5881	5587	0.32	0.64	8	0	0.16	0	0	0.32	0	6.4	0.16	0	0	0	0	0	19.2	0.16	4	0.16	0	1.76	0	7.04	0	0	0	0	0	0	0	0	0.16	0	0.48	8.48	0	0	0	0.32	0	0	27.52	0	0.32	0	0	0	0	0	0	0.16	0	8.64	5.6	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	64	"AWI"	64	5365	5954	5728	2.73752012882448	0.161030595813205	6.92431561996779	0	0	0	0	0.805152979066022	0	6.44122383252818	0	0	0	0	0	0	27.8582930756844	0.966183574879227	0	0	0	4.50885668276973	0.161030595813205	4.02576489533011	0	0	0	0	0	0	0	0	0	0	0.966183574879227	5.79710144927536	0	0	0	0	0	0	24.1545893719807	0	0	0	0	0	0	0	0	0	0	7.40740740740741	6.92431561996779	0.161030595813205	0
24189	42570	"Bruckmisse"	48.730522	8.642734	66	"AWI"	66	5566	6048	5842	0	0	1.75054704595186	0.656455142231947	0	0	3.28227571115974	0.656455142231947	0	1.53172866520788	0	0	0	0	0	0	21.0065645514223	0.218818380743982	0	0	0	3.50109409190372	0	0.656455142231947	0	0	0	0	0	0	0	0	0	0.218818380743982	0.218818380743982	0.87527352297593	0	0	0	0	0	0	3.7199124726477	0	0	0.218818380743982	0	0	0	0	0	0	0	44.2013129102845	17.2866520787746	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	68	"AWI"	68	5828	6095	5935	5.19230769230769	0.192307692307692	3.07692307692308	0	0	0	0.384615384615385	0.384615384615385	0	3.84615384615385	0	0	0	0	0	0	18.0769230769231	0.961538461538462	3.07692307692308	0	0	3.46153846153846	0	1.92307692307692	0	0	0	0	0	0	0	0	0	0.192307692307692	1.73076923076923	15.3846153846154	0	0	0	0	0	0	20.7692307692308	0	0	0	0	0	0	0.192307692307692	0	0	0	13.0769230769231	8.07692307692308	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	72	"AWI"	72	5965	6310	6107	1.42348754448399	0.533807829181495	7.29537366548043	0	0	0	0	0	0	4.62633451957295	0	0	0	0	0	0	31.6725978647687	0.177935943060498	0	0	0	2.66903914590747	0	1.24555160142349	0	0	0	0	0	0	0	0	0	0.177935943060498	0.355871886120996	11.5658362989324	0	0	0	0.177935943060498	0	0	22.4199288256228	0	0	0	0	0	0	0	0	0	0	9.9644128113879	5.69395017793594	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	76	"AWI"	76	6023	6519	6222	4.45632798573975	0.17825311942959	2.49554367201426	0.17825311942959	0	0	0	0	0	4.09982174688057	0	0	0.17825311942959	0	0	0	21.5686274509804	1.06951871657754	3.20855614973262	0	0	4.09982174688057	0	3.92156862745098	0	0	0	0	0	0	0	0	0	0	0.35650623885918	11.7647058823529	0	0	0	0.17825311942959	0.35650623885918	0	24.9554367201426	0	0	0	0	0	0	0	0	0	0	6.41711229946524	10.5169340463458	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	78	"AWI"	78	6056	6587	6285	1.21951219512195	0	3.83275261324042	0	0	0	0.174216027874564	0.348432055749129	0	5.74912891986063	0	0	0	0	0	0	22.1254355400697	0.348432055749129	5.57491289198606	0	0	5.92334494773519	0	0.871080139372822	0	0	0	0	0	0	0	0	0	0	0.174216027874564	6.27177700348432	0	0	0	0	0	0	25.7839721254355	0	0	0	0	0	0	0	0	0	0.174216027874564	12.3693379790941	9.05923344947735	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	82	"AWI"	82	6134	6739	6409	3.69747899159664	0.336134453781513	7.05882352941176	0	0	0	0	0	0	8.0672268907563	0	0	0	0	0	0	17.1428571428571	1.51260504201681	3.36134453781513	0	0	5.88235294117647	0	3.36134453781513	0	0	0	0	0	0	0	0	0	0.168067226890756	0.168067226890756	13.4453781512605	0	0	0	0	0.168067226890756	0	20.1680672268908	0	0	0	0	0	0	0	0	0	0	9.57983193277311	5.88235294117647	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	88	"AWI"	88	6281	6913	6594	2.5974025974026	0.324675324675325	8.92857142857143	0	0	0	0.324675324675325	0.487012987012987	0	6.98051948051948	0	0	0	0	0	0	23.538961038961	0.649350649350649	1.78571428571429	0	0	3.73376623376623	0	2.92207792207792	0	0	0	0	0	0	0	0	0	0	0.487012987012987	10.7142857142857	0	0	0	0	0	0	25.6493506493506	0	0	0.162337662337662	0	0.162337662337662	0	0	0	0	0	6.33116883116883	4.22077922077922	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	92	"AWI"	92	6405	7001	6717	0.444444444444444	0.296296296296296	4.88888888888889	0	0	0	0	0.888888888888889	0	7.11111111111111	0	0	0.148148148148148	0	0	0	25.6296296296296	10.3703703703704	0	0	0	1.03703703703704	0	5.92592592592593	0	0	0	0	0	0	0	0	0	0	0.148148148148148	7.55555555555556	0	0	0	0.148148148148148	0.148148148148148	0	24.1481481481481	0	0	0	0.296296296296296	0.296296296296296	0	0	0	0	0	6.66666666666667	3.85185185185185	0	0
