"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Juniperus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
22660	39364	"Logylet"	56.29419	14.98368	991	"AWI"	991	12626	13295	12955	6	38	2	107	0	459	0	0	5	2	124	0	0	0	0	0	144	0	0	1	2	239	0	0	0	0	1	1	0	816	38	113	0	0	0	0	5
22660	39364	"Logylet"	56.29419	14.98368	994	"AWI"	994	12726	13369	13044	0	12	5	41	0	340	0	0	1	2	64	0	0	0	0	0	54	0	0	0	2	370	0	0	0	0	1	1	0	2	18	77	0	2	0	0	3
22660	39364	"Logylet"	56.29419	14.98368	996	"AWI"	996	12797	13417	13100	2	14	0	20	0	872	0	0	0	3	116	0	0	0	0	0	81	0	0	0	2	444	0	0	0	9	2	0	0	3	12	100	0	3	0	1	15
22660	39364	"Logylet"	56.29419	14.98368	998	"AWI"	998	12863	13469	13157	2	10	1	16	0	606	0	0	0	1	84	1	0	0	0	0	87	0	0	0	2	541	0	0	0	1	1	2	0	1	7	59	2	2	0	0	9
22660	39364	"Logylet"	56.29419	14.98368	1001	"AWI"	1001	12968	13546	13242	4	17	0	18	0	419	1	0	1	8	123	0	0	0	0	0	83	0	0	0	2	549	0	0	0	0	0	0	0	1	12	76	0	6	0	4	23
22660	39364	"Logylet"	56.29419	14.98368	1004	"AWI"	1004	13068	13624	13330	10	18	0	27	0	313	0	0	0	4	65	0	0	0	0	0	40	0	0	0	3	437	0	0	0	0	1	0	0	3	2	72	0	0	0	0	12
22660	39364	"Logylet"	56.29419	14.98368	1007	"AWI"	1007	13155	13727	13415	3	13	0	18	0	379	0	0	0	4	80	0	0	0	0	0	32	0	0	0	3	511	0	98	0	0	0	0	0	3	7	80	0	7	0	0	14
22660	39364	"Logylet"	56.29419	14.98368	1010	"AWI"	1010	13240	13814	13501	5	14	1	26	0	386	0	0	1	8	89	0	0	0	0	0	35	0	0	0	1	372	0	0	0	0	1	2	0	1	6	60	0	3	0	1	13
22660	39364	"Logylet"	56.29419	14.98368	1013	"AWI"	1013	13322	13903	13588	2	13	1	12	0	360	0	0	0	2	88	0	0	0	0	0	45	0	0	0	3	461	0	0	0	1	0	0	0	2	15	48	0	5	0	2	7
22660	39364	"Logylet"	56.29419	14.98368	1016	"AWI"	1016	13401	13989	13673	1	8	0	13	0	288	0	6	2	5	89	0	0	0	0	1	34	0	0	0	2	451	0	0	0	0	0	1	0	1	13	59	0	0	0	1	10
22660	39364	"Logylet"	56.29419	14.98368	1019	"AWI"	1019	13479	14093	13758	1	6	0	15	0	323	0	0	1	2	113	0	0	0	0	0	39	0	0	1	1	389	0	0	0	0	1	0	0	4	6	85	0	3	1	1	6
22660	39364	"Logylet"	56.29419	14.98368	1021	"AWI"	1021	13527	14157	13815	2	11	1	32	0	503	0	0	1	1	105	0	0	0	0	0	44	0	0	0	2	445	0	93	0	0	0	0	0	0	9	96	0	0	0	0	15
22660	39364	"Logylet"	56.29419	14.98368	1023	"AWI"	1023	13575	14223	13873	3	22	2	39	0	312	0	0	1	5	156	0	0	0	0	0	68	1	0	1	1	519	0	0	0	1	1	0	0	2	13	103	0	4	1	1	3
22660	39364	"Logylet"	56.29419	14.98368	1025	"AWI"	1025	13625	14298	13931	4	10	0	7	0	317	0	0	1	5	106	2	0	0	0	0	61	0	0	0	2	441	0	0	0	0	1	0	0	1	22	56	0	1	0	1	14
22660	39364	"Logylet"	56.29419	14.98368	1027	"AWI"	1027	13682	14360	13990	5	8	0	20	0	296	0	0	0	4	142	0	0	0	0	0	56	0	0	0	3	546	0	0	0	0	2	0	0	4	7	79	0	4	0	0	6
22660	39364	"Logylet"	56.29419	14.98368	1029	"AWI"	1029	13733	14428	14048	10	14	0	28	0	332	0	0	1	9	122	1	0	0	0	0	70	0	0	0	21	315	0	0	0	1	1	0	0	7	7	95	0	2	0	1	5
22660	39364	"Logylet"	56.29419	14.98368	1031	"AWI"	1031	13785	14493	14107	12	25	0	43	0	450	0	0	3	9	117	1	0	0	0	0	73	0	0	0	4	250	0	60	0	0	1	0	0	9	13	161	0	4	1	2	8
22660	39364	"Logylet"	56.29419	14.98368	1033	"AWI"	1033	13835	14549	14165	10	12	1	31	0	218	0	0	2	4	139	1	0	0	0	0	18	1	0	0	5	243	0	0	0	0	0	1	0	5	16	126	0	5	0	0	2
22660	39364	"Logylet"	56.29419	14.98368	1035	"AWI"	1035	13884	14612	14221	12	25	1	48	0	223	0	0	0	0	103	0	0	0	0	0	41	0	0	1	3	72	0	0	0	0	1	0	0	2	7	135	0	2	0	0	2
22660	39364	"Logylet"	56.29419	14.98368	1037	"AWI"	1037	13939	14675	14280	13	15	1	18	0	60	0	0	1	24	271	1	0	0	1	0	5	2	0	1	17	145	0	23	0	0	0	0	0	7	3	338	0	1	0	8	1
