"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
3114	4056	"Le Fourneau"	48.44444	-0.19167	87	"AWI"	87	6291	7379	6748	0	0	223	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	29	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0	0	0	0	1	0	2	1	0	0	0	0	18	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	90	"AWI"	90	6421	8813	7341	0	0	113	0	1	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	59	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	2	1	0	1	0	0	34	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	92	"AWI"	92	6785	9039	7822	0	0	134	0	0	1	2	0	20	1	0	0	0	0	0	1	0	0	0	0	70	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	0	0	0	0	0	0	2	0	0	1	0	0	27	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	94	"AWI"	94	6983	9388	8317	0	0	85	1	1	2	5	0	29	0	0	0	0	0	0	1	0	0	0	0	90	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	0	0	0	39	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	96	"AWI"	96	7490	9722	8712	0	0	78	1	3	0	15	0	25	0	0	0	0	7	0	2	0	1	0	0	85	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	3	1	2	0	0	0	29	2	2	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	98	"AWI"	98	8180	9863	9111	0	0	38	2	6	0	10	0	45	0	0	0	0	0	0	2	0	0	0	0	59	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	2	0	6	0	1	0	0	2	18	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	100	"AWI"	100	8589	10137	9555	0	0	36	0	2	0	18	0	34	0	0	0	0	0	0	0	0	0	0	0	111	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	5	0	0	0	0	1	12	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	102	"AWI"	102	9475	10314	9909	0	0	6	1	1	0	14	0	42	0	0	0	0	0	0	1	0	0	0	0	76	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	7	0	0	0	0	0	8	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	104	"AWI"	104	9799	10828	10273	0	0	1	1	6	0	23	0	16	12	0	0	0	0	0	2	0	0	0	0	0	1	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	1	0	0	3	3	2	0	1	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	106	"AWI"	106	10076	11364	10604	0	0	1	0	3	0	18	0	6	3	0	0	0	0	0	2	0	2	0	0	0	2	268	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	0	2	1	0	0	0	0
