"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
16093	24840	"Le Gesvres"	47.27222	-1.59583	350	"AWI"	350	1179	1959	1488	0	1	13	2	3	1	1	2	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	50	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	11	2	4	0	0	0	0	0	0	2	36	0	91	0	0	0	0	22	0	0	0	0	0	2	12	14	0	0	6	0	0	22	2	2	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	360	"AWI"	360	1445	2163	1731	0	0	24	2	3	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	9	0	0	74	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	22	0	1	0	0	0	0	2	11	0	0	0	0	0	0	66	0	0	0	1	0	0	0	5	0	0	0	0	0	31	1	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	380	"AWI"	380	2026	2587	2261	2	2	158	2	0	2	2	0	0	3	0	0	0	0	4	0	0	0	0	1	30	0	2	30	0	0	1	0	0	9	0	0	0	1	1	1	1	0	0	0	0	2	0	2	0	0	0	0	3	8	0	21	0	0	0	1	68	0	0	0	0	0	0	0	11	0	0	3	0	0	0	8	3	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	390	"AWI"	390	2311	2807	2524	2	0	78	2	0	2	3	0	0	12	0	0	0	0	3	0	0	0	0	1	14	0	0	28	0	0	0	0	0	6	3	0	0	0	0	0	1	0	0	0	0	3	0	3	0	0	0	0	3	2	0	9	0	0	0	1	68	0	5	0	2	0	0	0	58	0	0	0	0	0	0	3	3	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	405	"AWI"	405	2726	3156	2923	2	0	48	2	2	2	2	0	0	22	0	0	0	0	0	0	0	0	0	0	14	0	2	42	0	0	0	0	0	4	2	0	0	0	0	2	3	0	0	2	3	2	0	0	0	0	0	0	2	3	0	27	0	0	0	2	100	0	0	0	0	0	0	0	7	0	0	1	0	0	0	4	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	410	"AWI"	410	2860	3278	3054	0	1	98	2	0	3	2	1	0	12	0	0	0	0	4	0	0	0	0	0	34	0	0	12	0	4	0	0	0	6	4	0	0	1	0	1	0	0	0	2	0	5	0	0	0	0	0	0	3	3	0	25	0	0	0	0	104	0	4	0	0	0	0	0	2	0	1	3	0	0	0	5	2	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	415	"AWI"	415	2990	3406	3186	0	1	78	2	0	2	0	0	0	4	0	0	0	0	3	0	0	0	0	0	34	0	0	30	1	0	1	0	0	4	0	0	0	2	0	1	0	0	0	0	0	6	0	0	0	0	0	0	2	2	0	24	0	0	0	0	100	0	0	0	0	0	0	0	6	0	0	1	0	0	0	4	3	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	425	"AWI"	425	3249	3664	3449	0	2	61	2	0	2	3	0	0	2	0	0	0	0	4	0	0	0	0	0	73	0	0	6	0	4	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	3	0	1	0	0	0	0	2	5	0	21	0	0	0	0	95	0	6	0	2	0	0	0	9	0	0	3	0	0	0	5	3	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	440	"AWI"	440	3624	4075	3844	0	0	40	2	0	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	37	0	0	40	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	2	2	0	0	33	0	0	0	1	123	0	0	0	1	0	0	0	3	0	0	1	0	0	0	11	0	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	445	"AWI"	445	3741	4218	3975	0	3	49	2	3	5	3	1	0	3	0	1	0	0	0	0	0	0	0	0	55	0	0	13	0	0	0	0	0	4	2	0	0	0	1	2	0	0	0	2	1	4	0	5	0	0	0	0	2	3	0	23	0	0	0	0	124	0	0	0	0	0	1	0	5	0	2	2	0	2	0	5	2	0	0	2
