"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	86	"AWI"	86	718	1539	1167	0	0.267379679144385	0.267379679144385	0	0.267379679144385	0	0	0	0	0	0.267379679144385	0	0	0	0	1.60427807486631	0	3.74331550802139	0	0	0.267379679144385	0.267379679144385	0.267379679144385	0	0	0	0.267379679144385	1.33689839572193	0	0	0	87.4331550802139	0	0	0.267379679144385	0.267379679144385	0	1.60427807486631	0.267379679144385	0.267379679144385	0	0	0	0.267379679144385	0.802139037433155	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	88	"AWI"	88	758	1583	1251	0	0	0	0	0.227272727272727	0	0	0	0	0.454545454545455	0	0	0	0	0	0	0	9.31818181818182	0	0	0	0	0	0.227272727272727	0	0	0	0.454545454545455	0	0	0	83.8636363636364	0	0	0	0	0	2.72727272727273	0.681818181818182	0.227272727272727	0	0	0.909090909090909	0.909090909090909	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	92	"AWI"	92	900	1701	1398	0	0	0	0	0.954653937947494	0	0	0	0	0.238663484486874	0	0	0	0	0	0	0	4.05727923627685	0	0	0	0	0.477326968973747	0.715990453460621	0	0	0	0	0	0	0.238663484486874	87.1121718377088	0	0	0	0	0	3.34128878281623	0.238663484486874	0.238663484486874	0	0	1.19331742243437	0.238663484486874	0.238663484486874	0	0.238663484486874	0	0.238663484486874	0	0.238663484486874
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	96	"AWI"	96	1257	1730	1538	0	0	0	0	1.26262626262626	0	0	0	0	0.252525252525253	0	0	0	0	0	0.252525252525253	0	2.27272727272727	0	0	0	0	0.252525252525253	0.505050505050505	0	0	0	0	0	0	0.252525252525253	90.1515151515152	0	0	0	0.252525252525253	0	2.02020202020202	0.252525252525253	0.252525252525253	0	0	0.252525252525253	1.01010101010101	0.505050505050505	0	0	0.252525252525253	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	100	"AWI"	100	1545	1781	1685	0	0	0	0	0.945626477541371	0	0	0	0	0.236406619385343	0	0	0	0	0	0	0	3.07328605200946	0	0	0	0	0.472813238770686	0.945626477541371	0	0	0	0	0	0.236406619385343	0	88.1796690307329	0	0	0	0	0	2.83687943262411	0.236406619385343	0.709219858156028	0	0	0.472813238770686	0.709219858156028	0.945626477541371	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	104	"AWI"	104	1644	1824	1746	0	0	0	0	0.239234449760766	0	0	0	0	0.239234449760766	0	0	0	0.717703349282297	0.478468899521531	0.239234449760766	0	4.30622009569378	0	0	0	0	0.239234449760766	0.239234449760766	0	0	0	0.239234449760766	0	0	0	86.3636363636364	0	0	0	0	0	3.82775119617225	0.478468899521531	0.717703349282297	0	0	0	1.19617224880383	0.239234449760766	0	0	0.239234449760766	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	108	"AWI"	108	1697	1866	1777	0	0	0	0	0.704225352112676	0	0	0	0	0.469483568075117	0	0	0	0	0.234741784037559	0	0	4.92957746478873	0	0	0	0	0	0.704225352112676	0	0	0	0	0	0	0	85.9154929577465	0	0	0	0	0	3.28638497652582	0.469483568075117	0.938967136150235	0	0	0.469483568075117	0.704225352112676	0.469483568075117	0.469483568075117	0	0.234741784037559	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	110	"AWI"	110	1715	1897	1794	0	0	0	0	0.268096514745308	0	0	0	0	0.268096514745308	0	0	0	0	0	0.536193029490617	0	3.75335120643432	0	0	0	0	0	0.268096514745308	0	0	0	1.07238605898123	0	0	0.536193029490617	83.6461126005362	0	0	0	0.268096514745308	0	6.16621983914209	0.804289544235925	0.804289544235925	0	0	0.536193029490617	0.536193029490617	0	0	0	0.536193029490617	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	112	"AWI"	112	1737	1927	1817	0	0	0	0	0.66079295154185	0	0	0	0	0.220264317180617	0	0	0	0	0.220264317180617	0.66079295154185	0	3.9647577092511	0	0	0	0	0	0.220264317180617	0	0	0	0.440528634361234	0	0.220264317180617	0.220264317180617	86.3436123348018	0	0	0	0	0	3.9647577092511	0.66079295154185	0.440528634361234	0	0	0	0.881057268722467	0.66079295154185	0	0	0.220264317180617	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	116	"AWI"	116	1766	2018	1875	0	0	0	0	0.763358778625954	0	0	0	0	0	0	0	0	0	0	0	0	4.83460559796438	0	0	0	0	0	0	0	0	0	0	0	0	0	90.5852417302799	0	0	0	0	0	2.29007633587786	0.254452926208651	0	0	0	0.254452926208651	0.763358778625954	0.254452926208651	0	0	0	0	0	0
