"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
3180	4136	"Kangerjoki"	66.12667	28.99524	55	"AWI"	55	5516	6707	6041	97	1	1	0	0	1685	0	0	0	0	0	54	91	19	0	0	0	4	1	12	2	11	495	0	0	4	0	0	0	0	3	0	2	1	1	0	7	0
3180	4136	"Kangerjoki"	66.12667	28.99524	61	"AWI"	61	5936	7126	6540	57	0	0	1	0	1428	0	0	0	0	1	25	42	0	0	0	0	1	0	0	0	1	521	0	0	0	0	0	0	0	3	0	0	0	0	0	4	1
3180	4136	"Kangerjoki"	66.12667	28.99524	65	"AWI"	65	6212	7395	6874	106	0	0	1	0	1236	1	0	0	0	0	70	37	0	0	0	0	1	0	0	0	2	374	0	0	0	0	0	0	0	2	0	1	0	0	0	13	0
3180	4136	"Kangerjoki"	66.12667	28.99524	71	"AWI"	71	6823	7668	7330	41	0	0	2	0	512	0	0	0	0	0	7	50	5	0	0	0	0	0	0	0	1	430	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0
3180	4136	"Kangerjoki"	66.12667	28.99524	75	"AWI"	75	7013	8115	7552	101	0	0	0	0	802	0	0	0	0	0	19	66	29	0	1	0	3	0	3	0	2	855	0	0	2	0	0	0	0	2	0	0	0	1	0	7	0
3180	4136	"Kangerjoki"	66.12667	28.99524	80	"AWI"	80	7238	8524	7834	27	0	1	1	0	603	0	2	0	0	0	4	117	0	0	0	0	1	0	2	0	1	749	0	0	0	0	0	1	0	2	0	1	0	0	1	0	1
3180	4136	"Kangerjoki"	66.12667	28.99524	85	"AWI"	85	7482	8866	8129	13	0	0	0	0	186	0	0	1	0	0	4	73	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0
3180	4136	"Kangerjoki"	66.12667	28.99524	91	"AWI"	91	7814	9216	8488	0	0	4	2	0	336	0	0	0	1	0	0	296	0	0	0	0	2	0	2	0	0	114	0	0	0	0	0	0	0	13	0	0	0	1	0	1	0
3180	4136	"Kangerjoki"	66.12667	28.99524	95	"AWI"	95	8034	9501	8728	0	0	3	2	0	419	0	0	0	1	0	0	206	0	0	0	0	0	0	1	0	0	110	0	0	0	0	0	0	0	8	0	2	0	0	0	4	0
3180	4136	"Kangerjoki"	66.12667	28.99524	100	"AWI"	100	8383	9791	9023	0	0	0	3	0	454	0	0	0	0	0	2	260	0	0	0	0	0	0	2	0	0	39	0	0	0	0	0	0	0	7	0	1	0	0	0	1	0
3180	4136	"Kangerjoki"	66.12667	28.99524	105	"AWI"	105	8763	10091	9316	0	0	0	2	0	225	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	9	2	0	0	0	0	1	0
3180	4136	"Kangerjoki"	66.12667	28.99524	107	"AWI"	107	8899	10329	9493	0	0	0	1	0	510	0	0	0	0	0	0	431	0	0	0	1	2	0	0	0	0	19	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	108	"AWI"	108	8952	10523	9577	0	0	0	0	0	356	0	0	0	3	0	0	253	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	109	"AWI"	109	8998	10747	9658	0	0	0	2	0	312	0	0	0	0	0	0	201	0	1	0	0	1	0	0	0	0	12	0	0	0	0	0	0	1	22	0	0	0	0	0	2	0
3180	4136	"Kangerjoki"	66.12667	28.99524	110	"AWI"	110	9040	10984	9737	0	0	0	1	0	147	0	0	0	0	0	0	57	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0
