"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3235	4201	"Lignin Lake"	44.10417	6.70861	95	"AWI"	95	8832	9610	9205	59	0	23	1	5	0	13	12	5	0	0	0	1	0	3	0	2	41	0	26	0	1	2	1	4	0	0	0	0	0	0	0	2	5	0	1	2	0	0	0	0	0	2	0	0	30	1	7	0	1	1	0	0	1	1	0	1	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	100	"AWI"	100	8947	9695	9316	50	0	25	4	10	0	20	13	3	0	0	0	0	0	4	0	1	42	0	19	0	1	5	2	6	0	4	2	0	0	1	0	2	1	0	1	0	0	0	0	0	0	2	0	0	48	0	6	0	0	7	1	0	2	5	2	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	105	"AWI"	105	9055	9792	9424	45	0	33	3	17	0	20	20	2	0	0	3	1	0	5	0	0	57	0	22	0	0	3	1	4	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	5	0	0	33	0	5	0	0	5	3	0	0	4	6	5	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	110	"AWI"	110	9163	9892	9535	49	1	16	5	12	0	18	14	2	0	0	1	0	0	5	0	0	62	0	23	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	1	0	145	0	0	0	0	1	3	0	38	0	4	0	1	1	2	0	3	0	5	1	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	115	"AWI"	115	9276	9980	9644	95	0	9	1	7	0	18	0	0	0	0	0	0	0	2	0	1	38	0	28	0	0	6	0	2	0	0	1	0	0	0	0	0	0	0	4	2	268	0	0	0	0	0	0	0	20	0	6	0	0	1	1	0	0	0	1	5	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	120	"AWI"	120	9401	10062	9753	65	0	0	0	22	1	24	0	7	0	0	0	0	0	0	0	0	13	0	6	0	0	4	0	1	0	1	0	0	0	0	0	0	0	1	0	0	118	0	0	0	0	1	0	0	8	3	3	0	1	0	0	0	1	5	10	2	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	125	"AWI"	125	9515	10152	9864	74	1	10	1	19	0	16	0	3	0	0	1	0	0	2	0	1	51	0	19	0	0	1	0	1	0	2	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	37	0	1	0	1	5	1	0	0	0	5	2	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	130	"AWI"	130	9649	10231	9971	59	0	0	2	15	0	20	0	2	0	0	1	0	0	2	0	0	48	0	11	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	1	0	0	1	1	0	0	3	4	3	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	132.5	"AWI"	132.5	9704.5	10282	10024.5	30	0	0	1	18	1	18	5	5	0	0	0	0	0	2	0	1	31	0	1	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	2	1	0	0	0	2	18	2	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	137.5	"AWI"	137.5	9806	10424.5	10127	1	0	0	1	14	0	14	0	15	0	0	0	0	0	0	0	0	94	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	34	0	4	0	0	2	4	0	0	0	8	7	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	142.5	"AWI"	142.5	9893.5	10557	10229.5	0	0	2	0	12	0	31	0	5	0	0	0	0	0	1	0	0	87	0	9	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	35	0	0	0	0	4	1	0	1	0	18	7	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	147.5	"AWI"	147.5	9989	10674	10330.5	1	0	0	0	9	0	29	18	9	0	0	0	1	0	4	0	0	31	0	19	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	24	0	0	0	2	2	0	4	0	1	6	3	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	152.5	"AWI"	152.5	10086	10785	10435	0	0	0	1	11	0	20	0	1	0	0	0	0	0	0	0	0	23	0	14	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	1	0	2	4	1	0	0	0	2	3	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	157.5	"AWI"	157.5	10185.5	10900	10536	1	0	0	1	4	0	14	0	1	0	0	0	0	0	1	1	0	17	0	26	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	1	0	0	0	0	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	162.5	"AWI"	162.5	10277.5	11016	10638	1	0	3	4	6	0	8	0	0	0	0	0	0	0	1	0	0	15	0	9	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	1	0	0	0	3	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	167.5	"AWI"	167.5	10375.5	11135.5	10740.5	10	0	2	10	5	0	23	0	1	0	0	0	0	0	2	2	0	13	0	14	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	351	0	0	0	0	0	0	0	15	0	1	0	5	1	3	0	1	2	0	0	1	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	172.5	"AWI"	172.5	10475.5	11269	10844.5	0	0	0	4	3	0	17	16	0	0	0	0	0	0	1	0	0	5	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	6	1	1	0	0	2	2	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	177.5	"AWI"	177.5	10577	11388	10949.5	0	0	0	6	6	0	38	26	0	0	0	0	0	0	0	0	1	7	0	6	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	5	1	0	0	0	5	1	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	182.5	"AWI"	182.5	10684.5	11512	11055.5	0	0	0	11	8	0	40	0	1	0	1	0	0	0	0	2	1	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	8	4	0	0	1	4	1	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	187.5	"AWI"	187.5	10780	11646.5	11168.5	6	0	0	19	7	0	117	0	1	0	0	1	0	0	1	0	1	10	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	0	0	14	0	3	0	6	1	2	0	1	16	1	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	192.5	"AWI"	192.5	10876.5	11786.5	11284.5	0	0	0	15	6	0	134	0	1	0	1	0	0	0	2	0	1	1	0	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	6	1	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	197.5	"AWI"	197.5	10970	11921	11400.5	0	0	2	22	18	0	191	0	5	0	0	0	0	0	0	0	0	10	0	5	0	12	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	3	0	1	12	8	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	202.5	"AWI"	202.5	11062.5	12069	11519.5	0	0	0	8	1	0	104	0	0	0	0	0	0	0	3	0	0	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	7	0	2	1	0	0	0	13	1	0	0	1	0
