"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Pyrus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14635	22955	"Tlstá hora"	48.89417	17.88861	71	"AWI"	71	373	671	513	22	5	10	4	1	0	5	0	19	0	4	0	0	0	0	0	24	55	0	0	0	61	0	2	0	0	5	10	0	0	0	0	0	0	0	15	11	165	0	0	0	0	0	0	0	56	0	0	3	0	7	1	0	0	0	0	0	9	2	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	75	"AWI"	75	405	707	546	13	6	21	2	0	1	13	0	15	0	6	0	0	0	0	0	12	7	0	0	0	118	0	1	0	1	4	3	0	1	0	0	0	0	0	14	8	113	0	0	0	0	0	1	0	52	0	0	1	0	5	0	0	0	0	0	0	5	8	2	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	80	"AWI"	80	524	755	623	8	5	16	3	0	0	6	0	10	0	4	0	2	0	0	0	11	14	0	0	0	62	0	3	0	0	1	3	0	0	0	0	0	0	0	6	13	150	0	0	0	0	0	0	0	26	0	0	1	0	1	0	0	0	0	0	0	9	4	0	2	0
14635	22955	"Tlstá hora"	48.89417	17.88861	85	"AWI"	85	605	835	705	3	24	43	3	0	2	6	0	23	0	2	0	0	0	0	0	4	10	0	0	0	126	0	1	0	0	0	26	0	0	0	0	0	0	0	12	2	92	0	0	0	0	0	0	0	35	0	0	0	0	3	0	0	0	0	0	0	9	11	1	1	0
14635	22955	"Tlstá hora"	48.89417	17.88861	89	"AWI"	89	646	944	774	7	4	74	0	1	2	7	0	20	0	1	0	0	0	0	0	5	7	0	0	0	102	0	0	0	0	0	35	0	0	0	0	0	0	0	8	4	82	0	0	0	0	0	0	0	38	0	0	0	0	0	6	0	0	0	0	0	14	9	0	1	0
14635	22955	"Tlstá hora"	48.89417	17.88861	95	"AWI"	95	681	1140	874	5	7	47	6	2	0	9	0	5	0	1	0	0	0	0	0	5	23	0	0	0	38	0	1	0	0	1	1	0	0	0	0	0	0	0	5	3	35	0	0	0	0	0	0	0	26	0	0	0	0	6	1	0	0	0	0	0	8	10	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	100	"AWI"	100	739	1245	957	2	12	110	10	2	0	15	0	17	0	1	0	0	0	0	0	10	10	0	0	0	92	0	5	0	0	2	2	0	0	1	0	0	0	0	5	3	50	0	0	0	0	0	1	0	50	0	0	2	0	10	6	0	0	0	2	0	18	5	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	110	"AWI"	110	793	1599	1104	4	16	29	2	0	2	4	0	14	0	5	0	0	0	0	0	4	8	0	0	0	119	0	6	0	0	1	0	0	0	0	1	0	0	0	7	7	106	0	0	0	0	0	10	0	55	0	0	2	0	9	3	0	0	0	0	0	23	4	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	120	"AWI"	120	898	1847	1269	8	15	25	1	1	0	4	0	15	0	2	0	0	0	0	0	12	3	0	0	0	121	0	3	0	0	3	0	0	0	0	0	0	0	0	4	9	89	0	0	0	0	0	19	0	54	0	0	2	0	2	2	0	0	0	0	0	21	4	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	130	"AWI"	130	973	2062	1437	12	26	42	2	2	2	12	0	19	0	3	0	0	0	0	0	11	5	0	0	0	127	0	3	0	0	0	1	0	0	0	0	0	0	0	13	6	93	0	0	0	0	0	11	0	44	0	0	1	0	3	1	0	0	0	0	0	18	4	0	0	0
