"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Urticaceae"	"Viburnum"	"Vitaceae"
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	48	"AWI"	48	774	1178	967	1	0	12	0	1	0	3	0	81	0	0	0	0	0	0	0	0	1	27	2	0	8	0	0	55	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	74	5	8	0	0	1	4	14	0	0	1	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	50	"AWI"	50	799	1241	1016	2	0	8	1	3	0	4	0	78	0	0	0	0	0	0	0	0	0	15	2	0	5	0	0	62	0	0	1	0	0	0	1	0	0	0	11	0	2	0	0	0	1	43	4	2	0	0	1	1	10	0	0	0	4	1	4	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	52	"AWI"	52	858	1272	1069	1	0	7	2	7	1	3	0	83	1	0	0	0	0	0	0	0	0	39	3	0	9	0	0	65	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	54	1	10	0	0	1	3	16	0	0	1	0	1	2	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	54	"AWI"	54	888	1324	1116	3	0	13	1	5	1	7	0	56	1	0	0	0	2	0	0	0	0	38	1	0	9	0	4	57	0	0	1	0	0	0	1	0	0	0	4	0	4	0	0	0	0	41	1	9	0	0	0	0	19	0	0	1	1	0	5	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	58	"AWI"	58	1039	1409	1225	5	0	17	1	2	1	2	0	46	0	0	0	0	2	0	0	0	0	39	1	0	8	0	0	63	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	72	1	1	0	0	0	0	14	0	0	0	1	0	6	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	60	"AWI"	60	1096	1456	1280	1	0	25	1	7	0	1	0	100	1	0	0	0	0	0	0	0	0	63	2	0	20	0	0	87	1	0	0	0	1	0	1	0	0	0	2	0	3	0	0	0	0	94	1	7	0	0	1	0	20	0	0	3	1	0	3	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	62	"AWI"	62	1352	1725	1459	3	0	16	1	2	1	3	4	63	0	0	0	0	2	0	0	0	0	52	5	0	0	0	4	58	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	67	6	6	0	0	1	0	30	0	0	3	3	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	64	"AWI"	64	1402	2247	1634	2	0	19	3	7	1	1	0	94	0	0	0	0	2	0	0	0	1	59	0	0	10	0	0	114	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	97	0	4	0	0	1	0	31	0	0	0	2	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	66	"AWI"	66	1587	2814	2010	4	0	17	1	3	1	3	0	52	0	0	0	0	0	0	0	0	0	78	0	0	10	0	0	75	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	161	2	4	0	0	0	0	45	0	0	0	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	68	"AWI"	68	1753	3886	2503	1	0	8	3	4	1	3	0	78	0	0	0	0	0	0	0	0	0	87	0	0	15	0	0	70	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	4	80	2	4	0	0	2	0	7	0	0	2	4	0	1	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	70	"AWI"	70	1880	5116	2964	5	0	13	0	3	1	1	0	52	0	0	0	0	0	0	0	0	0	62	0	0	7	1	0	54	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	84	3	6	0	0	0	0	14	0	0	1	7	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	72	"AWI"	72	2466	5316	3641	0	0	11	0	0	1	1	0	80	1	0	0	0	2	0	0	0	1	89	0	0	9	0	0	38	0	0	0	0	0	0	1	0	0	1	7	0	0	0	0	0	6	117	3	6	0	0	0	0	2	0	0	1	20	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	74	"AWI"	74	2793	5607	4270	1	0	4	1	2	1	2	0	54	0	0	0	0	2	0	1	0	0	79	0	1	3	0	0	7	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	4	123	1	2	0	0	0	0	4	0	0	2	16	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	76	"AWI"	76	3441	5986	4829	1	0	7	1	1	1	1	0	59	0	0	0	0	0	0	0	0	0	84	0	0	4	0	0	16	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	135	1	5	0	0	0	0	2	0	0	4	18	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	78	"AWI"	78	4420	6155	5395	1	0	3	1	4	1	5	0	85	1	0	0	0	2	0	1	0	0	109	1	0	5	0	0	4	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	8	122	3	10	0	0	0	0	4	0	0	7	14	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	80	"AWI"	80	5178	6454	5990	1	0	12	1	5	0	1	0	95	0	0	0	0	0	0	0	0	0	95	0	0	8	1	0	24	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	125	1	7	0	0	0	0	1	1	0	1	19	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	82	"AWI"	82	5791	6503	6221	5	0	7	1	0	4	1	0	69	0	0	0	0	0	2	0	0	0	48	2	0	0	1	0	19	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	77	5	1	0	0	0	0	1	0	0	0	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	86	"AWI"	86	6433	6852	6633	5	0	2	1	5	3	2	0	26	0	0	0	0	0	0	0	0	0	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	126	3	7	0	0	0	0	4	0	0	19	6	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	90	"AWI"	90	6519	7176	6802	3	0	2	0	2	2	1	0	10	0	0	0	0	0	0	0	0	0	83	2	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	7	0	0	0	0	0	0	136	5	7	0	0	1	0	0	0	0	0	2	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	94	"AWI"	94	6665	7342	6997	3	1	0	2	4	1	2	0	32	0	0	0	0	0	0	0	0	0	71	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	0	132	0	10	0	0	0	0	13	0	0	0	3	1	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	98	"AWI"	98	6818	7505	7188	3	1	1	1	1	0	1	0	37	3	0	0	0	0	0	0	0	0	69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	113	6	11	0	0	0	0	10	0	0	0	4	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	102	"AWI"	102	7016	7650	7372	8	0	0	0	3	1	6	0	26	0	0	0	0	0	0	0	0	0	46	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	158	4	6	0	0	0	0	11	0	0	0	5	0	1	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	106	"AWI"	106	7251	7768	7555	0	0	2	0	6	0	1	0	33	0	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	140	3	7	0	0	1	0	4	0	0	0	2	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	110	"AWI"	110	7601	7879	7716	7	0	0	1	0	0	0	0	55	0	0	0	0	0	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	149	2	11	0	0	0	0	4	0	0	0	6	0	1	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	114	"AWI"	114	7720	8828	8030	1	0	1	1	3	1	3	0	26	0	0	0	0	0	0	0	0	0	85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	140	3	10	0	0	0	1	5	0	0	0	5	0	0	0
