"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
16298	25273	"Lac du Lauzon"	44.67528	5.79333	249	"AWI"	249	3438	3951	3615	232	2	15	3	1	0	8	0	1	1	0	0	0	0	1	0	5	0	89	0	0	0	2	13	0	0	0	0	0	0	0	3	0	0	0	0	5	118	0	0	41	0	0	27	3	0	0	2	0	0	4	3	0	4	0	1	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	254	"AWI"	254	3489	4125	3730	143	0	3	2	6	0	3	0	1	3	0	0	0	0	2	2	3	0	131	0	0	0	0	7	0	0	1	1	0	0	0	2	0	0	0	0	5	144	0	0	0	0	1	28	0	0	0	1	0	0	1	1	1	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	259	"AWI"	259	3565	4261	3845	153	0	2	0	6	0	3	0	0	2	0	0	0	2	3	8	2	0	102	0	0	0	0	13	0	1	0	1	0	0	2	1	0	0	0	0	2	130	0	0	0	0	0	28	3	2	1	3	0	0	1	0	0	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	264	"AWI"	264	3640	4403	3958	62	0	58	2	26	1	0	0	7	0	0	0	1	0	1	0	30	0	80	0	0	0	0	54	1	7	0	0	0	0	0	1	0	0	0	1	2	87	0	0	0	0	0	58	1	0	5	2	0	0	0	4	0	6	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	269	"AWI"	269	3705	4518	4077	41	0	40	2	13	0	1	0	2	0	0	3	0	0	0	0	18	0	81	0	0	0	1	31	0	1	0	0	0	0	0	3	0	0	0	0	0	32	0	0	25	1	0	27	1	2	0	1	0	0	1	0	0	4	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	274	"AWI"	274	3808	4636	4188	114	0	16	1	4	1	3	0	0	2	0	1	0	0	2	4	8	0	220	0	0	0	1	9	0	0	0	0	0	0	1	0	0	0	0	0	4	96	0	0	0	2	1	28	8	0	1	2	0	0	0	0	1	1	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	279	"AWI"	279	3900	4747	4300	39	0	30	2	8	0	2	0	1	0	0	0	1	0	1	1	20	0	65	0	0	0	2	18	0	2	0	0	0	0	1	2	0	0	0	0	0	34	0	0	37	0	0	32	1	3	0	1	0	0	0	0	0	2	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	284	"AWI"	284	3994	4856	4416	117	5	32	1	4	0	15	0	0	1	0	1	0	0	4	7	11	0	235	0	0	0	1	18	0	0	0	0	0	0	1	6	0	0	0	0	0	120	0	0	73	0	0	48	8	0	0	2	0	0	0	0	1	4	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	289	"AWI"	289	4106	4949	4536	29	2	17	1	0	0	4	0	3	0	0	2	0	0	0	2	22	0	74	0	0	0	0	17	0	0	0	0	0	0	1	2	0	0	0	0	2	29	0	0	34	0	0	47	4	2	0	6	2	0	0	0	0	2	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	294	"AWI"	294	4215	5050	4650	103	0	12	1	1	0	1	0	0	0	1	0	0	0	2	4	10	0	76	0	0	0	0	31	0	0	0	1	0	0	0	2	0	1	0	0	1	97	0	0	14	0	0	87	4	0	0	1	0	0	0	1	1	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	297	"AWI"	297	4292	5096	4721	117	2	3	5	2	0	5	0	2	2	0	0	0	0	3	11	9	0	73	0	0	0	0	24	0	0	0	1	0	0	1	0	0	0	0	0	1	66	5	0	0	0	1	116	3	0	1	0	0	0	0	0	2	1	0	0	2
