"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
10523	16199	"Croaghaun East"	54.196854	-9.451948	150	"AWI"	150	2137	2762	2487	51	1	0	0	0	11	0	1	220	58	139	9	0	0	0	22	0	0	1	0	0	0	0	19	6	0	0	1	0	0	0	0	7	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	155	"AWI"	155	2305	2801	2550	115	0	0	0	0	12	0	0	301	103	113	9	0	4	0	26	0	0	2	9	0	0	0	15	2	0	0	2	0	0	0	4	3	6
10523	16199	"Croaghaun East"	54.196854	-9.451948	160	"AWI"	160	2392	2879	2627	45	0	0	0	0	5	0	0	126	111	198	4	2	1	0	16	0	0	0	0	0	0	0	20	1	0	0	2	0	0	0	14	6	4
10523	16199	"Croaghaun East"	54.196854	-9.451948	180	"AWI"	180	2560	3218	2871	87	0	0	0	0	3	0	0	139	137	170	9	0	0	0	62	0	0	3	0	0	0	0	16	2	0	0	2	0	0	0	0	3	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	200	"AWI"	200	2752	3495	3104	60	0	0	0	0	7	0	0	136	197	44	6	0	0	0	56	0	0	2	0	0	0	0	28	0	0	0	3	0	0	0	0	7	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	220	"AWI"	220	2956	3747	3346	31	0	0	0	0	4	0	0	78	145	103	3	0	0	0	34	0	0	7	7	0	1	0	33	2	0	0	2	0	0	0	0	2	5
10523	16199	"Croaghaun East"	54.196854	-9.451948	240	"AWI"	240	3182	3970	3584	32	0	0	0	0	6	0	0	78	64	132	11	0	1	0	56	0	0	2	0	0	0	0	28	0	0	0	3	0	0	0	57	2	1
10523	16199	"Croaghaun East"	54.196854	-9.451948	255	"AWI"	255	3397	4124	3762	43	0	0	0	0	13	0	0	113	56	127	5	0	1	0	47	0	0	2	5	0	0	0	19	3	0	0	3	0	0	0	2	11	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	260	"AWI"	260	3456	4181	3825	57	0	0	2	0	22	0	0	146	50	131	13	0	0	0	66	0	0	0	0	0	0	1	20	5	0	0	2	0	0	0	1	15	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	265	"AWI"	265	3523	4224	3884	49	0	0	0	0	25	0	0	101	68	174	6	0	1	0	52	0	0	5	4	0	0	0	23	5	0	0	0	0	0	0	2	15	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	270	"AWI"	270	3570	4286	3945	59	0	0	2	0	13	0	0	95	89	183	8	0	0	0	51	0	0	4	2	0	0	0	21	4	0	0	1	0	0	0	0	7	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	275	"AWI"	275	3663	4318	4003	32	0	0	0	0	12	0	0	96	47	192	8	0	1	0	61	0	0	4	0	0	0	0	17	3	0	0	3	0	0	0	12	3	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	280	"AWI"	280	3721	4378	4060	43	0	0	2	0	10	0	0	125	34	279	4	0	1	0	20	0	0	3	0	0	0	0	29	0	0	0	2	0	0	0	0	2	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	285	"AWI"	285	3818	4415	4119	51	0	0	3	0	14	0	0	116	44	159	6	0	1	0	71	0	0	4	0	0	0	0	14	6	0	0	5	0	0	0	2	6	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	290	"AWI"	290	3881	4474	4181	48	0	0	0	0	11	0	0	119	51	173	4	0	1	0	66	0	0	6	0	0	0	0	24	9	0	0	1	0	0	0	0	10	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	295	"AWI"	295	3977	4512	4241	55	0	0	1	0	9	1	0	101	74	176	10	0	0	0	80	0	0	9	0	0	0	0	10	11	0	0	1	0	0	0	0	9	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	300	"AWI"	300	4032	4591	4310	106	0	0	2	0	23	0	0	185	83	219	3	0	2	0	48	0	0	15	0	0	0	0	33	7	0	0	1	0	0	0	0	2	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	305	"AWI"	305	4109	4656	4381	36	0	0	0	0	9	0	0	180	8	244	5	0	2	0	0	0	0	45	0	0	0	0	17	2	0	0	1	0	0	0	0	13	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	310	"AWI"	310	4154	4770	4452	43	0	0	0	0	20	0	0	150	12	225	2	0	3	0	2	0	0	114	0	0	0	0	25	2	0	0	0	0	0	0	0	15	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	315	"AWI"	315	4241	4839	4522	21	0	0	0	0	3	0	0	85	0	301	1	0	1	0	0	0	0	63	0	0	0	0	18	0	0	0	0	1	0	0	0	8	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	320	"AWI"	320	4294	4942	4591	35	0	1	0	0	6	0	0	120	1	301	0	1	2	0	0	0	0	96	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	325	"AWI"	325	4389	5003	4666	48	0	0	0	0	15	0	0	214	10	291	0	0	1	0	0	0	0	101	0	0	0	0	31	2	0	0	1	0	0	0	0	33	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	330	"AWI"	330	4445	5101	4741	44	0	0	2	0	16	0	0	218	4	295	1	0	1	4	0	0	0	96	0	0	0	0	20	3	0	0	1	0	0	0	0	29	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	335	"AWI"	335	4565	5169	4813	68	0	0	2	0	22	0	0	184	4	315	0	0	0	1	0	0	0	87	0	0	0	0	12	2	0	0	2	0	0	0	0	25	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	340	"AWI"	340	4632	5265	4886	41	0	0	0	0	14	0	0	141	24	197	0	0	0	0	4	0	0	38	0	0	0	0	18	2	0	0	1	0	0	0	0	1	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	345	"AWI"	345	4714	5359	4993	29	0	0	0	0	19	0	0	89	14	164	0	0	0	0	0	0	0	19	4	0	0	0	11	3	0	0	2	0	0	0	1	3	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	350	"AWI"	350	4765	5543	5087	60	0	0	1	0	14	0	0	151	8	203	0	0	0	0	1	0	0	28	0	0	0	0	35	3	0	0	6	0	0	0	0	0	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	360	"AWI"	360	4903	5792	5296	46	0	0	0	0	10	0	0	233	14	176	0	0	3	0	0	0	0	45	0	0	0	0	43	4	0	0	2	0	0	0	0	11	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	380	"AWI"	380	5236	6206	5739	33	0	0	0	0	2	0	0	105	3	172	0	0	2	0	0	0	0	41	0	0	0	0	19	0	0	0	2	0	0	0	0	29	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	395	"AWI"	395	5586	6456	6060	12	0	0	1	0	9	0	0	278	5	152	0	0	2	0	0	0	0	66	0	0	0	0	18	0	0	0	1	0	0	0	3	25	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	405	"AWI"	405	5840	6601	6270	4	0	2	0	0	14	0	0	172	1	197	0	0	0	0	0	0	0	60	0	0	0	0	9	0	0	0	4	0	0	3	2	17	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	410	"AWI"	410	5942	6698	6371	15	0	0	0	0	5	0	0	210	1	68	0	0	0	0	0	0	0	227	0	0	0	0	10	0	0	0	5	0	0	1	3	19	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	415	"AWI"	415	6050	6753	6459	4	0	1	1	0	8	2	0	583	3	19	0	0	10	0	0	0	0	56	0	0	0	0	16	3	35	0	3	0	0	0	2	38	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	420	"AWI"	420	6126	6889	6551	1	0	1	0	0	2	1	0	295	4	0	0	0	111	0	0	0	0	77	0	0	0	0	7	1	0	0	7	0	0	0	0	8	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	421	"AWI"	421	6147	6904	6566	0	0	2	2	0	2	0	0	250	5	0	0	0	406	0	0	0	0	134	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	422	"AWI"	422	6161	6919	6583	0	0	1	0	0	0	0	0	130	0	11	0	0	284	0	0	0	0	103	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	423	"AWI"	423	6169	6938	6598	1	0	0	0	0	9	0	0	101	14	70	0	0	42	0	0	0	0	62	0	0	0	0	6	0	0	0	1	0	0	0	1	9	0
