"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3445	4461	"Saint-Thomas"	47.26861	-1.75	210	"AWI"	210	3034	3878	3503	0	0	203	0	0	2	0	0	4	0	0	0	0	0	1	0	12	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	215	"AWI"	215	3262	3934	3606	1	0	179	0	0	2	0	0	4	0	0	1	0	0	0	0	12	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	220	"AWI"	220	3426	4028	3722	0	0	161	1	0	3	0	0	2	0	0	1	0	0	1	0	9	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	41	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	225	"AWI"	225	3518	4159	3837	0	1	151	2	0	0	0	0	6	0	0	23	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	59	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	230	"AWI"	230	3573	4365	3943	0	1	195	1	0	2	0	0	6	0	0	20	0	0	1	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	41	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	235	"AWI"	235	3610	4614	4047	0	0	191	0	0	2	0	0	8	0	0	6	0	0	1	0	11	10	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	36	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	240	"AWI"	240	3696	4673	4124	0	0	206	2	2	1	0	0	2	0	0	2	0	0	0	0	9	17	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	245	"AWI"	245	3767	4717	4202	0	0	197	1	1	5	1	0	4	0	0	1	0	0	0	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
3445	4461	"Saint-Thomas"	47.26861	-1.75	250	"AWI"	250	3815	4770	4281	0	0	199	1	0	2	0	0	3	0	0	1	0	0	0	0	7	13	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	255	"AWI"	255	3863	4826	4361	0	0	227	2	0	2	0	0	3	0	0	4	0	0	1	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	50	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	260	"AWI"	260	3899	4905	4443	0	0	172	2	0	2	1	0	2	0	0	0	0	0	0	0	7	11	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
