"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15770	24236	"Chrást"	50.259284	14.573476	55	"AWI"	55	4093	6824	5462	16	0	253	3	3	0	12	0	13	0	2	0	0	0	0	0	0	0	36	67	1	0	0	1	0	0	0	0	0	0	0	36	161	0	0	0	0	16	0	0	0	0	0	0	0	2	0	6	0
15770	24236	"Chrást"	50.259284	14.573476	60	"AWI"	60	4378	7391	6008	22	1	297	1	1	1	17	0	10	0	1	0	0	0	0	0	0	0	62	65	1	0	5	0	0	2	0	0	0	0	0	43	76	2	0	0	0	31	0	0	0	0	2	0	0	1	0	11	0
15770	24236	"Chrást"	50.259284	14.573476	65	"AWI"	65	4992	7578	6487	4	0	278	1	2	0	18	0	12	0	3	0	0	0	0	0	0	0	24	45	1	0	1	1	0	0	0	0	0	0	1	49	125	0	0	0	0	17	0	0	1	0	0	0	0	1	0	7	0
15770	24236	"Chrást"	50.259284	14.573476	70	"AWI"	70	5322	7959	7020	3	1	120	0	0	0	7	0	10	0	1	0	0	0	0	0	0	0	17	26	0	0	1	0	0	0	0	0	0	0	0	47	274	0	0	0	0	20	0	0	0	0	0	0	0	1	0	4	0
15770	24236	"Chrást"	50.259284	14.573476	75	"AWI"	75	6616	8014	7506	1	1	43	1	0	0	6	0	17	0	1	0	0	0	0	0	0	0	11	38	0	0	1	0	0	0	0	0	0	0	1	26	412	0	0	0	0	8	0	0	0	0	1	0	0	0	0	2	0
15770	24236	"Chrást"	50.259284	14.573476	80	"AWI"	80	7640	8163	8029	0	1	23	0	1	0	12	0	7	0	0	0	0	0	0	0	0	0	16	20	0	0	1	0	0	0	0	0	0	0	0	7	450	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0
15770	24236	"Chrást"	50.259284	14.573476	85	"AWI"	85	7715	8212	8066	0	0	24	0	3	0	6	0	8	0	0	0	1	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	12	445	0	0	0	0	3	0	0	0	0	1	0	0	0	0	5	0
15770	24236	"Chrást"	50.259284	14.573476	90	"AWI"	90	7764	8289	8098	0	0	27	0	0	0	11	0	10	0	0	0	1	0	0	0	0	0	17	19	0	0	0	1	0	0	0	0	0	0	0	12	442	0	0	0	0	3	0	0	1	0	0	0	0	2	0	5	1
15770	24236	"Chrást"	50.259284	14.573476	95	"AWI"	95	7855	8337	8145	0	0	1	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	32	87	0	0	0	1	0	0	0	0	0	0	0	0	444	0	0	0	0	6	0	0	0	0	2	0	0	2	0	6	0
15770	24236	"Chrást"	50.259284	14.573476	100	"AWI"	100	7920	8410	8188	0	0	0	0	4	0	3	0	65	0	1	0	2	0	0	0	0	0	43	12	0	0	0	0	0	0	0	0	0	0	0	2	380	0	0	0	0	3	0	0	1	0	4	0	0	1	0	9	0
15770	24236	"Chrást"	50.259284	14.573476	105	"AWI"	105	8020	8480	8251	0	0	1	0	3	0	4	0	47	1	0	0	0	0	0	0	0	0	41	10	0	0	0	3	0	0	0	0	0	0	0	1	428	0	0	0	1	5	0	0	1	0	1	0	0	1	0	8	0
15770	24236	"Chrást"	50.259284	14.573476	110	"AWI"	110	8081	8565	8306	0	0	0	0	1	0	1	0	28	0	0	0	1	0	0	0	0	0	20	7	0	0	0	0	0	0	0	0	0	0	0	3	449	0	0	0	1	3	0	0	0	0	11	0	0	0	0	4	0
15770	24236	"Chrást"	50.259284	14.573476	115	"AWI"	115	8268	8720	8435	0	0	1	1	1	0	1	0	12	0	0	0	0	0	0	0	0	0	9	9	0	0	0	1	0	0	1	0	0	0	0	0	474	0	0	0	0	1	0	0	0	0	7	0	0	1	0	6	0
15770	24236	"Chrást"	50.259284	14.573476	120	"AWI"	120	8383	8971	8562	0	0	0	0	7	0	7	0	45	0	1	0	0	0	0	0	0	0	33	26	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	2	0	0	1	0	45	0	0	7	0	13	0
15770	24236	"Chrást"	50.259284	14.573476	125	"AWI"	125	9091	9581	9284	0	0	2	0	2	0	6	0	42	0	1	0	1	0	0	0	0	0	22	40	0	0	0	2	0	0	0	0	0	0	0	0	409	0	0	0	0	1	0	0	0	0	34	0	0	1	0	3	0
15770	24236	"Chrást"	50.259284	14.573476	130	"AWI"	130	9603	10525	9970	0	1	0	1	15	0	8	0	56	0	10	0	1	0	0	2	0	0	48	47	0	0	0	4	0	0	0	0	0	0	0	1	361	0	0	0	0	2	0	0	6	0	47	0	0	2	0	14	0
15770	24236	"Chrást"	50.259284	14.573476	135	"AWI"	135	9915	12683	10637	0	0	0	0	5	0	14	0	37	0	1	0	1	0	0	0	0	0	35	38	2	0	0	1	0	0	0	0	0	0	0	1	361	0	0	0	0	1	0	0	1	0	66	0	0	1	0	4	0
15770	24236	"Chrást"	50.259284	14.573476	140	"AWI"	140	10006	15196	11261	0	1	0	0	1	0	6	0	43	0	4	0	2	0	0	0	0	0	21	25	0	0	0	0	0	0	0	0	0	0	0	3	321	0	0	0	0	1	0	0	1	0	106	0	0	1	0	17	0
15770	24236	"Chrást"	50.259284	14.573476	145	"AWI"	145	10383	16225	12097	0	1	0	1	3	0	18	0	79	0	1	0	11	0	0	0	0	0	44	13	1	0	0	1	0	0	0	0	1	0	0	0	349	0	0	0	0	2	0	0	1	0	31	0	0	1	0	7	0
15770	24236	"Chrást"	50.259284	14.573476	150	"AWI"	150	10567	17936	12843	0	0	1	0	1	0	8	0	53	0	0	0	2	0	0	0	0	0	37	21	0	0	0	4	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	17	0	0	1	0	6	0
15770	24236	"Chrást"	50.259284	14.573476	155	"AWI"	155	11087	18853	13703	0	0	0	0	2	1	15	0	68	0	2	0	6	0	0	0	0	0	83	26	0	0	0	0	0	0	1	0	0	1	0	0	341	0	0	0	0	1	0	0	0	0	14	0	0	1	0	5	0
15770	24236	"Chrást"	50.259284	14.573476	160	"AWI"	160	11395	20263	14521	0	1	1	1	2	0	6	0	342	0	1	0	2	0	0	0	0	0	19	28	0	0	0	1	0	0	0	0	0	0	2	1	111	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0
