"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	150	"AWI"	150	6516	8163	7610	91	10	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	72	30	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	23	0	0	0	33	2	1	0	0	0	0	2	0	0	0	0	0	3	53	0	2
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	155	"AWI"	155	6785	8264	7760	78	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	54	18	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	12	0	0	0	43	0	0	0	0	0	0	1	0	0	0	0	0	9	40	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	160	"AWI"	160	7018	8415	7917	44	1	0	0	0	5	1	0	2	0	0	0	0	0	0	1	0	0	76	30	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	16	0	0	0	52	4	2	0	0	0	0	0	1	0	0	3	0	14	58	0	3
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	165	"AWI"	165	7187	8701	8064	13	8	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	86	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	9	0	0	0	66	2	3	0	0	0	0	0	2	0	0	0	0	12	85	0	3
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	170	"AWI"	170	7367	8779	8156	11	7	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	79	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	0	0	0	58	6	2	0	0	0	0	0	0	0	0	2	0	14	90	0	4
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	175	"AWI"	175	7528	8848	8255	7	11	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	107	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	55	8	1	0	0	0	0	0	0	0	0	0	0	13	115	0	2
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	180	"AWI"	180	7645	8950	8349	1	10	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	142	4	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	11	0	0	0	60	6	0	0	0	0	0	0	0	0	0	0	1	14	83	0	3
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	185	"AWI"	185	7743	9074	8444	1	5	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	133	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	16	0	0	0	42	2	2	0	0	0	0	0	0	0	0	0	0	6	81	0	3
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	190	"AWI"	190	7936	9156	8544	3	1	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	43	0	2	0	0	0	0	2	0	0	0	0	0	7	70	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	195	"AWI"	195	8093	9231	8651	1	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	96	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	14	0	0	0	80	0	2	0	0	0	0	2	1	0	0	25	0	15	61	0	0
