"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orchidaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16657	26437	"Katzenloch"	47.34167	11.125	95	"AWI"	95	8060	8595	8318	0	0	2.66362252663623	0.076103500761035	0.076103500761035	0	0.15220700152207	0	0	1.14155251141552	0	0	0	0	0	0	0	5.78386605783866	0	4.18569254185693	0	0.30441400304414	0	0	0	0	0.228310502283105	0	0	0	0	0	0	0	0	0	53.1202435312024	27.0167427701674	0	0	0	0	0	0.684931506849315	0	0	0	0	0	0.076103500761035	0	0	0	0	0	1.21765601217656	0	3.19634703196347	0.076103500761035
16657	26437	"Katzenloch"	47.34167	11.125	100	"AWI"	100	8155	8730	8439	0	0	3.71669004207574	0.0701262272089762	0	0	0.140252454417952	0	0	2.87517531556802	0	0.0701262272089762	0	0	0.0701262272089762	0.0701262272089762	0	7.3632538569425	0	8.76577840112202	0	0.280504908835905	0	0	0	0	0.490883590462833	0	0	0	0	0	0	0	0	0	47.6858345021038	21.3183730715288	0	0	0	0	0	2.80504908835905	0.210378681626928	0	0	0	0.140252454417952	0.280504908835905	0	0	0	0	0.0701262272089762	1.26227208976157	0	2.31416549789621	0
16657	26437	"Katzenloch"	47.34167	11.125	105	"AWI"	105	8212	8977	8549	0	0.157977883096367	4.81832543443918	0	0.0789889415481833	0	0.394944707740916	0	0	3.08056872037915	0.157977883096367	0	0.0789889415481833	0	0.0789889415481833	0.0789889415481833	0	5.45023696682464	0	9.24170616113744	0	0	0	0	0	0	0.631911532385466	0	0	0	0	0	0	0	0	0	48.8941548183254	20.3001579778831	0	0	0	0	0	1.97472353870458	0.157977883096367	0.0789889415481833	0	0.0789889415481833	0.315955766192733	0.157977883096367	0	0	0	0	0.157977883096367	1.4218009478673	0	2.21169036334913	0
16657	26437	"Katzenloch"	47.34167	11.125	110	"AWI"	110	8322	9065	8668	0	0.13869625520111	5.13176144244105	0	0.13869625520111	0	0.485436893203883	0	0	5.13176144244105	0.0693481276005548	0	0.13869625520111	0	0	0	0	6.5880721220527	0	19.8335644937587	0	0.693481276005548	0.13869625520111	0	0	0	0.485436893203883	0	0	0	0	0	0	0	0	0	34.1886269070735	19.0707350901526	0	0	0	0	0	2.42718446601942	0.0693481276005548	0	0	0	0.13869625520111	0.277392510402219	0	0	0.208044382801664	0.0693481276005548	0	1.3869625520111	0	3.19001386962552	0
16657	26437	"Katzenloch"	47.34167	11.125	115	"AWI"	115	8388	9223	8786	0	0.0753579502637528	4.97362471740769	0.0753579502637528	0	0	0.150715900527506	0	0	2.7128862094951	0	0	0	0	0	0	0	6.78221552373775	0	11.2283345892992	0	0	0	0	0	0	0.753579502637528	0	0	0	0	0	0	0	0	0	47.9276563677468	19.5930670685757	0	0	0	0	0	0.828937452901281	0.150715900527506	0	0	0	0.0753579502637528	0.0753579502637528	0	0	0	0	0.150715900527506	1.73323285606631	0	2.7128862094951	0
16657	26437	"Katzenloch"	47.34167	11.125	120	"AWI"	120	8512	9297	8908	0	0.0670241286863271	3.15013404825737	0.0670241286863271	0.0670241286863271	0	0.0670241286863271	0	0	9.24932975871314	0	0	0	0	0	0	0	12.5335120643432	0	9.38337801608579	0	1.80965147453083	0	0	0	0	0.804289544235925	0	0	0	0	0	0	0	0	0	30.0268096514745	25.7372654155496	0	0	0	0	0	0.46916890080429	0	0	0	0	0	0	0	0	0	0	0	1.87667560321716	0	4.6916890080429	0
16657	26437	"Katzenloch"	47.34167	11.125	125	"AWI"	125	8592	9445	9028	0	0	3.08056872037915	0	0.118483412322275	0	0	0	0	1.65876777251185	0	0.118483412322275	0	0	0	0	0	18.7203791469194	0	2.3696682464455	0	0.23696682464455	0	0	0	0.4739336492891	0	0	0	0	0	0	0	0	0	0	64.9289099526066	0	0	0	0	0	0	0.592417061611374	0.118483412322275	0	0	0	0	0	0	0	0	0.118483412322275	0	2.01421800947867	0	5.45023696682464	0
16657	26437	"Katzenloch"	47.34167	11.125	130	"AWI"	130	8756	9514	9145	0	0.143472022955524	4.66284074605452	0.143472022955524	0	0	0.143472022955524	0	0	2.29555236728838	0	0.0717360114777618	0	0	0	0	0	20.0860832137733	0	9.61262553802009	0	0	0	0	0	0	0.502152080344333	0	0	0	0	0	0	0	0	0	30.4878048780488	23.0272596843615	0	0	0	0	0	0.143472022955524	0.0717360114777618	0	0	0	0.0717360114777618	0	0	0	0	0	0	3.08464849354376	0	5.4519368723099	0
16657	26437	"Katzenloch"	47.34167	11.125	135	"AWI"	135	8862	9629	9265	0	0	1.9730510105871	0	0	0	0.0481231953801732	0	0	1.01058710298364	0	0	0	0	0.0481231953801732	0	0	6.111645813282	0	42.781520692974	0	0.0962463907603465	0	0	0	0	0.384985563041386	0	0.0481231953801732	0.0962463907603465	0	0.0962463907603465	0	0	0	0	24.4947064485082	17.0837343599615	0	0	0	0	0	0.240615976900866	0	0	0	0	0.0481231953801732	0	0	0	0	0	0.14436958614052	1.92492781520693	0	3.36862367661213	0
16657	26437	"Katzenloch"	47.34167	11.125	140	"AWI"	140	9060	9711	9390	0	0.208768267223382	3.89700765483647	0.069589422407794	0	0	0.278357689631176	0	0	1.67014613778706	0	0	0	0	0	0.069589422407794	0	21.4335421016006	0	13.6395267919276	0	0	0	0	0	0	0.417536534446764	0	0	0.139178844815588	0	0.139178844815588	0	0	0	0	18.232428670842	32.2199025748086	0	0	0	0	0	0.69589422407794	0	0	0	0	0.139178844815588	0	0	0	0	0	0	2.99234516353514	0	3.75782881002088	0
