"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13396	20060	"Sandvikvatn"	59.283448	5.493056	1485	"AWI"	1485	4032	5638	4946	137	0	0	0	0	0	284	0	0	0	0	0	0	0	187	0	12	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	29	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1490	"AWI"	1490	4267	5906	5328	113	0	0	0	0	0	175	0	0	0	0	0	0	0	168	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	18	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1495	"AWI"	1495	5245	6036	5644	162	0	0	0	0	0	224	0	0	0	0	0	0	0	135	0	4	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	172	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	26	0	1
13396	20060	"Sandvikvatn"	59.283448	5.493056	1500	"AWI"	1500	5669	6465	5992	146	0	0	0	0	0	171	0	0	0	0	0	0	0	157	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	134	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1505	"AWI"	1505	5908	6737	6336	97	1	1	3	0	0	243	0	0	0	0	0	0	0	138	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	2
13396	20060	"Sandvikvatn"	59.283448	5.493056	1510	"AWI"	1510	6018	7253	6668	55	0	0	0	0	0	177	0	0	0	0	0	0	0	139	0	18	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1515	"AWI"	1515	6728	7359	7047	19	0	0	1	0	0	229	0	0	0	0	0	0	0	179	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	211	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	10	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1517.5	"AWI"	1517.5	6942.5	7506.5	7250	8	0	0	0	0	0	233	3	0	0	0	0	0	0	138	0	20	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	112	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1520	"AWI"	1520	7055	7801	7436	4	0	1	0	0	0	183	0	0	0	0	0	0	0	107	0	28	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1522.5	"AWI"	1522.5	7330	7919.5	7636	0	0	1	0	0	0	306	0	0	0	0	0	0	0	112	0	23	2	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	152	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	16	0	1
13396	20060	"Sandvikvatn"	59.283448	5.493056	1525	"AWI"	1525	7588	8070	7837	1	0	0	0	0	0	412	0	0	0	0	0	0	0	17	1	31	2	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	115	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1527.5	"AWI"	1527.5	7792.5	8255	8035	0	0	0	0	0	0	362	0	0	0	0	0	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1532.5	"AWI"	1532.5	8153	8680.5	8430	0	2	1	0	0	0	411	0	0	0	0	0	0	0	0	3	55	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	89	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1537.5	"AWI"	1537.5	8293.5	9387.5	8808	0	0	1	0	0	0	240	0	1	0	0	0	0	0	2	4	72	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1542.5	"AWI"	1542.5	8734	9863	9216	0	0	3	0	0	0	233	0	0	0	0	0	0	0	0	4	104	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1547.5	"AWI"	1547.5	9371	10089.5	9664	2	2	1	0	11	0	164	0	1	0	0	0	0	0	1	3	164	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1552.5	"AWI"	1552.5	9796	10534.5	10139	1	8	0	0	0	0	129	0	1	0	0	0	2	0	0	3	88	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1557.5	"AWI"	1557.5	10056	11135	10621	0	17	2	0	0	0	114	0	0	0	0	0	0	0	0	5	89	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1562.5	"AWI"	1562.5	10329.5	11592.5	10960.5	0	12	2	0	0	0	148	0	0	0	0	0	0	0	0	6	89	0	0	0	0	1	0	0	1	0	0	10	0	0	0	0	0	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
