"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
15890	24456	"Baïssescure"	43.55	2.8	90	"AWI"	90	3601	4794	4154	14	0	2	0	1	1	0	68	1	0	0	0	1	8	0	5	0	0	68	0	2	0	1	0	0	5	3	1	0	0	26	0	4	6	0	12	1	1
15890	24456	"Baïssescure"	43.55	2.8	95	"AWI"	95	4024	5099	4498	8	0	2	1	0	1	0	56	0	0	0	0	2	9	0	4	0	0	37	3	0	0	0	1	0	5	9	2	0	0	30	0	0	6	0	17	5	1
15890	24456	"Baïssescure"	43.55	2.8	100	"AWI"	100	4499	5536	5048	10	0	11	0	2	1	0	79	0	0	0	0	1	8	0	6	0	0	65	5	0	0	0	1	0	7	5	5	0	0	18	0	2	3	0	17	8	1
15890	24456	"Baïssescure"	43.55	2.8	105	"AWI"	105	4946	6012	5492	5	0	3	0	5	5	0	50	1	0	0	0	2	13	0	11	0	0	48	6	0	29	0	0	0	8	8	0	0	0	41	0	4	2	0	30	6	2
15890	24456	"Baïssescure"	43.55	2.8	110	"AWI"	110	5212	6365	5814	8	1	2	0	3	3	0	66	2	0	0	0	0	32	0	3	0	0	39	2	1	0	0	3	0	11	8	4	0	0	54	0	4	1	0	19	5	3
15890	24456	"Baïssescure"	43.55	2.8	115	"AWI"	115	5532	6645	6140	2	0	9	0	3	0	0	93	0	0	0	0	0	6	0	5	0	0	48	0	0	0	0	1	0	3	8	1	0	0	37	1	4	3	0	16	4	3
15890	24456	"Baïssescure"	43.55	2.8	120	"AWI"	120	5902	6857	6455	3	0	5	0	1	0	0	48	0	0	0	0	0	7	0	4	0	0	23	0	0	0	0	0	0	5	6	0	0	0	23	0	2	0	0	6	5	2
15890	24456	"Baïssescure"	43.55	2.8	125	"AWI"	125	6163	7064	6670	5	0	9	1	4	1	0	45	0	5	0	0	0	30	0	7	0	0	29	0	0	0	0	0	1	4	8	6	0	0	43	0	8	3	0	5	7	1
15890	24456	"Baïssescure"	43.55	2.8	130	"AWI"	130	6358	7230	6836	2	0	4	0	2	0	0	61	0	0	0	0	2	9	0	6	0	1	31	5	0	0	0	0	0	1	8	0	0	0	34	0	2	2	0	12	5	2
15890	24456	"Baïssescure"	43.55	2.8	135	"AWI"	135	6533	7399	6991	4	0	9	0	2	2	0	65	0	0	0	0	0	10	0	3	0	0	36	3	0	0	0	0	0	2	9	5	0	0	36	0	3	2	0	4	7	2
