"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Morus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
23669	41469	"Burgaschisee"	47.16969	7.66823	266	"AWI"	266	1171	1331	1270	21	0	0	182	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	177	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	70	0	2	0	0	36	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	4	1	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	276	"AWI"	276	1237	1520	1357	12	1	0	155	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	15	0	4	0	0	44	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	10	6	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	286	"AWI"	286	1297	1722	1474	10	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	9	0	0	68	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	24	2	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	296	"AWI"	296	1375	1851	1599	14	0	0	165	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	10	0	0	85	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	8	3	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	306	"AWI"	306	1478	1958	1724	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	25	0	1	48	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	5	2	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	316	"AWI"	316	1623	2072	1851	9	0	0	153	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	49	0	8	0	1	172	0	0	0	0	0	24	0	0	0	0	0	0	3	0	0	0	0	3	8	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	326	"AWI"	326	1751	2193	1973	13	0	0	120	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	16	0	0	0	0	0	0	43	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	62	0	3	0	0	250	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	2	12	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	336	"AWI"	336	1941	2268	2075	1	0	0	110	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	73	0	12	0	0	162	0	0	0	2	0	7	0	0	0	0	0	0	0	2	0	0	0	4	7	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	346	"AWI"	346	2043	2380	2181	7	3	0	140	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	0	0	100	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	356	"AWI"	356	2110	2537	2292	23	1	0	122	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	1	172	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	1
