"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	273	"AWI"	273	8914	10151	9446	1	7	0	0	0	5	0	31	0	0	0	1	0	0	0	0	25	11	53	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	243	0	0	0	0	0	30	0	5	0	0	0	0	0	28	0	0	0	1	5	9	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	279	"AWI"	279	9013	10271	9571	0	0	0	0	0	4	0	23	0	0	0	0	0	0	1	0	28	0	57	1	0	3	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	3	0	264	0	1	0	0	0	21	1	16	0	0	0	0	0	16	2	0	0	2	5	3	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	291	"AWI"	291	9199	10572	9824	0	0	0	1	0	3	0	32	0	29	0	0	0	0	0	0	26	0	47	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	224	0	0	0	0	0	26	3	3	0	0	0	0	0	11	1	0	0	2	7	5	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	307	"AWI"	307	9509	10849	10167	0	1	0	0	0	5	0	22	0	0	0	0	0	0	0	0	15	0	42	1	0	2	0	0	0	0	0	1	0	0	0	7	1	0	0	0	0	0	0	2	0	187	0	0	0	0	0	33	4	8	0	0	0	0	1	20	4	0	0	3	5	5	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	313	"AWI"	313	9614	10948	10305	1	0	0	1	0	10	0	42	0	0	0	0	0	0	0	0	11	0	64	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	176	0	0	0	0	1	38	2	5	0	0	0	0	2	11	4	0	0	0	6	6	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	319	"AWI"	319	9755	11040	10428	0	0	0	2	0	21	0	30	0	0	0	0	0	0	0	0	20	0	139	0	0	4	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	205	0	0	0	0	0	19	4	14	0	0	0	0	0	18	3	3	0	1	4	9	1	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	327	"AWI"	327	9875	11158	10588	0	0	0	1	0	10	0	26	0	72	2	0	0	0	0	0	15	0	92	0	0	0	0	0	0	0	0	0	4	0	0	5	1	0	0	0	0	0	1	0	0	159	0	0	0	0	0	14	1	9	0	0	0	0	2	15	2	0	0	1	5	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	335	"AWI"	335	10117	11277	10752	0	0	0	0	0	10	0	40	0	0	1	0	0	0	0	0	8	0	154	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	210	0	0	0	0	0	24	0	6	0	0	0	0	0	31	4	0	0	3	7	5	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	343	"AWI"	343	10300	11430	10926	0	0	0	0	20	8	0	36	0	0	0	0	0	0	0	0	19	0	117	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	19	2	4	2	0	0	0	1	23	3	0	0	1	4	6	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	351	"AWI"	351	10632	11547	11072	1	0	0	1	0	12	0	34	0	0	1	0	0	0	0	0	16	0	115	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	10	0	1	0	233	0	0	0	0	0	25	2	5	0	0	0	0	3	12	0	0	0	1	3	19	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	355	"AWI"	355	10773	11599	11145	0	1	0	4	0	16	0	20	0	0	0	0	0	0	0	0	8	0	90	0	0	1	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	32	1	5	1	0	0	0	0	18	16	0	0	3	1	12	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	359	"AWI"	359	10877	11671	11223	1	1	0	1	0	14	0	6	0	0	0	0	0	0	0	1	1	0	110	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	318	0	1	0	0	0	15	0	1	0	0	0	0	0	6	0	0	0	2	6	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	364	"AWI"	364	11240	12205	11587	0	0	0	2	0	37	0	8	0	0	0	0	0	0	1	1	0	0	97	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	6	0	0	0	330	0	1	0	0	0	19	1	2	0	0	0	0	5	12	0	0	0	1	2	2	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	368	"AWI"	368	11338	13041	11882	0	0	0	8	0	110	0	12	0	0	0	0	0	0	3	0	0	0	36	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	278	0	2	0	0	0	14	2	0	0	0	0	0	6	9	1	0	0	8	0	5	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	372	"AWI"	372	11408	13895	12187	0	0	0	26	10	139	0	9	0	0	0	0	0	0	2	0	0	0	54	0	20	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	237	0	2	0	0	0	2	0	2	0	0	0	0	4	6	1	0	0	13	7	0	1	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	376	"AWI"	376	11710	14924	12789	0	0	0	10	0	108	0	5	0	0	0	1	0	0	1	1	0	0	31	0	7	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	3	0	5	0	0	0	0	3	4	9	0	0	6	3	3	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	380	"AWI"	380	12106	17065	14383	0	0	0	19	0	199	0	3	0	0	1	0	0	0	1	0	0	0	26	0	15	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	302	0	0	0	0	0	0	0	20	0	0	0	0	8	8	42	0	0	6	2	2	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	384	"AWI"	384	12339	19563	15818	0	0	0	6	0	43	0	4	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	712	0	0	0	0	0	3	2	2	0	0	0	0	2	5	1	0	0	2	0	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	386	"AWI"	386	12426	21029	16505	0	0	0	1	0	45	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	392	"AWI"	392	14252	24151	18896	0	0	0	35	0	250	0	4	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	10	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	396	"AWI"	396	17574	24486	20802	0	0	0	57	0	379	0	5	0	0	0	0	0	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	9	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	401	"AWI"	401	21594	24873	23171	0	0	0	28	0	449	0	2	1	0	0	0	0	0	0	0	2	0	6	0	15	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	48	0	0	0	0	0	7	1	0	0	0	0	0	8	4	2	3	0	11	0	0	1	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	404	"AWI"	404	23712	25270	24607	0	1	0	31	0	421	0	14	0	0	0	0	0	0	0	1	0	0	3	0	22	1	0	0	0	1	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	55	0	0	0	0	0	1	0	3	0	0	0	0	15	2	2	0	0	8	0	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	410	"AWI"	410	24545	26198	25413	0	0	0	20	0	52	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
