"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	50	"AWI"	50	2194	4123	3195	5.09803921568627	0	3.92156862745098	0	0.784313725490196	3.92156862745098	0	5.88235294117647	0	0.784313725490196	0	0.392156862745098	1.56862745098039	0	0	3.52941176470588	17.6470588235294	0	0	0	0	0.392156862745098	35.2941176470588	0	0	0	0	0	0.392156862745098	0	0	0	0	9.01960784313725	0	0.392156862745098	0	0	10.1960784313725	0	0.392156862745098	0	0	0	0	0.392156862745098	0	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	55	"AWI"	55	2535	4393	3516	6.66666666666667	0	2	0	0.333333333333333	2.33333333333333	0	8.66666666666667	0.333333333333333	0.333333333333333	0	0.333333333333333	1	0	0	3.66666666666667	11	0.333333333333333	0	0	0	0	28.6666666666667	0	0.333333333333333	0	0	0	0	0	0	0.666666666666667	0.333333333333333	6	0	0.333333333333333	12	1.33333333333333	12.6666666666667	0	0	0	0.333333333333333	0	0.333333333333333	0	0	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	60	"AWI"	60	2880	4636	3833	6.64335664335664	0.34965034965035	2.0979020979021	0.34965034965035	0	4.54545454545455	0	9.79020979020979	0.699300699300699	0	0	0.34965034965035	1.74825174825175	0	0	3.84615384615385	5.94405594405594	0	3.4965034965035	0	0	0	30.7692307692308	0.34965034965035	0	0	0	0	0	0	0	0	0	3.84615384615385	0	0	10.4895104895105	0	11.8881118881119	0.34965034965035	1.04895104895105	0	0.34965034965035	0.34965034965035	0	0.34965034965035	0.34965034965035	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	65	"AWI"	65	3243	4857	4149	9.7165991902834	0	2.83400809716599	0	0	5.26315789473684	0	11.7408906882591	0	0	0	2.02429149797571	0	0	0	7.69230769230769	3.64372469635628	0	3.23886639676113	0	0	0	31.1740890688259	0	0	0	0	0	0	0	0	0	0	7.28744939271255	0	0.809716599190283	0	0	12.9554655870445	0	0.809716599190283	0	0	0	0	0.404858299595142	0.404858299595142	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	70	"AWI"	70	3720	5101	4451	6.53846153846154	0	2.30769230769231	0.769230769230769	0	5	2.69230769230769	10	0	0	0	0.769230769230769	0	0	0	8.46153846153846	2.69230769230769	0	6.15384615384615	0	0	0.384615384615385	31.1538461538462	0	0	0	0	0	0	0	0	0.384615384615385	0	7.69230769230769	0	0	0	0.769230769230769	13.4615384615385	0.769230769230769	0	0	0	0	0	0	0	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	72.2	"AWI"	72.2	4017.2	5173.2	4584	4.52961672473868	0	4.18118466898955	0	1.04529616724739	3.48432055749129	0	14.2857142857143	0	0	0	0.348432055749129	0	0	0	7.31707317073171	3.83275261324042	0	0	0	0	0	20.9059233449477	0	0.696864111498258	0	0	0	0.348432055749129	0	0	1.39372822299652	0	5.92334494773519	0	0	11.8466898954704	0.696864111498258	15.6794425087108	0	0.348432055749129	0	0	0	1.04529616724739	1.39372822299652	0.696864111498258	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	75	"AWI"	75	4285	5304	4757	3.66300366300366	0	2.93040293040293	0	0	6.59340659340659	2.93040293040293	17.5824175824176	0	0	0	1.0989010989011	0	0	0	11.7216117216117	2.1978021978022	0	4.02930402930403	0	0	0	18.3150183150183	0.366300366300366	0.366300366300366	0	0	0	2.1978021978022	0	0	1.0989010989011	0	4.3956043956044	0	0	0	0	16.1172161172161	1.0989010989011	0.732600732600733	0.732600732600733	0	0	0.366300366300366	0.732600732600733	0.732600732600733	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	77.2	"AWI"	77.2	4581.2	5447.2	4965.6	2.74509803921569	0.392156862745098	1.17647058823529	0	0.392156862745098	2.35294117647059	0	21.5686274509804	0.784313725490196	0	0	0.392156862745098	1.56862745098039	0	0	10.9803921568627	6.27450980392157	0	0	0	0	0	16.4705882352941	0.392156862745098	0.392156862745098	0	0	0	1.17647058823529	0	0	0.392156862745098	0	8.62745098039216	0	0.392156862745098	0	1.17647058823529	20	0	0.392156862745098	0	0	0	0.392156862745098	1.17647058823529	0.392156862745098	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	80	"AWI"	80	4744	5836	5249	0.803212851405622	0	0	0	0.803212851405622	0.803212851405622	0	16.4658634538153	0	0	0	3.21285140562249	0	0	0	20.0803212851406	2.00803212851406	0	0	0	0	0	3.6144578313253	0.401606425702811	0	0	0	0	2.40963855421687	0	0	1.60642570281124	0	14.0562248995984	0	0.401606425702811	0	0	25.7028112449799	0	0.803212851405622	1.20481927710843	0.401606425702811	0	0.401606425702811	2.00803212851406	2.81124497991968	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	82.2	"AWI"	82.2	5045.4	5964	5504.8	0.87719298245614	0.43859649122807	0	0	0.87719298245614	0.87719298245614	0	24.1228070175439	0	0	0	0	0.43859649122807	0	0	12.719298245614	2.63157894736842	0	0	0	0	0	7.01754385964912	1.31578947368421	1.31578947368421	0	0	0	3.94736842105263	0	0	3.07017543859649	0	10.5263157894737	0.43859649122807	0	0	0	19.7368421052632	0	0.87719298245614	2.19298245614035	0	0.43859649122807	0.87719298245614	2.19298245614035	3.07017543859649	0	0
