"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cercis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Loranthaceae"	"Lythraceae"	"Montiaceae"	"Myrtus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	96	"AWI"	96	4103	4490	4344	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	130	3	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	75	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	100	"AWI"	100	4166	4537	4387	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	274	5	0	0	1	0	36	0	1	0	5	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	1	0	0	0	0	0	137	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	110	"AWI"	110	4268	4655	4481	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	2	0	0	0	0	31	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	142	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	120	"AWI"	120	4381	4746	4558	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	281	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	109	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	130	"AWI"	130	4482	4826	4643	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	324	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	133	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	140	"AWI"	140	4583	4947	4768	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	252	0	0	0	0	0	39	0	0	0	13	0	0	1	0	0	5	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	122	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	150	"AWI"	150	4687	5061	4884	2	2	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	302	3	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	131	10	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	160	"AWI"	160	4796	5157	4992	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	274	3	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	143	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	170	"AWI"	170	4915	5241	5104	2	2	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	338	4	1	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	126	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	180	"AWI"	180	5045	5323	5218	1	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	295	0	0	0	1	0	30	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	116	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	190	"AWI"	190	5147	5484	5328	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	341	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	149	8	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	200	"AWI"	200	5256	5621	5444	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	1	1	22	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	210	"AWI"	210	5375	5732	5562	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	298	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	197	7	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0
