"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15803	24298	"Chutti Boltigen"	46.63333	7.3925	527	"AWI"	527	11213	12359	11806	0	0	0	6	0	26	0	121	0	0	0	0	0	0	25	2	0	0	0	10	0	0	1	1	755	0	89	1	0	0	0	0	10	5	6	0	0	11	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	547	"AWI"	547	12105	13029	12610	0	0	0	5	0	8	0	222	0	0	0	0	0	0	15	2	0	0	0	5	0	0	0	0	745	0	48	0	0	0	0	0	6	4	3	0	0	1	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	560	"AWI"	560	12749	13525	13098	0	0	1	2	0	22	0	300	0	0	0	0	0	0	6	4	0	0	1	6	0	0	0	0	232	0	43	0	0	0	0	0	1	1	3	0	0	5	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	561	"AWI"	561	12793	13555	13137	0	0	0	1	0	42	0	407	0	0	0	0	0	0	6	5	0	0	0	2	0	0	0	0	85	0	37	0	0	0	0	0	3	3	5	0	0	6	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	562	"AWI"	562	12825	13600	13175	0	0	1	1	1	34	0	322	0	0	0	0	0	0	7	6	0	1	0	4	0	0	0	0	44	0	30	0	0	0	0	0	4	0	0	0	0	5	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	563	"AWI"	563	12855	13658	13213	0	0	0	3	0	33	0	316	0	0	0	0	0	0	7	8	0	0	0	1	0	0	0	0	29	0	40	0	0	0	0	0	6	1	6	0	0	2	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	565	"AWI"	565	12899	13801	13283	0	0	1	1	0	50	0	384	0	0	0	0	0	0	13	14	0	0	0	13	0	0	0	0	14	0	39	0	1	0	0	0	8	0	14	0	0	4	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	566	"AWI"	566	12934	13838	13329	0	0	0	3	0	41	0	302	0	0	0	0	0	0	28	25	0	0	0	23	0	0	0	0	14	0	32	0	0	2	0	0	5	4	8	0	1	4	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	567	"AWI"	567	12965	13892	13374	0	0	1	3	0	35	0	150	1	0	0	0	0	0	14	39	0	0	0	10	0	0	0	0	10	0	58	0	1	0	0	0	5	4	7	0	0	9	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	568.5	"AWI"	568.5	13000	13993.5	13439	0	0	0	1	0	28	0	123	0	0	0	0	0	0	14	38	0	1	0	55	1	0	0	0	12	0	54	0	2	0	0	0	3	0	8	0	0	8	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	570	"AWI"	570	13027	14132	13498	0	0	5	1	0	23	0	10	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	8	0	31	0	0	0	0	0	0	0	1	0	0	5	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	579	"AWI"	579	13305	14695	13891	3	0	0	0	0	25	0	5	0	0	0	0	0	0	6	1	0	0	0	1	0	0	0	5	18	0	37	0	0	0	0	0	2	2	6	0	0	1	0	0
