"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
3165	4115	"Isokärret"	60.214606	22.798556	97.5	"AWI"	97.5	1541.5	2482	2057.5	0	180	0	0	5	0	542	0	0	0	0	0	1	13	10	3	0	1	1	1	0	0	1	0	0	0	0	38	206	0	0	0	1	0	0	13	0	0	0	0	6	0	1	0	4	6	0
3165	4115	"Isokärret"	60.214606	22.798556	100	"AWI"	100	1620	2623	2211	0	188	2	2	5	0	567	0	0	0	0	0	0	8	13	0	0	0	1	0	0	3	0	0	0	0	0	21	167	0	0	0	1	1	0	30	0	0	0	0	0	0	0	0	8	10	0
3165	4115	"Isokärret"	60.214606	22.798556	102.5	"AWI"	102.5	1900	2667.5	2333.5	0	163	1	0	6	0	583	0	0	0	0	0	0	8	19	2	0	0	0	12	0	0	0	0	0	0	3	25	161	0	0	0	1	0	0	23	0	0	0	0	10	0	1	0	4	6	0
3165	4115	"Isokärret"	60.214606	22.798556	105	"AWI"	105	2089	2744	2460	0	174	0	0	6	0	596	0	0	0	0	0	0	7	19	2	0	0	0	9	0	1	0	0	0	0	2	20	148	0	37	0	1	1	0	22	0	0	0	1	2	0	0	0	1	8	2
3165	4115	"Isokärret"	60.214606	22.798556	107.5	"AWI"	107.5	2186.5	2931	2596.5	0	212	0	0	4	0	565	0	0	0	0	0	0	3	21	5	0	0	0	3	0	3	0	0	0	0	3	23	112	0	0	0	0	0	0	35	0	0	0	0	4	0	1	0	13	15	1
3165	4115	"Isokärret"	60.214606	22.798556	110	"AWI"	110	2251	3207	2719	0	220	1	3	3	0	362	0	0	0	0	0	0	1	22	1	0	1	0	5	0	10	0	0	0	0	0	79	255	0	0	0	0	1	0	32	0	0	0	0	6	0	0	0	9	16	0
3165	4115	"Isokärret"	60.214606	22.798556	112.5	"AWI"	112.5	2381.5	3260.5	2818.5	0	320	1	1	1	0	300	0	0	0	0	0	0	12	40	8	0	0	0	2	0	22	0	0	0	0	2	10	230	0	0	0	1	3	0	90	0	0	0	0	1	0	0	3	14	8	0
3165	4115	"Isokärret"	60.214606	22.798556	115	"AWI"	115	2469	3337	2925	0	201	0	1	0	0	481	0	0	0	0	0	0	1	35	1	0	0	0	6	0	1	0	0	0	0	0	59	151	0	0	0	1	1	0	53	0	0	0	1	0	1	0	0	16	11	0
3165	4115	"Isokärret"	60.214606	22.798556	117.5	"AWI"	117.5	2534	3452	3028.5	0	238	0	0	1	0	348	0	0	0	0	0	0	0	44	2	0	0	0	5	0	0	0	0	0	0	1	100	169	0	0	0	1	2	0	63	0	2	0	1	1	0	0	2	23	7	0
3165	4115	"Isokärret"	60.214606	22.798556	120	"AWI"	120	2579	3608	3126	1	192	0	0	5	0	417	0	0	0	0	0	0	2	40	0	0	0	0	3	0	0	0	0	0	0	1	63	177	0	0	0	0	0	0	59	0	0	0	0	0	2	0	0	33	12	0
3165	4115	"Isokärret"	60.214606	22.798556	122.5	"AWI"	122.5	2779	3645.5	3217.5	1	269	0	0	7	0	430	0	1	0	0	0	0	0	35	0	0	0	0	2	0	1	0	0	0	0	0	50	116	0	0	0	1	0	0	44	0	0	0	0	1	1	0	2	28	22	0
3165	4115	"Isokärret"	60.214606	22.798556	125	"AWI"	125	2943	3697	3311	0	306	1	0	2	0	447	0	0	0	0	0	0	2	45	0	0	0	0	2	0	0	0	0	0	0	0	34	96	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	15	13	0
3165	4115	"Isokärret"	60.214606	22.798556	127.5	"AWI"	127.5	3064.5	3769	3408	0	289	0	2	3	0	482	0	0	0	0	0	0	0	46	0	0	0	0	4	0	2	0	0	0	0	0	32	65	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	21	15	0
3165	4115	"Isokärret"	60.214606	22.798556	130	"AWI"	130	3160	3874	3509	3	259	0	0	1	0	473	0	0	0	0	0	0	0	39	0	0	0	1	4	0	0	0	0	0	0	0	29	92	0	0	0	0	0	0	54	0	0	0	0	2	1	0	0	19	28	0
3165	4115	"Isokärret"	60.214606	22.798556	132.5	"AWI"	132.5	3311.5	3990	3628	0	224	0	2	9	0	496	0	0	0	0	0	1	0	68	1	0	0	0	3	0	1	0	0	0	2	0	38	62	0	0	0	1	0	0	58	0	0	0	0	0	0	1	0	21	30	0
3165	4115	"Isokärret"	60.214606	22.798556	135	"AWI"	135	3399	4242	3744	0	165	0	0	5	0	441	0	0	0	0	0	0	3	35	1	0	0	0	10	0	4	0	0	0	0	2	30	196	0	0	0	3	0	0	60	0	0	0	0	0	0	2	0	29	32	0
3165	4115	"Isokärret"	60.214606	22.798556	137.5	"AWI"	137.5	3448.5	4558	3850	0	173	1	1	3	0	388	0	0	0	0	0	0	3	45	2	0	0	0	5	0	0	0	0	0	0	4	22	302	0	0	0	0	0	0	39	0	0	0	0	1	0	2	0	32	33	1
3165	4115	"Isokärret"	60.214606	22.798556	140	"AWI"	140	3484	4920	3950	0	156	1	0	1	0	370	0	0	0	1	0	0	2	40	0	0	0	0	7	0	1	0	0	0	0	1	15	336	0	0	0	0	0	0	36	0	0	0	0	1	0	0	0	14	25	0
3165	4115	"Isokärret"	60.214606	22.798556	142.5	"AWI"	142.5	3570.5	5062.5	4077	0	126	0	1	5	0	325	0	0	0	0	0	0	3	43	1	0	0	0	2	0	0	0	0	0	0	0	20	406	0	0	0	0	0	0	42	0	0	0	0	1	0	2	0	25	11	1
3165	4115	"Isokärret"	60.214606	22.798556	145	"AWI"	145	3621	5265	4202	0	129	0	0	1	0	290	0	0	0	0	0	0	4	27	2	0	0	0	3	0	0	0	0	0	0	0	23	471	0	0	0	0	0	0	28	0	0	0	0	2	0	0	0	13	17	0
3165	4115	"Isokärret"	60.214606	22.798556	147.5	"AWI"	147.5	3662.5	5524.5	4319.5	0	75	2	1	4	0	197	0	0	0	0	0	0	4	25	1	0	0	0	2	0	0	0	0	0	0	1	37	633	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	9	7	0
