"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
3012	3926	"Besbog"	41.732864	23.524038	85	"AWI"	85	3847	4495	4128	50	1	1	0	0	3	0	7	0	1	0	0	8	19	0	0	2	0	1	0	0	2	4	1	0	0	0	323	0	0	0	0	0	11	7	0	2	9	0	1	0	14	2	0
3012	3926	"Besbog"	41.732864	23.524038	90	"AWI"	90	4061	5727	4622	0	0	8	9	0	6	0	5	1	0	19	0	3	15	0	1	4	0	0	0	1	9	8	0	0	0	0	121	0	0	0	0	0	37	18	0	2	4	0	1	7	37	3	0
3012	3926	"Besbog"	41.732864	23.524038	95	"AWI"	95	4355	6484	5184	12	0	1	6	0	13	0	6	0	0	0	0	1	12	3	2	4	0	2	0	0	4	1	2	0	0	12	314	0	0	0	0	0	14	12	0	5	0	0	1	1	3	0	0
3012	3926	"Besbog"	41.732864	23.524038	100	"AWI"	100	4695	7136	5752	6	0	3	20	0	15	0	10	0	0	0	23	0	33	0	0	0	0	3	0	0	4	1	5	0	0	5	171	0	0	0	0	0	29	10	0	8	10	0	0	1	12	0	0
3012	3926	"Besbog"	41.732864	23.524038	105	"AWI"	105	5091	7665	6313	0	0	2	20	0	22	118	13	0	0	9	0	0	55	0	0	0	0	0	0	1	5	3	8	1	0	0	76	0	0	0	0	0	27	17	0	20	9	0	0	5	10	3	0
3012	3926	"Besbog"	41.732864	23.524038	110	"AWI"	110	5603	8205	6901	2	0	1	28	0	41	104	14	0	0	10	24	0	52	0	0	3	0	2	0	3	5	6	1	0	0	2	123	0	0	0	0	0	15	11	0	8	6	0	2	3	1	1	0
3012	3926	"Besbog"	41.732864	23.524038	115	"AWI"	115	6100	8663	7467	28	0	1	2	0	6	0	2	0	0	0	0	1	15	0	0	2	0	0	0	1	1	0	0	0	0	3	270	0	0	0	0	0	4	4	0	1	3	0	1	1	2	1	0
3012	3926	"Besbog"	41.732864	23.524038	120	"AWI"	120	6715	9046	8040	26	0	2	9	0	19	0	3	0	0	0	10	0	20	0	0	2	0	0	0	0	3	1	0	0	3	15	296	0	0	0	0	0	3	5	0	3	4	0	0	0	4	0	0
3012	3926	"Besbog"	41.732864	23.524038	125	"AWI"	125	7434	9396	8598	0	0	1	50	0	166	0	1	0	0	0	20	0	16	4	0	0	0	0	0	2	2	0	0	0	0	0	54	0	1	0	0	0	3	4	0	4	8	0	2	2	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	130	"AWI"	130	8365	9755	9124	1	0	2	45	0	204	85	8	0	0	0	24	0	19	0	0	2	0	1	0	0	2	0	0	0	0	0	46	0	0	0	0	0	4	6	0	1	2	0	1	4	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	135	"AWI"	135	8835	10474	9581	0	0	3	52	0	168	0	5	0	0	0	23	0	21	7	0	1	0	1	0	4	2	0	0	0	0	0	52	0	0	0	0	0	4	9	0	6	5	0	0	2	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	140	"AWI"	140	9119	11282	9992	0	0	1	44	0	148	0	2	0	0	0	14	1	22	0	0	0	0	4	0	0	0	2	0	0	0	0	45	0	0	0	0	1	3	10	0	10	6	0	1	1	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	145	"AWI"	145	9416	12011	10428	0	0	0	47	0	166	0	3	0	0	0	0	0	14	0	0	0	0	0	0	1	2	0	1	0	0	0	67	0	1	0	0	0	1	20	0	1	2	0	0	9	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	150	"AWI"	150	9716	12648	10873	1	0	0	51	0	174	0	2	0	0	0	33	1	24	0	0	1	0	0	0	4	2	0	0	0	0	0	103	0	0	0	0	0	7	7	0	7	4	0	0	2	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	155	"AWI"	155	9989	13308	11323	0	0	0	66	0	130	0	1	0	0	0	35	0	37	0	0	0	0	2	1	4	2	3	0	0	0	0	68	0	1	0	0	1	7	14	0	11	0	0	1	3	1	0	0
