"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Urticaceae"
24037	41755	"PRD-4"	42.53333	-8.51667	82.5	"AWI"	82.5	3685.5	4278	3970.5	0	29	0	1	8	0	0	16	39	9	2	4	18	65	30	0	3	1	13	13	1	1	0	4	1	2	2	0	0	2	225	0	1	2	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	87.5	"AWI"	87.5	3902	4489	4203	0	39	1	1	8	0	0	16	22	13	2	0	21	39	24	0	3	1	11	16	0	0	0	3	2	1	2	3	0	2	211	0	0	2	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	92.5	"AWI"	92.5	4167.5	4672.5	4435	0	38	1	2	7	0	0	19	27	8	1	3	13	24	31	0	2	2	22	9	0	0	0	2	1	1	0	0	0	1	233	0	0	1	3	2
24037	41755	"PRD-4"	42.53333	-8.51667	97.5	"AWI"	97.5	4487.5	4825.5	4675.5	0	45	0	1	4	0	0	22	15	14	0	0	16	27	30	0	1	0	20	11	0	0	0	5	1	3	0	0	0	1	245	0	0	3	2	0
24037	41755	"PRD-4"	42.53333	-8.51667	102.5	"AWI"	102.5	4710	5321.5	4991.5	0	33	2	2	21	0	5	35	56	2	2	10	43	54	11	0	2	0	11	41	0	0	0	2	2	2	11	17	0	1	199	3	5	6	0	11
24037	41755	"PRD-4"	42.53333	-8.51667	107.5	"AWI"	107.5	4974.5	5704	5336	0	45	0	3	12	0	3	41	78	1	0	10	32	33	12	0	2	1	13	37	1	1	1	2	1	0	0	18	0	0	187	3	4	7	2	8
24037	41755	"PRD-4"	42.53333	-8.51667	112.5	"AWI"	112.5	5303	6000	5673.5	0	21	2	3	9	1	6	46	64	1	1	16	35	46	11	0	3	2	19	29	0	2	0	3	2	0	12	25	0	1	213	4	6	5	3	13
24037	41755	"PRD-4"	42.53333	-8.51667	117.5	"AWI"	117.5	5693.5	6254.5	6017	0	18	1	3	9	0	6	47	43	3	1	18	46	45	15	0	2	3	9	43	0	2	3	2	3	1	10	14	0	2	224	4	3	5	3	9
24037	41755	"PRD-4"	42.53333	-8.51667	122.5	"AWI"	122.5	6207	6459	6336.5	0	27	1	2	13	1	7	40	39	1	2	12	29	39	13	0	4	0	13	18	0	0	0	3	3	3	6	16	0	1	187	2	7	6	2	12
24037	41755	"PRD-4"	42.53333	-8.51667	127.5	"AWI"	127.5	6402	7009.5	6636.5	0	32	0	4	24	0	1	49	67	1	0	8	30	52	8	0	1	0	16	33	0	0	0	3	2	0	8	18	0	1	176	4	2	7	1	7
24037	41755	"PRD-4"	42.53333	-8.51667	132.5	"AWI"	132.5	6606.5	7425	6952	0	28	2	2	13	0	4	17	103	3	1	11	57	73	15	0	2	2	21	28	0	3	2	3	3	2	16	10	0	4	203	7	1	4	3	6
24037	41755	"PRD-4"	42.53333	-8.51667	137.5	"AWI"	137.5	6843	7813	7270	0	33	3	3	11	1	3	12	99	2	2	11	65	67	12	0	3	5	13	31	1	2	1	2	2	1	12	6	0	2	188	4	2	5	2	4
24037	41755	"PRD-4"	42.53333	-8.51667	142.5	"AWI"	142.5	7098.5	8199.5	7597	0	43	3	5	9	1	2	14	77	0	3	10	33	88	14	0	3	5	11	22	0	1	1	0	3	1	12	3	0	0	231	7	1	4	0	5
24037	41755	"PRD-4"	42.53333	-8.51667	147.5	"AWI"	147.5	7357.5	8528	7916	0	25	1	4	9	0	0	10	56	2	3	10	47	99	15	0	5	4	8	11	0	0	0	1	2	2	15	0	0	1	199	6	0	7	2	0
24037	41755	"PRD-4"	42.53333	-8.51667	152.5	"AWI"	152.5	7650.5	8856.5	8241	0	28	3	7	13	0	0	13	78	0	2	13	59	69	28	0	4	3	13	9	0	0	3	0	3	1	10	0	0	0	213	8	0	8	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	157.5	"AWI"	157.5	7949.5	9189	8563.5	0	13	21	4	11	19	0	12	211	4	7	21	33	41	76	0	4	3	3	77	2	0	0	15	9	3	23	0	0	2	99	3	0	13	5	1
24037	41755	"PRD-4"	42.53333	-8.51667	162.5	"AWI"	162.5	8250.5	9505.5	8886.5	0	29	2	1	23	1	0	8	155	2	2	9	44	112	17	0	3	7	11	43	0	1	0	3	2	2	13	0	0	2	167	11	0	11	0	1
24037	41755	"PRD-4"	42.53333	-8.51667	167.5	"AWI"	167.5	8575.5	9796.5	9203	0	44	1	3	18	0	1	18	133	0	2	14	67	99	0	0	4	8	9	65	0	0	3	2	2	2	11	0	0	0	179	9	1	13	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	172.5	"AWI"	172.5	8897	10091	9525.5	0	35	3	5	13	2	2	13	144	0	1	22	59	78	27	0	2	11	9	44	0	2	7	1	1	0	9	2	0	3	155	9	0	22	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	177.5	"AWI"	177.5	9235	10376.5	9850.5	0	37	3	5	21	1	0	18	129	1	3	16	36	87	13	0	2	2	8	72	0	0	9	3	2	3	0	3	0	3	162	9	0	15	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	182.5	"AWI"	182.5	9590	10647.5	10171.5	0	26	2	4	18	0	0	22	167	0	3	17	41	99	24	0	3	1	10	54	0	0	0	3	3	0	0	0	0	2	143	12	0	18	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	187.5	"AWI"	187.5	9944	10899	10496.5	0	23	25	1	1	8	1	25	202	2	2	3	2	61	0	0	2	2	2	51	0	0	0	4	2	3	0	0	0	2	77	8	0	11	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	197.5	"AWI"	197.5	10781.5	11338.5	11168.5	0	30	31	0	1	13	0	26	193	0	0	0	1	55	12	0	0	1	3	42	1	1	2	4	3	9	10	0	0	0	60	9	0	15	1	1
24037	41755	"PRD-4"	42.53333	-8.51667	202.5	"AWI"	202.5	10988.5	11827.5	11418.5	0	24	23	1	2	21	0	19	177	2	2	2	3	33	10	0	2	1	1	39	0	0	1	3	2	3	0	0	0	3	55	12	0	9	3	0
24037	41755	"PRD-4"	42.53333	-8.51667	207.5	"AWI"	207.5	11191.5	12213.5	11697	0	13	27	1	0	12	0	18	185	1	1	0	3	49	0	0	2	1	1	33	0	0	0	1	1	7	0	0	0	3	61	10	0	13	3	0
24037	41755	"PRD-4"	42.53333	-8.51667	212.5	"AWI"	212.5	11431.5	12599	11974	0	11	22	0	0	15	0	21	201	3	0	0	2	22	0	0	3	0	0	38	0	0	0	2	3	7	0	0	0	1	49	5	0	8	3	0
24037	41755	"PRD-4"	42.53333	-8.51667	217.5	"AWI"	217.5	11661	12963.5	12264	0	5	23	1	1	9	0	7	160	3	1	3	2	3	19	0	1	1	2	44	1	0	0	4	2	2	12	0	0	1	33	6	0	9	2	0
24037	41755	"PRD-4"	42.53333	-8.51667	222.5	"AWI"	222.5	11899.5	13311.5	12553.5	0	3	18	0	0	13	0	7	211	2	2	3	1	8	25	0	0	0	2	51	0	0	0	4	2	0	0	0	0	0	25	0	0	11	4	0
24037	41755	"PRD-4"	42.53333	-8.51667	227.5	"AWI"	227.5	12133.5	13670	12840.5	0	6	31	1	0	21	0	0	303	2	2	0	1	3	14	0	1	2	3	39	0	0	0	7	4	1	14	0	0	0	13	0	0	13	3	0
24037	41755	"PRD-4"	42.53333	-8.51667	232.5	"AWI"	232.5	12374.5	13998	13127.5	0	6	22	0	0	13	0	8	267	1	3	0	1	4	0	0	0	0	2	67	0	0	0	9	5	2	0	0	0	2	18	1	0	8	5	0
24037	41755	"PRD-4"	42.53333	-8.51667	237.5	"AWI"	237.5	12611	14330.5	13413.5	0	7	19	0	0	18	0	5	313	2	1	0	2	7	26	0	0	0	1	49	0	0	0	11	7	0	0	0	0	2	21	2	0	7	3	0
