"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cryptomeria"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Engelhardia"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglandaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Liquidambar"	"Magnolia"	"Melanthiaceae"	"Myrica"	"Nyssa"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Podocarpus"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sciadopitys"	"Scrophulariaceae"	"Sequoia"	"Sorbus"	"Symplocos"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
15745	24181	"Labský dul"	50.762596	15.551962	400	"AWI"	400	6071	6437	6285	0	0	0	0	0	0	0	1.36986301369863	0	6.39269406392694	0	0	0	0	0	0	0	0	0	0	0	0	35.6164383561644	0	0	1.82648401826484	0	0	0	0	0	0.45662100456621	0.91324200913242	0	0.45662100456621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.8356164383562	0	0	0	0	0	0	0	0	0	0	0	3.65296803652968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91324200913242	3.65296803652968	0	0	0.91324200913242
15745	24181	"Labský dul"	50.762596	15.551962	420	"AWI"	420	6213	6867	6500	0.564971751412429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.7175141242938	0	0	1.69491525423729	0	0	0	0	0	0.564971751412429	0.564971751412429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0282485875706	0	0	0	0	0	0	0	0	0	0	0	5.08474576271187	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564971751412429	5.64971751412429	0	0	0.564971751412429
15745	24181	"Labský dul"	50.762596	15.551962	430	"AWI"	430	6346	6968	6621	0	0	0	0	0	0	0	1.15606936416185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.5549132947977	0	0	4.04624277456647	0	0	0	0	0	1.15606936416185	2.89017341040462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9479768786127	0	0	0	0	0	0	0	0	0	0	0	6.35838150289017	0	0	0	0	0	1.73410404624277	0	0	0	0	0	0	0	0.578034682080925	0	0	0	0.578034682080925
15745	24181	"Labský dul"	50.762596	15.551962	450	"AWI"	450	6544	7147	6884	0	0	0	0	0	0	0	1.03092783505155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0515463917526	0	0	0.515463917525773	0	0	0	0	0	0.515463917525773	1.54639175257732	0.515463917525773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.1237113402062	0	0	0	0	0	0	0	0	0	0	0	6.18556701030928	0	0	0	0	0	0.515463917525773	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	460	"AWI"	460	6805	7201	7001	0	0	0	0	0	0	0	1.97368421052632	0	20.0657894736842	0	0	0	0	0	0	0	0	0	0	0	0	49.3421052631579	0	0	2.96052631578947	0	0	0	0	0	0	1.31578947368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7631578947368	0	0	0	0	0	0	0	0	0	0	0	4.93421052631579	0	0	0	0	0	0.328947368421053	0	0	0	0	0	0	0	0.986842105263158	0	0	0	0.328947368421053
15745	24181	"Labský dul"	50.762596	15.551962	480	"AWI"	480	7074	7394	7239	0	0	0	0	0	0	0	2.32558139534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	2.32558139534884	0	0	0	0	0	0	0.581395348837209	0	0	0	0	0	0	0	0.581395348837209	0	0	0	0.581395348837209	0	0	0	0	0	0	40.6976744186046	0	0	0	0	0	0	0	0	0	0	0	2.90697674418605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	505	"AWI"	505	7297	7617	7477	0	0	0	0	0	0	0	0.458715596330275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.9816513761468	0	0	0.917431192660551	0	0	0	0	0	0.458715596330275	0.458715596330275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1376146788991	0	0	0	0	0	0	0	0	0	0	0	3.21100917431193	0	0	0	0	0	0.917431192660551	0	0	0	0	0	0	0	0.458715596330275	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	510	"AWI"	510	7319	7703	7507	0	0.2710027100271	0	0.2710027100271	0	0.2710027100271	0	0.813008130081301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.8753387533875	0	0	1.6260162601626	0	0	0	0	0	0	1.8970189701897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.8265582655827	0	0	0	0	0	0	0	0	0	0	0	3.5230352303523	0	0	0	0	0	1.0840108401084	0.2710027100271	0	0	0	0	0	0	0.2710027100271	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	520	"AWI"	520	7351	7903	7569	1.82926829268293	0	0	0	0	0	0	1.21951219512195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.219512195122	0	0	0	0	0	0	0	0	0.609756097560976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0731707317073	0	0	0	0	0	0	0	0	0	0	0	1.82926829268293	0	0	0	0	0	0.609756097560976	0	0	0	0	0	0	0	0.609756097560976	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	530	"AWI"	530	7399	8002	7639	0.974025974025974	0.324675324675325	0	0	0	0	0	0.974025974025974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.7922077922078	0	0	0	0	0	0	0	0	0.324675324675325	1.62337662337662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324675324675325	29.2207792207792	0	0	0	0	0	0	0	0.324675324675325	0	0	0	5.84415584415584	0	0	0	0	0	0.974025974025974	0	0	0	0	0	0	0	0.974025974025974	0	0	0	0.324675324675325
15745	24181	"Labský dul"	50.762596	15.551962	540	"AWI"	540	7436	8132	7710	0	0.492610837438424	0	0	0	0	0	2.46305418719212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.4827586206897	0	0	2.95566502463054	0	0	0	0	0	0.492610837438424	2.46305418719212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.3349753694581	0	0	0	0	0	0	0	0.985221674876847	0	0	0	7.88177339901478	0	0	0	0	0	1.47783251231527	0	0	0	0	0	0	0	1.97044334975369	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	560	"AWI"	560	7524	8327	7847	0	0	0	0.321543408360129	0	0	0	0.643086816720257	0	8.03858520900322	0	0	0	0	0	0	0	0	0	0	0	0	36.0128617363344	0	0	1.60771704180064	0	0	0	0	0	0	0.964630225080386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4083601286174	0	0	0	0	0	0	0	0	0	0	0	8.03858520900322	0	0	0	0	0	0.643086816720257	0	0	0	0.321543408360129	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	570	"AWI"	570	7559	8427	7920	0	0	0	0	0	0.485436893203883	0	1.45631067961165	0	10.6796116504854	0	0	0	0	0	0	0	0	0	0	0	0	42.2330097087379	0	0	0	0	0	0	0	0	0	0.485436893203883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9805825242718	0	0	0	0	0	0	0	0	0	0	0	10.1941747572816	0	0	0	0	0	0.485436893203883	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	630	"AWI"	630	7879	8936	8354	0	0	0	0	0	0	0	0.75187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.3157894736842	0	0	0.37593984962406	0	0	0	0	0	0	0	0	0.37593984962406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75187969924812	0	0	13.5338345864662	0	0	0	0	0	0	0	0	0	0	0	6.01503759398496	0	0	0	0	0	1.12781954887218	0.37593984962406	0	0	0	0	0	0	0.37593984962406	0	0	0	0
