"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	289	"AWI"	289	1878	2167	2028	0	291	4	0	0	0	0	107	0	0	0	0	0	0	0	53	11	0	0	18	0	0	0	0	0	0	0	1	0	0	5	7	47	0	0	0	0	24	0	0	0	0	1	0	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	285	"AWI"	285	1846	2144	1998	0	301	6	0	0	1	0	121	0	0	0	0	0	0	0	46	25	0	0	25	0	0	0	0	0	0	0	1	0	0	7	0	19	4	0	0	0	26	0	0	0	0	0	0	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	39	"AWI"	39	134	424	285	0	75	30	0	0	0	0	38	0	1	0	1	0	0	0	36	55	0	0	17	0	0	0	0	0	0	0	0	0	0	2	4	85	0	115	0	0	14	0	0	0	0	0	1	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	321	"AWI"	321	2132	2366	2267	0	190	1	1	0	1	0	188	0	0	0	0	0	0	0	33	40	0	0	6	0	0	0	0	0	0	0	1	0	0	4	0	45	0	0	0	0	72	0	0	0	0	0	1	0	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	221	"AWI"	221	1367	1641	1510	0	257	4	1	0	2	0	105	0	0	0	0	0	0	0	47	37	0	0	32	0	3	0	0	0	0	0	0	0	0	13	1	41	0	0	0	0	44	0	0	0	0	0	0	0	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	197	"AWI"	197	1176	1419	1304	0	201	3	0	0	1	0	126	0	0	0	0	0	0	0	43	27	0	0	81	0	2	0	0	0	0	0	0	0	0	20	0	26	2	0	0	0	41	0	0	0	0	0	2	0	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	319	"AWI"	319	2116	2350	2252	0	61	2	0	0	0	0	237	0	0	0	0	0	0	0	59	13	0	0	22	0	0	0	0	0	0	0	2	0	0	0	16	136	6	0	0	0	26	0	0	0	0	0	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	273	"AWI"	273	1756	2059	1908	0	225	5	0	0	0	0	87	0	0	0	0	0	0	0	94	8	0	0	62	0	0	0	0	0	0	0	0	0	0	11	4	76	0	81	0	0	33	0	0	0	0	1	0	2	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	377	"AWI"	377	2596	2908	2777	0	177	8	4	0	0	0	126	0	2	0	0	0	0	0	32	30	0	0	20	0	0	0	0	0	0	0	0	0	0	1	6	96	0	0	0	0	63	0	0	0	0	1	0	3	8	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	409	"AWI"	409	2960	3218	3102	2	250	24	1	0	0	0	72	0	0	0	0	0	0	0	54	20	0	0	5	0	0	0	0	0	3	0	0	0	0	0	7	137	0	0	0	0	19	0	0	0	0	0	0	4	4	0
