"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3381	4382	"Rotsee"	47.07556	8.32556	285	"AWI"	285	3328	4335	3910	78	1	211	0	1	1	5	0	25	1	0	0	0	0	0	0	0	79	13	0	0	0	0	229	0	17	0	1	0	3	0	0	0	0	0	20	15	4	16	0	0	33	2	0	1	0	3	0	0	0	0	1	1	0
3381	4382	"Rotsee"	47.07556	8.32556	305	"AWI"	305	3806	4531	4170	79	1	212	0	2	0	3	0	25	1	0	0	0	0	0	0	0	82	4	0	0	0	0	190	2	32	0	0	0	6	0	0	0	0	0	16	23	0	29	0	0	35	2	0	1	0	5	0	0	0	1	1	1	0
3381	4382	"Rotsee"	47.07556	8.32556	315	"AWI"	315	3974	4667	4304	155	0	202	0	1	3	6	0	30	0	0	0	0	0	0	0	0	82	8	0	0	0	0	213	1	7	0	0	0	1	0	0	0	0	1	31	14	4	12	0	0	38	1	0	0	0	2	0	0	0	5	3	0	0
3381	4382	"Rotsee"	47.07556	8.32556	325	"AWI"	325	4049	4845	4426	150	2	218	1	2	0	3	0	38	0	0	0	0	0	0	0	0	80	10	0	0	0	0	203	1	19	0	0	0	9	0	0	0	0	0	32	31	0	27	0	0	31	3	0	0	1	3	0	0	0	3	0	1	0
3381	4382	"Rotsee"	47.07556	8.32556	335	"AWI"	335	4149	5036	4548	172	0	132	0	0	1	3	0	21	0	0	0	0	1	0	0	0	46	7	0	0	0	0	132	4	8	0	0	0	1	0	0	0	0	1	16	32	0	12	0	0	32	2	0	0	0	0	0	0	0	29	8	0	0
3381	4382	"Rotsee"	47.07556	8.32556	345	"AWI"	345	4225	5260	4669	126	2	186	0	0	1	9	0	24	2	0	0	0	0	0	0	0	38	10	0	0	0	0	171	3	22	0	0	0	8	0	0	0	0	0	17	26	0	0	0	0	24	2	0	0	0	3	0	1	0	9	9	0	0
3381	4382	"Rotsee"	47.07556	8.32556	355	"AWI"	355	4315	5410	4795	136	4	160	0	0	1	2	0	17	1	0	0	0	0	0	0	0	78	11	0	0	0	0	219	2	22	0	1	0	9	0	0	0	0	0	24	25	6	0	0	0	49	0	0	0	0	3	0	2	0	27	6	2	0
3381	4382	"Rotsee"	47.07556	8.32556	365	"AWI"	365	4396	5617	4919	117	3	214	0	0	0	3	0	28	0	0	0	0	0	0	0	0	39	8	0	0	0	0	120	1	28	0	2	0	27	0	0	0	0	0	16	26	0	0	0	0	41	2	0	0	0	0	0	1	0	9	5	0	0
3381	4382	"Rotsee"	47.07556	8.32556	385	"AWI"	385	4597	5916	5184	175	2	169	0	2	1	6	0	34	2	0	0	0	0	0	0	0	63	5	0	0	0	0	110	0	25	0	0	0	19	0	0	0	0	0	28	27	0	13	0	0	43	1	0	2	1	2	0	1	0	30	13	0	0
3381	4382	"Rotsee"	47.07556	8.32556	405	"AWI"	405	4798	6180	5445	143	0	195	1	1	0	7	0	64	2	0	0	2	0	0	0	0	137	8	0	0	0	0	132	1	41	0	0	0	17	0	0	0	0	0	20	36	0	13	0	0	31	2	0	0	1	2	0	0	0	30	9	2	0
3381	4382	"Rotsee"	47.07556	8.32556	425	"AWI"	425	5026	6450	5713	102	2	204	0	2	2	1	0	37	3	0	0	0	0	0	0	0	88	3	0	0	0	0	85	1	37	0	0	0	15	0	0	0	0	0	25	33	0	0	0	0	33	3	0	0	0	1	0	0	1	26	15	3	0
3381	4382	"Rotsee"	47.07556	8.32556	445	"AWI"	445	5227	6689	5979	188	1	202	0	0	2	4	0	32	3	0	0	0	0	0	0	0	59	15	0	0	0	0	74	0	40	0	0	0	12	0	0	0	0	0	12	36	0	7	0	0	40	2	0	0	0	3	0	0	0	11	12	2	0
3381	4382	"Rotsee"	47.07556	8.32556	465	"AWI"	465	5461	6930	6242	188	1	232	0	1	0	8	0	29	2	0	0	0	0	0	0	0	62	15	0	0	0	0	90	0	29	0	0	0	5	0	0	0	0	0	5	30	0	15	0	0	50	2	0	0	0	2	0	0	0	16	15	1	0
3381	4382	"Rotsee"	47.07556	8.32556	485	"AWI"	485	5701	7155	6500	231	1	132	0	0	0	1	0	26	1	0	0	0	0	0	0	0	40	10	0	0	0	0	66	0	27	0	0	0	8	0	0	0	0	0	6	15	0	13	0	0	22	3	0	0	0	2	0	0	0	23	21	0	0
3381	4382	"Rotsee"	47.07556	8.32556	505	"AWI"	505	5952	7369	6770	206	2	150	0	0	1	4	0	10	0	0	0	0	0	0	0	0	46	6	0	0	0	0	51	0	21	0	0	0	6	0	0	0	0	0	10	15	0	0	0	0	31	1	0	0	0	2	0	0	0	25	15	2	0
3381	4382	"Rotsee"	47.07556	8.32556	525	"AWI"	525	6220	7566	7038	192	3	117	0	2	0	1	0	18	1	0	0	0	0	0	0	0	67	6	0	0	0	0	88	1	31	0	0	0	2	0	0	0	0	0	7	12	0	0	0	0	40	2	0	0	1	1	0	0	0	45	21	0	0
3381	4382	"Rotsee"	47.07556	8.32556	545	"AWI"	545	6480	7754	7300	203	3	85	0	0	0	4	0	7	0	0	0	0	0	0	0	0	32	6	0	0	0	0	57	0	20	0	0	0	0	0	0	0	0	0	2	29	0	8	0	0	23	2	0	0	0	0	0	0	1	53	18	0	0
3381	4382	"Rotsee"	47.07556	8.32556	565	"AWI"	565	6783	7914	7558	249	2	85	0	1	2	3	0	11	0	0	0	0	0	0	0	0	40	2	1	0	0	0	29	0	22	0	0	0	2	0	0	0	0	0	2	26	0	11	0	0	22	0	0	0	0	2	0	0	0	52	18	0	0
3381	4382	"Rotsee"	47.07556	8.32556	585	"AWI"	585	7101	8072	7798	200	1	38	0	1	0	1	0	9	0	0	0	0	0	0	0	0	40	8	0	0	0	0	15	0	33	0	0	0	3	0	0	0	0	0	1	30	0	0	0	0	22	2	0	0	0	0	0	0	0	19	21	2	0
3381	4382	"Rotsee"	47.07556	8.32556	595	"AWI"	595	7175	8154	7878	286	0	51	0	2	3	1	0	21	0	0	0	0	0	0	0	0	72	7	0	0	0	0	27	1	14	0	0	0	1	0	0	0	0	0	2	42	0	13	0	0	49	1	0	0	0	3	0	0	0	57	16	1	0
3381	4382	"Rotsee"	47.07556	8.32556	605	"AWI"	605	7247	8289	7951	196	0	26	0	1	2	0	0	22	0	0	0	0	0	0	0	0	37	9	0	0	0	0	7	0	16	0	1	0	1	0	0	0	0	0	0	35	0	0	0	0	23	1	0	0	0	0	0	0	0	23	12	1	0
3381	4382	"Rotsee"	47.07556	8.32556	625	"AWI"	625	7366	8504	8080	126	2	31	0	0	4	1	0	16	1	0	0	0	0	0	0	0	87	7	0	0	0	0	6	0	52	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	55	0	0	1	0	2	0	0	0	58	36	0	0
3381	4382	"Rotsee"	47.07556	8.32556	645	"AWI"	645	7477	8693	8208	110	3	29	0	0	2	0	0	11	0	0	0	0	0	0	0	0	60	6	0	0	0	0	10	0	25	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0	34	2	0	0	1	1	0	0	0	46	19	1	0
3381	4382	"Rotsee"	47.07556	8.32556	665	"AWI"	665	7618	8881	8336	112	5	45	0	0	1	0	0	12	1	0	0	0	0	0	0	0	103	14	0	0	0	0	7	0	45	0	0	0	2	0	0	0	0	0	0	47	0	0	0	0	49	2	0	0	0	3	0	2	0	76	46	0	0
3381	4382	"Rotsee"	47.07556	8.32556	685	"AWI"	685	7751	9064	8473	58	3	39	1	0	3	2	0	14	0	0	0	0	0	0	0	0	84	12	0	0	0	0	1	0	66	0	0	0	3	0	0	0	0	0	0	52	0	0	0	0	69	1	0	1	0	1	0	1	0	101	44	1	0
3381	4382	"Rotsee"	47.07556	8.32556	695	"AWI"	695	7804	9153	8540	29	2	25	0	0	4	4	0	21	0	0	0	0	0	0	0	0	92	8	0	0	0	0	3	0	16	0	0	0	1	0	0	0	0	0	2	46	0	0	0	0	81	3	0	0	0	1	1	0	1	112	41	0	0
3381	4382	"Rotsee"	47.07556	8.32556	705	"AWI"	705	7876	9250	8610	27	4	29	0	1	0	4	0	15	1	0	0	0	0	0	0	0	62	9	0	0	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	41	0	0	0	0	48	3	0	0	0	3	0	0	0	73	35	0	0
3381	4382	"Rotsee"	47.07556	8.32556	725	"AWI"	725	7979	9433	8739	21	1	32	0	2	0	2	0	12	0	0	0	0	0	0	0	0	66	4	0	0	0	0	0	0	36	0	0	0	3	0	0	0	0	0	0	35	0	0	0	0	43	1	0	0	1	3	0	0	0	85	39	0	0
3381	4382	"Rotsee"	47.07556	8.32556	745	"AWI"	745	8101	9612	8871	12	4	32	0	0	6	4	0	26	0	0	0	0	0	0	0	0	101	12	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	51	3	0	0	2	1	0	0	0	92	41	0	0
3381	4382	"Rotsee"	47.07556	8.32556	765	"AWI"	765	8217	9777	9009	8	2	18	0	0	1	0	0	13	0	0	0	0	0	0	0	1	89	6	0	0	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	36	0	0	0	0	44	3	0	0	0	0	0	0	0	81	30	1	0
3381	4382	"Rotsee"	47.07556	8.32556	785	"AWI"	785	8314	9949	9145	5	3	15	0	1	2	1	0	14	0	0	0	0	0	0	0	0	75	3	0	0	0	0	1	0	14	0	0	0	2	0	0	0	0	0	0	21	0	0	0	0	33	1	0	0	1	0	0	0	0	70	13	3	0
3381	4382	"Rotsee"	47.07556	8.32556	805	"AWI"	805	8447	10116	9274	5	1	22	0	1	2	1	0	19	1	0	0	0	0	0	0	0	149	3	1	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	42	0	0	0	0	2	0	0	0	94	42	0	0
3381	4382	"Rotsee"	47.07556	8.32556	825	"AWI"	825	8566	10281	9418	1	4	12	0	0	1	0	0	14	0	0	0	0	0	0	0	0	121	10	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	42	0	0	0	0	0	0	1	0	66	18	1	0
3381	4382	"Rotsee"	47.07556	8.32556	845	"AWI"	845	8693	10445	9547	0	1	16	0	0	1	1	0	4	0	0	0	0	0	0	0	0	84	5	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	34	0	0	0	0	0	0	0	0	51	28	0	0
3381	4382	"Rotsee"	47.07556	8.32556	865	"AWI"	865	8831	10589	9692	2	2	30	0	0	2	8	0	25	0	0	0	0	0	0	0	0	201	10	0	0	0	0	0	0	25	0	0	0	2	0	0	0	0	0	0	36	0	0	0	0	65	1	0	0	0	0	0	0	1	81	81	3	0
3381	4382	"Rotsee"	47.07556	8.32556	885	"AWI"	885	8938	10754	9827	0	5	22	0	0	2	2	0	28	0	0	0	0	0	0	0	2	162	9	1	0	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	48	0	0	0	0	71	2	0	0	2	1	0	3	0	56	53	0	0
3381	4382	"Rotsee"	47.07556	8.32556	905	"AWI"	905	9048	10913	9964	0	4	22	1	1	4	2	0	32	1	0	0	0	0	0	0	0	248	7	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	23	0	0	0	0	57	0	0	1	0	3	0	1	1	47	48	0	0
3381	4382	"Rotsee"	47.07556	8.32556	925	"AWI"	925	9168	11077	10103	0	2	19	0	0	4	2	0	23	0	0	0	0	0	0	0	0	245	13	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	33	0	0	0	0	56	0	0	0	0	1	0	1	2	60	74	1	0
3381	4382	"Rotsee"	47.07556	8.32556	945	"AWI"	945	9290	11233	10236	0	1	28	0	0	5	4	0	31	1	0	0	0	0	0	0	0	320	9	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	53	1	0	0	0	2	0	0	1	48	71	1	0
3381	4382	"Rotsee"	47.07556	8.32556	965	"AWI"	965	9399	11400	10376	0	3	18	0	2	6	3	0	39	0	0	0	0	0	0	0	3	415	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	64	1	0	2	0	4	0	1	1	23	31	2	0
3381	4382	"Rotsee"	47.07556	8.32556	985	"AWI"	985	9507	11572	10510	0	3	20	0	1	4	7	0	41	0	0	0	0	0	0	0	0	286	4	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	93	0	0	0	0	56	2	0	0	0	1	0	1	1	16	24	1	0
3381	4382	"Rotsee"	47.07556	8.32556	1005	"AWI"	1005	9634	11726	10646	0	4	23	1	0	3	4	0	36	0	0	0	0	0	0	0	0	276	6	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	52	0	0	0	0	79	2	0	0	0	0	0	1	0	9	27	0	0
3381	4382	"Rotsee"	47.07556	8.32556	1025	"AWI"	1025	9761	11873	10776	0	0	35	0	1	2	9	0	37	0	0	0	0	0	0	0	1	283	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	59	0	0	0	0	88	0	0	0	0	1	0	0	2	6	51	0	0
3381	4382	"Rotsee"	47.07556	8.32556	1045	"AWI"	1045	9896	12018	10908	0	1	26	0	0	4	5	0	44	1	0	1	0	0	0	0	0	248	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	87	0	0	0	0	111	0	0	1	0	2	0	0	0	8	77	3	0
3381	4382	"Rotsee"	47.07556	8.32556	1055	"AWI"	1055	9951	12097	10975	0	1	34	0	1	3	2	0	63	0	0	0	0	0	0	0	0	418	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	95	1	0	2	0	0	0	1	1	13	85	0	0
3381	4382	"Rotsee"	47.07556	8.32556	1065	"AWI"	1065	10019	12178	11044	0	0	24	0	1	2	4	0	45	1	0	0	0	0	0	0	0	245	4	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	96	0	0	0	0	26	0	0	0	0	2	0	1	0	9	30	0	0
3381	4382	"Rotsee"	47.07556	8.32556	1085	"AWI"	1085	10124	12332	11177	0	0	16	0	4	0	5	0	51	0	0	0	0	0	0	0	0	195	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	169	0	0	0	0	24	1	0	0	0	3	0	0	0	10	38	0	2
3381	4382	"Rotsee"	47.07556	8.32556	1095	"AWI"	1095	10178	12416	11245	0	1	18	0	2	0	7	0	52	0	0	0	0	0	0	0	0	188	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	220	0	0	0	0	44	1	0	0	0	2	0	2	0	13	60	2	2
