"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
16185	25027	"Bellengreville"	49.11667	-0.215	148	"AWI"	148	3751	4636	4218	7	0	0	0	0	0	0	0	25	37	0	0	0	0	0	0	0	11	0	0	0	32	0	0	2	0	5	0
16185	25027	"Bellengreville"	49.11667	-0.215	174	"AWI"	174	4228	4997	4647	12	2	0	0	0	0	3	0	53	22	0	0	0	0	0	0	0	6	0	0	0	38	0	0	2	0	6	0
16185	25027	"Bellengreville"	49.11667	-0.215	184	"AWI"	184	4467	5106	4813	15	0	0	0	0	0	2	0	51	21	0	0	0	0	0	0	0	4	0	0	0	45	0	0	2	0	4	0
16185	25027	"Bellengreville"	49.11667	-0.215	205	"AWI"	205	4915	5335	5107	10	0	0	0	0	0	7	0	28	50	0	0	0	0	0	0	0	4	0	0	0	22	1	0	4	0	1	2
16185	25027	"Bellengreville"	49.11667	-0.215	217	"AWI"	217	4999	5504	5241	9	0	0	0	0	0	1	0	54	31	0	0	0	0	0	0	0	8	0	0	0	41	0	0	1	0	4	2
16185	25027	"Bellengreville"	49.11667	-0.215	229	"AWI"	229	5097	5651	5370	14	0	0	0	0	0	5	0	72	9	0	0	0	0	0	0	0	10	0	0	0	82	0	0	2	0	11	8
16185	25027	"Bellengreville"	49.11667	-0.215	253	"AWI"	253	5339	5889	5621	4	0	0	0	0	0	9	0	81	8	0	1	0	0	0	0	0	12	0	0	0	82	0	0	2	0	6	4
16185	25027	"Bellengreville"	49.11667	-0.215	266	"AWI"	266	5485	5999	5759	10	0	0	1	0	0	1	0	54	9	0	0	0	0	0	0	0	8	0	0	0	49	0	0	0	0	5	2
16185	25027	"Bellengreville"	49.11667	-0.215	289	"AWI"	289	5815	6169	5978	10	2	0	0	0	0	3	0	31	15	0	0	0	0	0	0	0	13	0	0	0	60	0	0	0	0	2	2
16185	25027	"Bellengreville"	49.11667	-0.215	297	"AWI"	297	5901	6293	6075	11	0	0	0	0	0	3	0	42	18	0	0	0	0	0	0	0	20	0	0	0	56	0	0	0	0	14	4
16185	25027	"Bellengreville"	49.11667	-0.215	305	"AWI"	305	5961	6423	6165	20	0	0	0	0	0	5	0	44	25	0	0	0	0	0	0	0	12	0	0	0	55	0	0	0	0	9	2
16185	25027	"Bellengreville"	49.11667	-0.215	317	"AWI"	317	6047	6605	6296	9	0	1	0	0	0	4	0	58	34	0	0	0	0	0	0	0	11	0	0	0	45	0	0	0	0	2	1
16185	25027	"Bellengreville"	49.11667	-0.215	328	"AWI"	328	6127	6742	6415	8	0	0	3	0	0	3	0	55	14	0	0	1	0	0	0	0	7	0	0	0	44	0	0	1	0	14	9
16185	25027	"Bellengreville"	49.11667	-0.215	334	"AWI"	334	6186	6809	6480	4	0	1	3	0	0	1	0	44	27	0	0	0	0	0	0	0	28	0	0	0	44	0	0	0	0	9	4
16185	25027	"Bellengreville"	49.11667	-0.215	356	"AWI"	356	6405	7044	6726	4	1	0	0	0	0	3	0	33	38	0	0	0	0	0	0	0	19	0	0	0	37	0	0	0	0	5	2
16185	25027	"Bellengreville"	49.11667	-0.215	368	"AWI"	368	6525	7170	6861	3	1	0	0	1	0	2	0	61	12	0	0	0	0	0	0	0	25	0	0	0	79	0	0	1	0	5	13
16185	25027	"Bellengreville"	49.11667	-0.215	380	"AWI"	380	6648	7290	6990	5	1	0	1	0	0	2	0	39	22	0	0	0	0	1	0	0	35	0	0	0	62	0	0	1	0	5	5
16185	25027	"Bellengreville"	49.11667	-0.215	390	"AWI"	390	6763	7384	7103	10	0	0	1	0	0	2	0	64	9	0	0	0	0	0	0	0	25	0	0	0	56	0	0	0	0	5	12
16185	25027	"Bellengreville"	49.11667	-0.215	415	"AWI"	415	7132	7567	7380	4	1	0	0	0	0	0	0	20	44	0	0	0	0	0	0	0	27	0	0	0	45	0	0	0	0	3	4
16185	25027	"Bellengreville"	49.11667	-0.215	440	"AWI"	440	7481	7928	7653	0	0	0	1	0	0	2	0	48	11	0	0	0	0	0	0	0	31	0	0	0	27	0	0	0	0	1	3
16185	25027	"Bellengreville"	49.11667	-0.215	460	"AWI"	460	7653	8290	7924	4	0	0	0	0	0	2	0	79	17	0	0	0	0	0	0	0	55	0	0	0	32	0	0	0	0	0	5
16185	25027	"Bellengreville"	49.11667	-0.215	470	"AWI"	470	7748	8450	8057	1	0	0	0	0	0	1	0	31	53	0	0	0	0	0	0	0	43	0	0	0	25	0	0	0	0	0	5
16185	25027	"Bellengreville"	49.11667	-0.215	480	"AWI"	480	7847	8593	8197	0	0	0	0	0	0	0	0	38	52	0	0	0	0	0	0	0	32	0	0	0	31	0	0	0	0	0	2
16185	25027	"Bellengreville"	49.11667	-0.215	490	"AWI"	490	7963	8728	8333	4	0	0	0	0	0	0	0	47	45	0	0	0	0	0	0	0	42	0	0	0	30	0	0	0	0	1	10
16185	25027	"Bellengreville"	49.11667	-0.215	495	"AWI"	495	8042	8785	8401	1	0	0	0	0	0	0	0	54	46	0	0	0	0	1	0	0	47	0	0	0	34	0	0	2	2	0	8
16185	25027	"Bellengreville"	49.11667	-0.215	515	"AWI"	515	8331	9029	8684	9	0	0	0	0	0	4	0	77	27	0	0	0	0	0	0	0	18	0	0	0	41	0	0	0	0	2	10
16185	25027	"Bellengreville"	49.11667	-0.215	525	"AWI"	525	8494	9145	8820	1	0	0	0	0	0	0	0	30	27	0	0	0	0	0	0	0	34	0	0	0	23	0	0	0	0	0	4
16185	25027	"Bellengreville"	49.11667	-0.215	535	"AWI"	535	8643	9256	8977	0	1	0	0	0	5	3	0	42	30	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0
16185	25027	"Bellengreville"	49.11667	-0.215	545	"AWI"	545	8741	9435	9095	3	0	0	0	0	4	1	0	60	21	0	0	0	0	0	1	0	20	0	0	0	4	0	0	1	0	0	7
16185	25027	"Bellengreville"	49.11667	-0.215	555	"AWI"	555	8839	9639	9217	0	0	0	0	0	2	1	0	37	27	0	0	0	0	0	0	0	20	0	0	0	1	1	0	0	0	0	0
