"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Ostrya.Carpinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Vitaceae"
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	260	"AWI"	260	901	1365	1166	35	54	4	3	13	0	56	1	2	20	2	1	1	6	0	17	131	3	3	0	0	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	290	"AWI"	290	974	1394	1215	47	47	2	2	18	1	46	4	0	12	3	0	2	8	0	13	127	5	3	0	0	4	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	295	"AWI"	295	984	1400	1223	21	45	5	2	10	0	42	4	2	42	4	2	1	8	2	17	94	5	1	1	1	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	300	"AWI"	300	993	1408	1232	33	34	3	2	24	0	49	6	2	34	3	2	4	2	0	12	99	7	2	0	0	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	310	"AWI"	310	1013	1430	1250	32	44	3	2	19	0	25	1	3	29	1	1	3	4	0	13	112	4	1	1	1	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	320	"AWI"	320	1030	1457	1268	23	55	1	4	34	0	59	1	1	43	3	0	1	4	0	10	121	2	1	1	0	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	360	"AWI"	360	1092	1554	1329	31	35	4	3	23	0	43	3	1	28	4	0	2	8	0	0	147	5	1	0	1	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	390	"AWI"	390	1141	1606	1376	37	44	2	4	30	0	69	3	1	15	1	0	1	6	0	0	101	3	0	0	0	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	425	"AWI"	425	1178	1692	1429	30	38	4	1	10	0	44	3	1	14	1	0	1	6	0	0	155	1	1	4	0	5	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	460	"AWI"	460	1238	1748	1481	24	45	3	8	9	0	27	4	1	15	3	0	0	0	0	22	187	3	3	0	2	4	3
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	490	"AWI"	490	1276	1797	1525	16	79	2	5	14	0	26	0	1	8	0	0	0	6	0	0	147	5	6	1	2	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	520	"AWI"	520	1306	1865	1570	31	65	1	3	13	0	19	3	5	14	0	0	0	9	0	13	158	9	9	1	0	0	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	568	"AWI"	568	1398	1924	1644	38	56	2	9	10	0	24	1	2	10	2	0	0	3	0	32	140	7	2	0	2	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	590	"AWI"	590	1423	1964	1680	32	53	5	5	26	0	26	3	1	14	2	0	1	9	0	0	137	6	2	2	1	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	620	"AWI"	620	1485	2013	1723	38	63	5	8	10	0	43	1	2	12	0	0	1	0	4	21	128	4	3	1	1	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	660	"AWI"	660	1572	2066	1780	42	54	3	3	26	0	23	7	2	8	3	0	1	0	2	0	133	0	2	6	1	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	690	"AWI"	690	1610	2112	1825	38	68	13	2	25	0	36	3	4	13	0	0	0	3	0	0	117	1	1	1	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	705	"AWI"	705	1646	2139	1859	36	62	5	3	14	0	24	5	1	17	0	0	0	6	0	22	139	3	3	3	1	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	715	"AWI"	715	1670	2162	1881	19	24	6	1	24	0	18	1	4	49	0	0	2	0	0	8	142	5	1	3	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	720	"AWI"	720	1680	2176	1891	18	119	3	5	23	0	22	2	2	77	2	0	0	9	10	19	99	6	0	0	0	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	740	"AWI"	740	1714	2245	1935	33	104	3	5	15	0	34	3	1	10	0	0	1	9	3	0	96	3	1	1	0	0	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	770	"AWI"	770	1747	2370	1996	36	50	7	4	8	0	45	4	2	6	1	0	0	4	0	0	131	2	1	3	0	1	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	800	"AWI"	800	1804	2453	2070	75	70	9	2	23	0	63	2	7	15	4	0	0	4	4	26	155	0	0	1	2	5	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	835	"AWI"	835	1852	2568	2159	32	68	9	3	20	0	41	4	2	5	3	0	1	3	0	19	117	8	2	0	1	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	860	"AWI"	860	1877	2680	2217	46	37	4	2	11	0	48	3	1	16	2	0	0	0	0	24	136	0	3	2	0	3	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	890	"AWI"	890	1944	2740	2291	43	57	6	4	14	0	41	2	0	9	2	0	0	0	0	0	114	0	4	1	1	5	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	920	"AWI"	920	1991	2821	2367	35	62	5	2	30	0	58	2	5	10	4	0	0	3	0	0	95	1	1	3	0	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	960	"AWI"	960	2064	2941	2464	74	50	6	4	7	0	29	4	2	10	2	0	0	4	0	0	106	2	0	3	1	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	990	"AWI"	990	2119	2992	2540	47	72	10	10	12	0	29	1	5	9	0	0	0	5	0	22	121	1	2	2	0	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1020	"AWI"	1020	2166	3071	2616	38	98	15	3	8	0	34	3	1	4	3	0	0	6	0	0	107	3	0	0	1	1	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1060	"AWI"	1060	2277	3153	2712	64	63	4	7	4	0	29	7	1	6	3	1	0	5	4	44	92	0	4	2	3	2	2
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1090	"AWI"	1090	2343	3215	2792	26	80	14	7	9	0	30	2	6	7	1	0	0	8	2	0	111	7	6	1	3	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1120	"AWI"	1120	2395	3300	2865	39	44	8	11	6	0	29	4	5	7	3	0	0	6	0	0	121	1	1	1	1	4	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1155	"AWI"	1155	2503	3350	2952	11	80	14	4	6	0	22	2	3	4	3	0	0	4	0	49	134	2	3	2	2	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1185	"AWI"	1185	2561	3415	3030	27	61	5	10	6	0	34	1	1	5	6	0	0	0	3	30	143	7	2	1	3	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1215	"AWI"	1215	2639	3478	3100	32	63	10	3	0	0	28	1	5	9	0	0	0	5	4	0	145	2	2	2	1	2	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1285	"AWI"	1285	2844	3593	3278	12	76	10	8	1	0	20	4	3	5	3	0	0	2	0	57	138	2	4	4	1	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1310	"AWI"	1310	2959	3624	3334	24	107	8	6	5	0	28	1	5	10	2	0	0	6	0	0	106	2	5	1	0	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1335	"AWI"	1335	3071	3659	3390	20	64	9	7	6	0	34	2	3	8	1	0	0	0	0	11	120	2	1	2	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1365	"AWI"	1365	3157	3721	3462	29	50	6	9	6	0	65	0	0	31	6	0	0	24	0	0	134	1	2	1	2	2	1
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1370	"AWI"	1370	3168	3739	3474	20	38	4	0	7	0	50	3	0	41	5	0	0	2	3	0	113	9	0	3	1	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	1375	"AWI"	1375	3179	3755	3486	24	57	3	0	10	0	52	2	1	37	4	0	0	2	0	13	115	7	1	1	2	0	0
