"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3221	4181	"Lalaxkärret"	60.147404	21.859866	50	"AWI"	50	1745	2793	2418	1	159	0	2	3	0	448	0	0	0	0	0	4	20	0	3	0	0	0	5	0	0	0	1	6	84	0	0	0	0	0	0	7	0	0	0	0	0	1	0	1	3
3221	4181	"Lalaxkärret"	60.147404	21.859866	55	"AWI"	55	1851	2858	2476	0	74	0	0	2	0	449	0	0	0	0	0	4	9	0	14	0	1	0	0	0	0	0	0	7	155	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0
3221	4181	"Lalaxkärret"	60.147404	21.859866	60	"AWI"	60	1943	2939	2534	0	37	0	0	0	0	680	0	0	0	0	0	1	7	0	2	0	0	0	0	0	1	0	1	2	46	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	65	"AWI"	65	2060	2990	2592	0	85	0	0	3	0	589	0	1	0	0	0	3	4	0	0	0	0	1	0	0	0	0	0	9	79	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
3221	4181	"Lalaxkärret"	60.147404	21.859866	70	"AWI"	70	2144	3066	2650	8	182	0	0	5	0	410	0	0	0	0	0	7	18	0	3	0	0	1	1	1	1	0	3	18	125	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	75	"AWI"	75	2265	3127	2705	0	289	0	0	6	0	339	0	0	0	0	0	17	22	0	1	0	0	0	2	0	3	0	1	8	67	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	80	"AWI"	80	2350	3204	2763	0	143	0	1	1	0	471	0	0	0	0	0	15	24	0	20	0	4	0	5	0	4	0	1	3	101	0	0	0	0	4	0	6	0	1	0	0	1	0	0	0	5
3221	4181	"Lalaxkärret"	60.147404	21.859866	85	"AWI"	85	2505	3276	2845	0	117	1	0	3	0	281	0	0	0	0	1	9	14	1	18	0	4	0	4	0	0	0	0	17	62	0	0	0	1	4	0	2	0	1	0	0	0	0	0	0	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	90	"AWI"	90	2588	3378	2937	0	115	0	0	3	0	157	0	0	0	0	2	9	8	1	80	0	1	0	1	0	2	0	0	11	53	0	0	0	0	5	2	1	0	0	0	0	1	1	0	1	1
3221	4181	"Lalaxkärret"	60.147404	21.859866	95	"AWI"	95	2713	3479	3068	0	318	1	0	7	0	306	0	0	0	0	1	0	27	0	3	0	0	0	7	0	3	0	1	22	42	0	0	0	0	0	0	11	0	0	20	1	3	0	0	2	5
3221	4181	"Lalaxkärret"	60.147404	21.859866	100	"AWI"	100	2786	3653	3196	0	231	0	0	6	0	168	1	0	0	0	0	28	17	0	8	0	0	0	7	0	7	0	2	40	141	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7
3221	4181	"Lalaxkärret"	60.147404	21.859866	105	"AWI"	105	2931	3721	3325	0	233	0	0	4	0	192	0	0	0	0	1	7	16	0	19	0	0	0	13	0	17	1	5	39	180	0	0	0	0	0	0	17	0	1	0	0	0	2	0	0	8
3221	4181	"Lalaxkärret"	60.147404	21.859866	110	"AWI"	110	3013	3857	3455	0	184	0	0	7	0	133	0	0	0	0	0	2	17	0	5	0	0	2	10	0	8	0	5	17	142	0	0	0	0	0	0	7	0	1	0	0	1	0	0	3	7
3221	4181	"Lalaxkärret"	60.147404	21.859866	115	"AWI"	115	3205	3923	3581	0	140	4	0	11	0	161	0	0	0	0	1	3	16	0	4	0	0	0	1	0	0	0	1	83	340	0	0	0	1	1	0	25	0	0	0	0	4	0	0	3	14
3221	4181	"Lalaxkärret"	60.147404	21.859866	120	"AWI"	120	3318	4027	3708	0	130	4	0	14	0	175	0	0	0	0	0	2	21	0	0	0	0	0	0	0	2	0	0	58	188	0	0	0	0	0	0	18	0	0	0	0	2	0	0	4	8
3221	4181	"Lalaxkärret"	60.147404	21.859866	125	"AWI"	125	3442	4104	3808	0	45	0	0	4	0	77	0	0	0	0	0	3	11	0	0	0	0	0	1	0	1	1	1	64	168	0	7	0	0	0	0	12	0	0	0	1	3	0	1	4	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	130	"AWI"	130	3513	4276	3906	0	63	3	0	6	0	105	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	87	182	0	0	0	0	1	0	21	0	0	0	0	0	0	0	5	7
3221	4181	"Lalaxkärret"	60.147404	21.859866	135	"AWI"	135	3573	4370	3983	0	70	2	0	5	0	132	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	105	219	0	7	0	0	0	0	26	0	0	0	1	0	0	0	6	9
