"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
14516	22738	"Straldzha mire"	42.629484	26.778668	130	"AWI"	130	1455	2376	1962	0	0	7	117	0	10	0	3	2	0	0	0	0	0	10	25	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	4	2	0	0	2	3	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	140	"AWI"	140	1780	2534	2178	0	0	0	98	0	8	0	4	0	1	0	0	0	0	6	1	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	3	3	0	0	0	3	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	150	"AWI"	150	2049	2690	2372	0	0	6	125	4	6	0	0	2	1	0	0	0	0	3	12	0	0	0	0	2	0	7	3	0	0	0	0	6	0	0	0	0	0	6	0	0	3	0	4	0	0	0	4	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	160	"AWI"	160	2169	2876	2504	0	0	6	142	1	19	0	3	5	4	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	11	0	0	5	2	0	0	0	1	3	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	170	"AWI"	170	2273	3060	2643	0	0	4	146	3	3	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	1	13	0	0	0	0	0	3	0	0	0	0	0	0	3	0	3	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	180	"AWI"	180	2388	3217	2787	0	0	18	36	8	46	0	11	2	1	0	0	0	0	9	9	0	0	0	0	0	0	3	6	0	0	0	0	13	0	0	0	0	3	3	0	0	10	4	4	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	200	"AWI"	200	2643	3507	3076	0	0	41	107	13	24	0	8	13	0	0	0	0	0	9	13	0	0	0	0	3	0	14	0	0	0	0	0	8	0	0	0	0	0	6	0	0	14	11	8	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	210	"AWI"	210	2780	3643	3226	0	0	0	79	0	5	0	2	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	220	"AWI"	220	2915	3775	3366	2	0	8	76	3	6	0	1	0	0	0	4	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	230	"AWI"	230	3066	3903	3507	0	2	10	93	4	8	0	2	12	0	0	2	0	0	2	4	0	0	0	2	1	0	4	0	0	0	0	0	47	0	0	0	0	0	13	0	0	0	0	0	0	2	0	1	2	0
14516	22738	"Straldzha mire"	42.629484	26.778668	240	"AWI"	240	3231	4019	3654	0	0	7	68	0	58	0	6	8	3	0	8	0	0	8	6	0	0	0	0	0	1	4	0	0	0	0	0	27	0	0	0	0	2	11	0	0	0	7	4	0	0	0	2	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	250	"AWI"	250	3413	4128	3798	0	2	9	53	8	27	0	0	11	2	0	0	0	0	8	5	0	0	0	0	0	2	4	0	0	0	0	0	16	0	0	0	0	4	10	0	0	0	7	0	0	2	0	0	0	2
14516	22738	"Straldzha mire"	42.629484	26.778668	260	"AWI"	260	3615	4238	3936	0	0	0	48	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	21	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	270	"AWI"	270	3812	4375	4075	0	2	5	51	11	26	0	2	9	0	0	0	0	0	2	3	0	0	0	0	0	0	5	0	0	0	0	0	12	0	0	0	0	3	4	0	0	1	2	0	0	0	0	1	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	280	"AWI"	280	3923	4660	4226	0	4	18	46	10	18	0	9	17	6	0	3	0	0	7	22	0	0	0	0	3	0	13	0	0	0	15	0	26	0	0	0	0	7	16	0	0	0	7	12	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	290	"AWI"	290	4018	4909	4383	3	2	8	46	6	25	0	6	16	0	0	3	0	0	5	7	0	0	0	0	0	0	5	2	0	0	0	0	35	0	0	0	0	0	5	0	0	6	3	4	0	0	0	7	0	0
