"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3407	4415	"Shombashuo"	65.09296	32.96292	300	"AWI"	300	6590	7944	7292	0	0	0	0	0	0	0	0	3	25	1	0	0	0	0	0	77	2	0	0	0	0	0	0	0	1	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	325	"AWI"	325	6936	8179	7607	0	0	0	0	1	0	82	1	0	52	0	1	0	0	0	1	88	2	0	0	0	2	0	0	0	1	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	350	"AWI"	350	7306	8416	7915	0	0	0	0	3	0	0	0	1	55	0	0	0	0	0	0	31	5	0	1	0	2	1	0	0	2	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	375	"AWI"	375	7735	8672	8217	0	0	0	0	1	0	0	0	0	63	0	2	1	0	0	1	10	12	0	0	0	0	0	0	0	3	0	0	1
3407	4415	"Shombashuo"	65.09296	32.96292	400	"AWI"	400	8130	8984	8500	0	0	0	3	6	0	0	0	1	23	0	3	0	0	0	1	12	27	0	0	0	5	0	0	1	10	2	0	1
3407	4415	"Shombashuo"	65.09296	32.96292	410	"AWI"	410	8194	9181	8601	0	0	0	1	1	1	0	0	0	90	0	11	1	0	0	2	19	13	0	0	0	1	0	0	0	5	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	420	"AWI"	420	8269	9354	8713	0	0	0	1	5	2	0	2	0	14	0	4	0	0	0	0	21	10	0	0	0	4	0	0	0	3	1	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	430	"AWI"	430	8329	9543	8826	0	0	0	0	1	0	0	0	0	80	0	1	3	0	0	0	2	95	0	0	0	0	1	0	0	2	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	440	"AWI"	440	8416	9713	8935	0	0	0	0	1	0	0	0	0	51	0	0	0	0	0	1	17	12	0	0	0	2	1	0	0	2	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	450	"AWI"	450	8485	9913	9049	0	0	0	0	1	0	0	0	0	108	0	8	0	0	0	1	19	10	0	0	0	1	0	0	0	4	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	475	"AWI"	475	8673	10325	9341	0	0	0	0	2	0	0	0	0	55	0	6	0	0	0	0	15	18	0	0	0	0	0	0	0	5	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	500	"AWI"	500	8896	10721	9645	0	0	0	0	2	3	0	0	0	90	0	8	0	0	0	4	7	14	0	0	0	0	0	0	0	4	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	525	"AWI"	525	9115	11135	9946	0	0	0	0	8	0	0	0	0	110	0	16	0	0	0	0	12	21	0	0	0	2	1	0	0	9	1	0	1
3407	4415	"Shombashuo"	65.09296	32.96292	550	"AWI"	550	9308	11528	10235	0	0	0	0	2	1	0	0	0	75	0	4	0	0	0	1	6	23	0	0	0	1	0	0	0	5	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	575	"AWI"	575	9556	11869	10534	0	0	0	0	3	1	0	0	0	70	0	11	0	0	0	1	8	33	0	0	0	0	0	0	0	2	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	590	"AWI"	590	9702	12111	10702	0	0	0	0	2	2	0	0	0	55	2	28	0	0	0	3	17	35	1	0	0	1	0	0	0	8	0	0	0
