"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14272	22342	"Malá niva"	48.912768	13.813122	140	"AWI"	140	1502	1786	1633	50	1	22	0	0	0	0	0	61	0	0	0	0	8	3	0	0	0	61	0	0	0	0	0	0	0	0	3	50	53	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	150	"AWI"	150	1583	2069	1758	42	0	15	0	0	0	0	0	25	0	0	0	0	4	0	0	0	0	45	0	0	0	0	0	0	0	0	1	40	53	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	160	"AWI"	160	1652	2285	1886	130	1	27	0	0	0	0	0	29	0	0	0	0	5	2	0	0	0	120	0	0	0	0	0	0	0	0	3	52	66	0	0	0	24	0	0	0	1	1	0	0	0	0	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	170	"AWI"	170	1727	2482	2029	90	1	25	0	1	0	2	0	40	0	0	0	0	9	1	0	0	0	51	1	0	0	0	0	0	0	0	4	70	66	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	180	"AWI"	180	1809	2661	2173	60	0	25	0	0	0	4	0	41	0	0	0	0	7	3	0	0	0	56	0	0	0	0	0	0	0	0	2	67	50	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	190	"AWI"	190	1916	2826	2310	66	0	24	1	0	0	1	0	32	0	0	0	0	2	4	0	0	0	72	0	0	0	0	0	0	0	0	1	63	26	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	200	"AWI"	200	2029	3001	2454	125	1	19	0	0	0	0	0	21	0	0	0	0	8	5	0	0	0	110	2	1	0	0	0	0	0	0	1	110	28	0	0	1	9	0	0	0	0	2	0	0	0	1	1	1	0
14272	22342	"Malá niva"	48.912768	13.813122	210	"AWI"	210	2134	3156	2596	70	0	16	0	0	0	1	0	12	0	0	0	0	8	1	0	0	0	43	1	0	0	0	0	0	0	0	1	30	20	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	220	"AWI"	220	2259	3318	2747	120	0	44	0	0	0	0	0	24	0	0	0	0	9	1	0	0	0	91	3	0	0	0	0	0	0	0	5	68	39	0	0	0	7	0	0	0	0	1	0	0	0	3	5	0	0
14272	22342	"Malá niva"	48.912768	13.813122	230	"AWI"	230	2383	3480	2889	120	0	24	0	0	0	0	0	18	0	1	0	0	10	3	0	0	0	49	1	0	0	0	0	0	0	0	4	55	29	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	240	"AWI"	240	2499	3646	3028	58	2	27	0	0	0	3	0	24	0	0	0	0	11	4	0	0	0	66	0	0	0	0	0	0	0	0	2	56	22	0	0	0	8	0	0	0	0	3	0	0	0	1	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	250	"AWI"	250	2622	3772	3167	100	0	20	0	0	0	0	0	7	0	0	0	0	14	3	0	0	0	56	2	0	0	0	0	0	0	0	0	70	12	0	0	0	7	0	0	0	0	0	0	0	0	4	4	0	0
14272	22342	"Malá niva"	48.912768	13.813122	260	"AWI"	260	2751	3912	3309	110	0	19	0	0	0	0	0	8	0	0	0	0	12	4	0	0	0	54	3	1	0	0	0	0	0	0	1	140	19	0	0	0	9	0	0	0	0	1	0	0	0	2	6	0	0
14272	22342	"Malá niva"	48.912768	13.813122	270	"AWI"	270	2891	4047	3451	155	0	11	0	0	0	0	0	12	0	0	0	0	5	1	0	0	0	33	2	0	0	0	0	0	0	0	0	165	14	0	0	0	10	0	0	0	0	0	0	0	0	1	4	0	0
14272	22342	"Malá niva"	48.912768	13.813122	280	"AWI"	280	3030	4168	3587	51	0	19	0	0	0	0	0	4	0	0	0	0	15	4	0	0	0	60	0	0	0	0	0	0	0	0	1	100	12	0	0	0	7	0	0	0	0	0	0	0	0	2	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	290	"AWI"	290	3158	4290	3733	42	1	19	0	0	0	0	0	11	0	0	0	0	9	9	0	0	1	70	1	0	0	0	0	0	0	0	0	110	9	0	0	0	5	0	0	0	0	0	0	0	0	2	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	300	"AWI"	300	3285	4426	3876	75	0	23	0	0	0	0	0	5	0	0	0	0	16	0	0	0	0	47	2	0	0	0	0	0	0	0	0	165	8	0	0	0	11	0	0	0	0	0	0	0	0	1	6	0	0
14272	22342	"Malá niva"	48.912768	13.813122	310	"AWI"	310	3438	4562	4017	48	1	11	0	0	0	0	0	6	0	0	0	0	14	2	0	0	0	38	2	0	0	0	0	0	0	0	3	110	24	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	320	"AWI"	320	3578	4686	4162	51	0	23	0	0	0	1	0	3	0	0	0	0	17	4	0	0	0	46	4	0	0	0	0	0	0	0	0	100	4	0	0	0	8	0	0	0	0	0	0	0	0	1	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	330	"AWI"	330	3739	4797	4306	52	0	11	0	0	0	0	0	9	0	0	0	0	16	3	0	0	0	67	3	0	0	0	0	0	0	0	0	150	10	0	0	0	7	0	0	0	0	0	0	0	0	2	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	335	"AWI"	335	3827	4846	4377	47	1	17	0	0	0	0	0	9	0	0	0	0	14	3	0	0	0	40	1	0	0	0	0	0	0	0	1	150	11	0	0	0	13	0	0	0	0	1	0	0	0	1	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	345	"AWI"	345	3970	4956	4513	24	0	13	0	0	0	0	0	8	0	0	0	0	4	2	0	0	0	48	1	0	0	0	0	0	0	0	0	176	5	0	0	0	4	0	0	0	0	0	0	0	0	1	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	352	"AWI"	352	4073	5036	4615	41	0	21	0	0	0	0	0	11	1	0	0	0	7	6	0	0	0	50	0	0	0	0	0	0	0	0	0	240	14	0	0	0	5	0	0	0	0	0	0	0	0	1	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	360	"AWI"	360	4186	5131	4727	19	1	18	0	0	0	0	0	8	0	0	0	0	21	2	0	0	0	48	5	0	0	0	0	0	0	0	0	235	7	0	0	0	6	0	0	0	0	0	1	0	0	1	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	370	"AWI"	370	4344	5240	4865	26	0	10	0	0	0	0	0	10	0	0	0	0	2	1	0	0	0	68	1	0	0	0	0	0	0	0	0	180	6	0	0	0	6	0	0	0	0	0	0	0	0	2	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	380	"AWI"	380	4537	5331	5002	7	0	42	0	1	0	0	0	2	0	0	0	0	20	3	0	0	0	90	4	0	0	0	0	0	0	0	0	120	4	0	0	0	10	0	0	0	0	0	2	0	0	3	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	390	"AWI"	390	4709	5422	5143	11	0	20	0	0	0	0	0	10	0	0	0	0	17	0	0	0	0	80	1	0	0	0	0	0	0	0	0	195	10	0	0	0	11	0	0	0	0	0	1	0	0	4	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	400	"AWI"	400	4905	5505	5283	2	0	36	0	0	0	0	0	8	0	0	0	0	26	8	0	0	0	57	0	0	0	0	0	0	0	0	0	135	12	0	0	0	19	0	0	0	0	1	0	0	0	3	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	410	"AWI"	410	5094	5572	5384	1	0	41	0	0	1	1	0	14	0	0	0	0	27	10	0	0	0	135	8	0	0	0	0	1	0	0	0	165	1	0	0	0	20	0	10	0	0	2	0	0	0	2	5	0	0
14272	22342	"Malá niva"	48.912768	13.813122	420	"AWI"	420	5195	5680	5476	5	0	15	0	0	0	0	0	16	0	0	0	0	12	2	0	0	0	54	0	0	0	0	0	0	0	0	0	150	3	0	0	0	7	0	0	0	0	0	0	0	0	2	4	0	0
14272	22342	"Malá niva"	48.912768	13.813122	435	"AWI"	435	5347	5806	5588	4	1	36	0	0	0	0	0	13	0	0	0	0	17	1	0	0	0	43	2	0	0	0	0	0	0	0	0	135	4	0	0	0	13	0	0	1	0	1	0	0	0	1	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	440	"AWI"	440	5386	5859	5625	14	1	33	0	0	0	2	0	18	0	0	0	0	36	6	0	0	0	55	3	0	0	0	0	0	0	0	0	160	12	0	0	0	10	0	0	0	1	0	0	0	0	4	4	0	0
14272	22342	"Malá niva"	48.912768	13.813122	450	"AWI"	450	5469	5941	5701	9	0	34	0	0	0	1	0	15	0	0	0	0	20	8	0	0	0	60	1	0	0	0	0	0	0	0	0	240	11	0	0	0	21	0	0	1	0	0	0	0	1	4	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	460	"AWI"	460	5556	6021	5778	6	1	11	0	0	0	0	0	9	0	0	0	0	11	2	0	0	0	28	1	0	0	0	0	0	0	0	0	175	5	0	0	0	8	0	0	0	0	0	0	0	0	3	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	470	"AWI"	470	5650	6106	5850	5	1	14	0	0	0	1	0	17	0	0	0	0	21	7	0	0	0	32	0	0	0	0	0	0	0	0	0	240	13	0	0	0	15	0	0	0	0	0	0	0	0	5	4	0	0
14272	22342	"Malá niva"	48.912768	13.813122	480	"AWI"	480	5757	6173	5917	0	1	14	0	0	0	1	0	15	0	0	0	0	23	17	0	0	0	40	2	0	0	1	0	0	0	0	1	113	12	0	0	0	9	0	0	0	0	0	0	0	1	4	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	482	"AWI"	482	5777	6205	5941	1	0	20	0	0	0	0	0	14	0	0	0	0	22	18	0	0	0	17	2	0	0	0	0	0	0	0	1	100	14	0	0	0	11	0	0	0	0	1	0	0	0	2	5	0	0
