"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
15823	24341	"Mount Voras"	41.01972	21.91222	120	"AWI"	120	1323	3222	1869	65	0	5	3	0	3	9	0	15	0	8	0	0	8	104	0	3	3	144	1	2	0	8	0	81	2	46	71	3	0	1	6	12	1	3	1
15823	24341	"Mount Voras"	41.01972	21.91222	123	"AWI"	123	1451	3392	2093	132	0	8	1	7	2	2	0	16	0	3	1	0	3	60	0	1	1	69	1	1	2	19	0	152	1	18	81	0	1	1	5	6	2	1	0
15823	24341	"Mount Voras"	41.01972	21.91222	130	"AWI"	130	1618	4127	2572	125	2	11	1	3	2	4	3	1	0	2	0	2	5	22	0	2	0	38	2	0	1	15	0	124	3	0	47	3	3	2	2	1	0	2	1
15823	24341	"Mount Voras"	41.01972	21.91222	140	"AWI"	140	2061	4885	3307	161	1	18	0	5	2	6	3	3	0	3	0	0	6	41	0	1	1	46	2	0	0	19	0	159	0	0	47	3	7	0	5	1	3	2	7
15823	24341	"Mount Voras"	41.01972	21.91222	150	"AWI"	150	2635	5523	4054	175	1	9	4	9	2	8	1	2	0	13	0	0	8	22	0	0	0	34	1	0	1	21	0	162	0	0	64	3	19	0	3	2	1	3	5
15823	24341	"Mount Voras"	41.01972	21.91222	160	"AWI"	160	3244	6125	4793	191	2	9	1	10	2	17	1	2	0	11	0	0	2	43	0	1	1	14	0	0	0	32	2	148	0	0	60	4	17	2	1	4	2	2	1
15823	24341	"Mount Voras"	41.01972	21.91222	170	"AWI"	170	4045	6615	5543	169	3	8	0	15	1	5	4	7	0	12	0	0	9	72	0	0	3	4	3	0	0	25	0	149	0	49	62	4	5	1	1	3	1	3	5
15823	24341	"Mount Voras"	41.01972	21.91222	180	"AWI"	180	4962	7013	6274	114	5	1	3	15	2	10	11	3	0	5	0	0	34	40	0	0	5	2	7	0	0	0	0	137	4	0	82	7	4	0	8	7	2	6	14
15823	24341	"Mount Voras"	41.01972	21.91222	185	"AWI"	185	5842	7110	6567	14	3	11	3	12	4	0	12	18	0	0	0	0	61	175	0	5	6	0	4	0	0	0	0	95	0	0	164	6	3	1	7	3	6	10	12
15823	24341	"Mount Voras"	41.01972	21.91222	190	"AWI"	190	6411	7365	6900	23	5	13	1	25	2	3	10	9	0	4	0	0	59	40	0	0	6	3	1	0	0	0	0	104	1	0	161	8	1	0	4	12	1	8	18
15823	24341	"Mount Voras"	41.01972	21.91222	193	"AWI"	193	6553	7719	7094	22	8	15	2	14	3	12	11	19	0	7	0	0	46	56	0	0	9	0	2	0	4	0	0	89	1	0	167	0	3	2	1	9	0	22	15
15823	24341	"Mount Voras"	41.01972	21.91222	200	"AWI"	200	6717	9102	7481	16	10	15	4	6	6	0	10	17	0	4	1	0	67	53	0	0	9	0	1	0	0	0	0	105	4	0	142	1	2	7	6	8	1	24	22
