"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Staphylea"	"Syringa"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14630	22944	"Woryty"	53.7525	20.206322	150	"AWI"	150	3071	3532	3311	1	0	299	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	155	"AWI"	155	3122	3583	3362	0	1	299	0	0	0	0	0	25	0	0	0	0	0	2	0	0	0	0	0	0	0	33	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	5	38	0	3	0	0	0	0	6	0	1	90	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	5	8	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	165	"AWI"	165	3217	3701	3459	1	0	247	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	43	0	4	0	0	0	0	4	0	0	86	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	9	7	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	170	"AWI"	170	3261	3772	3510	0	0	185	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	0	5	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	175	"AWI"	175	3321	3811	3557	2	0	291	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	1	0	22	0	0	1	0	1	0	0	0	0	0	0	3	53	0	2	0	0	0	0	17	0	0	72	0	0	0	1	0	0	0	0	0	0	3	0	0	2	2	10	15	0	0	1	0
14630	22944	"Woryty"	53.7525	20.206322	180	"AWI"	180	3360	3879	3607	3	0	226	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	61	0	8	0	0	0	0	6	0	0	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	185	"AWI"	185	3432	3922	3655	2	1	245	3	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	59	0	0	0	0	0	0	8	0	16	0	0	0	0	0	0	1	0	0	0	0	0	110	0	9	0	0	0	0	2	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	190	"AWI"	190	3479	3983	3707	1	1	226	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	5	0	16	0	0	0	0	1	0	0	0	0	0	0	0	87	0	4	0	0	0	0	4	0	0	100	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	15	8	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	195	"AWI"	195	3577	4053	3780	1	1	232	3	0	0	0	0	20	0	0	1	0	0	1	0	0	0	0	0	0	0	67	0	0	0	0	0	0	6	2	17	0	0	0	0	0	0	0	0	0	0	0	2	88	0	3	0	0	0	0	11	0	0	108	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	18	13	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	200	"AWI"	200	3621	4139	3841	2	3	287	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	5	0	23	0	0	0	0	0	0	0	0	0	0	0	0	32	0	7	0	0	0	0	5	0	0	115	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	12	7	0	0	0
