"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cupressus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15972	24631	"Kerminihy beach"	47.63278	-3.20083	62	"AWI"	62	3661	4000	3823	0	0	35	11	2	3	4	0	0	3	0	0	0	0	0	1	0	1	35	0	0	80	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	64	"AWI"	64	3692	4022	3849	0	0	24	11	5	1	4	0	0	4	0	0	0	0	0	0	0	0	37	0	0	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	1	0	0	2	0	4	0	2	1	0	0	1	1	0	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	66	"AWI"	66	3717	4047	3874	0	0	17	13	2	0	2	0	0	4	0	1	0	0	0	0	0	0	30	0	0	74	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	96	0	1	68	0	0	3	0	0	2	1	4	1	0	1	1	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	68	"AWI"	68	3734	4085	3901	0	1	12	14	8	0	2	0	0	1	0	1	0	0	0	1	0	0	25	0	0	51	0	0	0	0	1	0	1	0	0	0	0	2	0	5	0	0	69	0	0	65	0	0	1	2	0	0	2	0	0	0	0	1	1	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	70	"AWI"	70	3747	4126	3925	0	0	22	26	6	2	7	0	0	3	0	0	0	0	0	0	0	0	21	0	0	77	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	56	0	0	107	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	72	"AWI"	72	3773	4148	3955	0	0	10	23	4	1	7	0	0	4	0	2	0	0	0	0	0	0	23	0	0	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	74	"AWI"	74	3796	4173	3983	0	0	19	31	4	0	5	0	0	0	0	0	0	1	0	0	0	0	18	0	0	72	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	76	"AWI"	76	3814	4207	4011	0	0	22	42	3	0	2	0	0	7	0	0	0	0	0	0	0	0	47	0	0	62	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	81	0	0	0	1	0	1	2	0	1	0	0	1	4	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	78	"AWI"	78	3827	4251	4038	0	0	13	41	4	0	3	0	0	5	0	1	0	0	0	0	0	0	22	0	0	67	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	52	0	0	1	1	0	3	0	0	0	0	0	0	2	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	80	"AWI"	80	3839	4302	4063	0	0	19	32	2	0	5	0	0	7	0	0	0	0	0	1	0	0	31	0	0	73	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	58	0	0	113	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	82	"AWI"	82	3879	4321	4090	0	0	8	19	1	0	2	0	0	9	0	0	0	0	0	0	0	0	14	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	84	"AWI"	84	3909	4344	4118	0	0	24	22	3	1	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	108	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	111	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	86	"AWI"	86	3932	4367	4145	1	0	20	19	3	0	7	0	0	3	0	0	0	1	0	1	0	0	28	0	0	75	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	88	"AWI"	88	3950	4406	4172	0	0	10	20	1	0	4	0	0	5	0	3	0	0	0	0	0	0	30	0	0	38	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	72	0	0	0	0	0	2	2	3	0	0	1	0	1	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	90	"AWI"	90	3967	4449	4198	0	0	12	18	3	0	2	0	0	1	0	0	0	0	0	0	0	0	30	0	0	65	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	68	0	0	0	1	0	3	0	2	0	0	0	1	1	1	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	92	"AWI"	92	4012	4465	4226	0	0	10	27	2	0	4	0	0	3	0	0	0	0	0	0	0	0	29	0	0	59	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	1	0	2	0	0	2	2	1	0	0	2	2	1	2	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	96	"AWI"	96	4080	4512	4281	0	0	13	24	1	0	4	0	0	2	0	0	0	0	0	0	0	0	19	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	98	"AWI"	98	4100	4541	4309	0	0	9	13	1	1	4	0	0	2	0	0	0	0	0	1	0	0	16	0	0	34	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	3	2	0	0	0	0	0	1	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	100	"AWI"	100	4114	4574	4336	0	0	23	2	3	0	2	0	0	5	0	0	0	0	0	0	0	0	19	0	0	37	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	128	0	0	1	0	0	12	0	2	0	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	102	"AWI"	102	4147	4616	4370	0	0	12	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	35	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	80	0	10	0	0	0	3	1	0	0	0	0	0	0	0	0	0
