"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Myrica"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Ulmus"	"Urticaceae"
9601	14125	"Mongan Bog"	53.32469	-7.98346	196	"AWI"	196	1669	2280	1965	9.25373134328358	0	0	0.298507462686567	0	0	2.08955223880597	0	0	57.3134328358209	4.77611940298508	6.86567164179105	0	2.38805970149254	0	10.7462686567164	0	0	0	0	0	0	3.58208955223881	0	0	0	0.298507462686567	0	2.38805970149254	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	200	"AWI"	200	1696	2324	2000	12.9449838187702	0	0	0.323624595469256	0	0	1.61812297734628	0	0	60.8414239482201	1.61812297734628	9.38511326860841	0	4.20711974110032	0	4.53074433656958	0	0.323624595469256	0	0	0	0	1.94174757281553	0	0	0	0	0	2.26537216828479	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	216	"AWI"	216	1879	2459	2140	9.85915492957746	0.352112676056338	0	1.05633802816901	0	0	5.98591549295775	0	0	50	7.04225352112676	5.63380281690141	0	8.80281690140845	0	0	0	0.352112676056338	0	0	0	0	5.63380281690141	0	0	0	0	0	5.28169014084507	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	232	"AWI"	232	2066	2627	2284	10.8108108108108	0.386100386100386	0	0.772200772200772	0	0	9.26640926640927	0	0	49.4208494208494	9.26640926640927	0	0	3.08880308880309	0	0	1.93050193050193	0	0	0	0	0	4.63320463320463	0	0	0	0	0	10.4247104247104	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	248	"AWI"	248	2212	2784	2458	8.02919708029197	0	0	0.72992700729927	0	0	8.39416058394161	0	0	54.014598540146	8.02919708029197	0	0	4.37956204379562	0	0	0.72992700729927	0.364963503649635	0	0	0	0	6.2043795620438	0	0	0	0	0	9.12408759124088	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	256	"AWI"	256	2294	2868	2550	12.5461254612546	0	0	0	0	0	4.0590405904059	0	0	62.3616236162362	5.90405904059041	0	0	2.2140221402214	0	5.90405904059041	0	0	0	0	0	0	3.3210332103321	0	0	0	0	0	3.690036900369	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	264	"AWI"	264	2362	2957	2640	10.9848484848485	0	0	0.378787878787879	0	0	4.16666666666667	0	0	46.2121212121212	25.3787878787879	0	0	3.40909090909091	0	0	1.13636363636364	0	0	0	0	0	5.68181818181818	0	0	0	0	0	2.65151515151515	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	296	"AWI"	296	2715	3260	2995	7.26643598615917	0	0	0	0	0	1.73010380622837	0	0	65.7439446366782	2.42214532871972	13.840830449827	0	1.73010380622837	0	2.42214532871972	0	0.346020761245675	0	0	0	0	2.7681660899654	1.3840830449827	0	0	0	0	0.346020761245675	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	312	"AWI"	312	2895	3394	3166	9.41176470588235	0	0	0	0	0	3.82352941176471	0	0	44.1176470588235	6.76470588235294	7.35294117647059	0	4.41176470588235	0	4.70588235294118	0.882352941176471	0.294117647058824	0	1.17647058823529	0	0	10.2941176470588	0	0	0	0.294117647058824	0	6.47058823529412	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	313	"AWI"	313	2905	3401	3175	11.214953271028	0	0	0	0	0	2.18068535825545	0	0	52.9595015576324	9.34579439252336	6.23052959501558	0	1.55763239875389	0	5.60747663551402	0	0	0	0	0	0.311526479750779	3.42679127725857	0.934579439252336	0	0	0.934579439252336	0	5.29595015576324	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	314	"AWI"	314	2914	3412	3185	10.9717868338558	0	0	0	0	0	3.44827586206897	0	0	47.9623824451411	7.52351097178683	5.95611285266458	0	1.25391849529781	0	7.52351097178683	0.313479623824451	0.626959247648903	0	0	0	0	7.83699059561129	0	0	0	0	0	6.58307210031348	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	315	"AWI"	315	2926	3421	3193	15.9609120521173	0	0	0.325732899022801	0	0	1.95439739413681	0	0	40.0651465798046	11.7263843648208	4.23452768729642	0	5.53745928338762	0	4.88599348534202	0.325732899022801	0	0	0	0	0	8.46905537459283	0	0	0	0.977198697068404	0	5.53745928338762	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	316	"AWI"	316	2935	3432	3201	11.178247734139	0	0	0.604229607250755	0	0	0.906344410876133	0	0	46.2235649546828	12.0845921450151	6.64652567975831	0	3.32326283987915	0	4.83383685800604	0	0.604229607250755	0	0	0	0	7.85498489425982	0	0	0	0.604229607250755	0	5.13595166163142	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	317	"AWI"	317	2942	3441	3210	14.2857142857143	0	0	0	0	0	3.57142857142857	0.649350649350649	0	51.6233766233766	5.84415584415584	3.8961038961039	0	4.22077922077922	0	3.57142857142857	0.324675324675325	0	0	0	0	0	6.81818181818182	0.324675324675325	0	0	0.324675324675325	0	4.54545454545455	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	318	"AWI"	318	2951	3451	3219	12.1405750798722	0	0	0.319488817891374	0	0	2.87539936102236	0	0	54.3130990415335	4.47284345047923	8.94568690095847	0	1.2779552715655	0	4.79233226837061	0	0.638977635782748	0	0	0	0	7.02875399361022	0	0	0	0.319488817891374	0	2.87539936102236	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	319	"AWI"	319	2957	3465	3228	13.312693498452	0	0	1.23839009287926	0	0	0.928792569659443	0	0	60.6811145510836	7.43034055727554	3.71517027863777	0	1.54798761609907	0	4.3343653250774	0.309597523219814	0.619195046439629	0	0	0	0.309597523219814	3.40557275541796	0	0	0	0.619195046439629	0	1.54798761609907	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	320	"AWI"	320	2963	3482	3236	14.8148148148148	0	0	0.308641975308642	0	0	3.39506172839506	0	0	52.1604938271605	4.62962962962963	8.64197530864197	0	1.23456790123457	0.308641975308642	8.64197530864197	0	0	0	0	0	0	3.7037037037037	0	0	0	0	0	2.16049382716049	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	321	"AWI"	321	2976	3489	3245	8.88888888888889	0	0	0	0	0	2.85714285714286	0	0.317460317460317	56.8253968253968	7.93650793650794	4.76190476190476	0	1.58730158730159	0	4.44444444444444	0	0	0	0	0	0	7.93650793650794	0.317460317460317	0	0	0.952380952380952	0	3.17460317460317	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	322	"AWI"	322	2984	3494	3254	12.2866894197952	0	0	0.341296928327645	0	0	3.7542662116041	0	0	58.3617747440273	5.46075085324232	0	0	0.68259385665529	0.341296928327645	4.77815699658703	0	0.341296928327645	0	0	0	0	9.21501706484642	0	0	0	0	0	4.43686006825939	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	323	"AWI"	323	2994	3502	3264	11.9354838709677	0	0	0.645161290322581	0	0	0.967741935483871	0	0	62.5806451612903	5.48387096774194	3.2258064516129	0	0.645161290322581	0	3.54838709677419	0.32258064516129	0.645161290322581	0	0	0	0.645161290322581	4.19354838709677	0	0	0	0.645161290322581	1.61290322580645	2.90322580645161	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	324	"AWI"	324	3003	3509	3273	17.0138888888889	0	0	0.694444444444444	0	0	2.43055555555556	0	0	59.7222222222222	5.20833333333333	0	0	1.38888888888889	0	2.77777777777778	0	0	0	0	0	0	7.29166666666667	0	0	0	0.347222222222222	0.347222222222222	2.77777777777778	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	325	"AWI"	325	3010	3518	3281	12.1405750798722	0	0	0	0	0	2.87539936102236	0	0	58.14696485623	4.47284345047923	5.11182108626198	0	1.59744408945687	0	4.79233226837061	0	0.319488817891374	0	0	0	0	6.0702875399361	0	0	0	1.2779552715655	0.638977635782748	2.55591054313099	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	328	"AWI"	328	3032	3545	3307	11.9205298013245	0	0	0.993377483443709	0	0	2.64900662251656	0	0	58.2781456953642	1.98675496688742	8.60927152317881	0	0.993377483443709	0	4.3046357615894	0	0.33112582781457	0	0	0	0	6.29139072847682	0	0	0	0	0	3.64238410596026	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	344	"AWI"	344	3171	3693	3444	19.5035460992908	0	0	0	0	0	2.12765957446809	0	0	52.1276595744681	9.21985815602837	0	0	1.41843971631206	0	8.51063829787234	0	0	0	0	0.354609929078014	0	4.60992907801418	0.354609929078014	0	0	0.354609929078014	0	1.41843971631206	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	382	"AWI"	382	3551	3983	3762	6.96864111498258	0	0	0	0	0	1.39372822299652	0	0	65.5052264808362	0.696864111498258	6.62020905923345	0	4.52961672473868	0	0	0	0	0	0	0	0	6.27177700348432	0.348432055749129	0	0	0.348432055749129	0	7.31707317073171	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	398	"AWI"	398	3688	4152	3901	8.78378378378378	0	0	0.337837837837838	0	0	0.337837837837838	0	0	51.0135135135135	0.337837837837838	16.8918918918919	0	3.37837837837838	0	0	0	1.35135135135135	0	0	0	0	12.1621621621622	0	0	0	0	0	5.40540540540541	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	472	"AWI"	472	4200	5035	4573	8.97959183673469	0	0	0	0	0	0.816326530612245	0	0	50.6122448979592	0.816326530612245	19.1836734693878	0	2.04081632653061	0	1.22448979591837	0.408163265306122	2.04081632653061	0	0	0	0	6.53061224489796	0	0	0	0	0	7.34693877551021	0
