"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14506	22723	"Loch Ashik"	57.25	-5.83333	195	"AWI"	195	4123	4533	4345	41	0	0	0	0	0	23	0	0	0	31	20	0	0	2	0	13	0	0	0	0	0	151	0	48	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	200	"AWI"	200	4222	4673	4455	51	0	0	1	0	0	0	0	0	0	51	20	0	0	0	0	14	0	3	0	0	11	195	0	25	0	0	0	16	0	0	0	0	3	0	2	0	1	4	1	0
14506	22723	"Loch Ashik"	57.25	-5.83333	205	"AWI"	205	4340	4765	4569	89	0	0	0	0	0	73	0	0	0	108	49	0	0	4	0	17	0	0	0	0	0	233	0	22	0	0	0	21	0	0	1	0	0	0	0	0	0	6	1	0
14506	22723	"Loch Ashik"	57.25	-5.83333	210	"AWI"	210	4472	4830	4678	142	0	0	0	0	0	119	0	0	0	258	140	0	0	1	0	23	0	0	1	0	1	126	0	44	0	0	0	32	0	0	0	0	3	0	0	0	0	11	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	220	"AWI"	220	4664	5171	4904	83	0	0	0	0	0	95	0	1	0	122	96	0	0	3	0	33	0	0	1	0	0	41	0	72	0	0	0	26	0	0	0	0	6	0	0	0	0	8	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	230	"AWI"	230	4876	5403	5138	73	0	0	0	0	0	140	0	1	0	93	39	0	0	1	0	8	1	0	0	0	0	32	0	35	0	0	0	18	0	0	0	0	1	0	2	0	0	4	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	240	"AWI"	240	5129	5807	5422	121	0	0	0	0	0	195	0	0	0	138	63	0	0	0	0	14	2	0	0	0	0	27	0	21	0	0	0	27	0	0	0	0	4	0	2	0	0	22	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	250	"AWI"	250	5385	6320	5802	100	0	0	0	0	0	176	0	0	0	152	36	0	0	1	0	40	1	0	1	0	1	26	0	35	0	0	0	27	0	0	0	0	5	0	3	0	1	18	1	0
14506	22723	"Loch Ashik"	57.25	-5.83333	260	"AWI"	260	5714	6730	6227	82	0	0	1	0	0	172	0	0	0	121	38	0	0	2	0	17	0	0	0	0	0	16	0	53	0	0	0	20	0	0	0	0	14	0	0	0	0	31	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	270	"AWI"	270	6090	7051	6623	41	1	1	0	3	0	70	0	7	0	120	46	0	0	0	0	152	0	0	0	0	0	29	0	122	0	0	0	21	0	0	1	0	11	1	0	0	0	10	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	280	"AWI"	280	6567	7312	7029	38	0	1	1	0	0	87	0	1	0	104	49	0	0	1	0	70	4	0	1	0	0	41	0	59	0	0	0	19	0	0	0	0	15	0	0	0	0	17	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	290	"AWI"	290	6995	7602	7324	3	0	0	1	0	0	126	0	4	0	235	45	0	0	1	0	22	2	0	0	0	0	47	0	50	0	0	0	15	0	0	0	0	19	0	4	0	0	14	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	300	"AWI"	300	7225	7888	7571	0	0	1	1	0	0	131	0	0	0	163	30	0	0	0	0	54	1	0	0	0	0	22	0	41	0	0	0	27	0	0	0	0	15	0	2	0	1	12	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	310	"AWI"	310	7491	8110	7822	0	0	1	1	0	0	164	0	0	0	216	23	0	0	0	0	32	0	0	0	0	0	24	0	53	0	0	0	19	0	0	0	0	15	0	1	0	0	10	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	320	"AWI"	320	7780	8289	8075	0	0	0	0	1	0	152	0	0	0	108	35	0	0	0	0	28	2	0	0	0	0	18	0	53	0	0	0	20	0	0	0	0	26	0	0	0	0	13	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	330	"AWI"	330	8076	8489	8304	1	0	1	1	0	0	128	0	0	0	109	19	0	0	0	0	24	1	0	0	0	0	8	0	55	0	1	0	15	0	0	1	0	17	0	1	0	0	8	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	340	"AWI"	340	8236	8761	8491	1	0	0	0	0	0	277	0	1	0	286	33	0	0	0	0	20	0	0	0	0	0	10	0	72	0	0	0	30	0	0	0	0	36	0	1	0	0	19	0	1
14506	22723	"Loch Ashik"	57.25	-5.83333	350	"AWI"	350	8401	8993	8687	1	0	0	0	0	0	175	0	0	0	190	17	0	0	0	0	22	0	0	0	0	1	6	0	37	0	0	0	5	0	0	0	0	11	0	0	0	0	15	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	360	"AWI"	360	8586	9184	8885	1	0	0	0	0	0	236	0	0	0	199	56	0	0	0	0	26	3	0	0	0	0	7	0	39	0	0	0	32	0	0	0	0	28	0	0	0	0	22	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	370	"AWI"	370	8786	9345	9085	3	1	0	0	0	0	221	0	0	0	271	32	85	0	0	0	11	2	0	0	0	3	7	0	32	0	1	0	10	0	0	0	0	31	0	4	0	0	23	0	3
14506	22723	"Loch Ashik"	57.25	-5.83333	380	"AWI"	380	9026	9489	9283	0	0	0	0	0	0	248	0	2	0	211	26	0	0	0	0	12	0	0	0	0	0	4	0	12	0	0	0	13	0	0	0	0	26	0	0	0	0	41	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	390	"AWI"	390	9247	9848	9508	0	1	0	0	0	0	288	0	1	0	293	19	0	0	0	0	13	1	0	0	0	4	6	0	23	0	1	0	3	0	0	0	0	12	0	4	1	0	20	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	400	"AWI"	400	9465	10213	9799	0	0	0	0	0	0	198	0	1	0	194	49	0	0	0	0	16	0	0	0	0	0	12	0	51	0	0	0	3	0	0	0	0	28	0	0	2	0	29	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	420	"AWI"	420	9977	10773	10395	1	0	0	0	0	0	320	0	0	0	222	26	0	0	0	0	17	6	0	0	0	0	6	0	52	0	0	0	2	0	0	0	0	16	0	0	0	0	1	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	430	"AWI"	430	10313	11004	10682	0	0	0	0	0	0	147	0	0	0	138	44	22	0	0	0	28	15	0	0	0	0	8	0	130	0	0	0	2	0	0	0	0	32	0	0	0	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	435	"AWI"	435	10515	11102	10824	0	0	3	0	0	0	399	0	1	0	74	22	22	0	0	0	24	28	0	0	0	0	10	0	108	0	2	0	1	0	0	0	0	46	0	0	2	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	440	"AWI"	440	10669	11257	10979	0	0	0	0	0	0	203	0	0	0	23	25	21	0	0	0	23	24	0	0	0	0	8	0	79	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	450	"AWI"	450	10918	11614	11268	0	0	0	0	0	0	173	0	0	0	38	69	54	0	0	0	26	85	0	0	0	0	13	0	170	0	0	0	0	0	0	0	0	40	0	0	6	0	0	1	0
14506	22723	"Loch Ashik"	57.25	-5.83333	460	"AWI"	460	11232	11892	11564	0	0	3	0	0	0	88	0	0	0	2	77	28	0	0	0	36	86	0	0	0	0	3	0	206	0	0	0	0	0	0	0	0	18	0	0	3	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	470	"AWI"	470	11534	12240	11872	0	1	0	0	1	0	22	0	0	0	2	41	64	0	0	0	48	109	0	0	0	0	4	0	149	0	1	0	0	0	0	0	0	17	1	0	5	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	480	"AWI"	480	11821	12634	12166	0	0	0	0	0	0	63	0	0	0	2	78	56	0	0	0	37	29	0	0	1	0	16	0	119	0	0	0	0	9	0	1	0	17	0	0	17	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	490	"AWI"	490	12007	13058	12449	1	0	0	0	2	0	0	4	0	0	1	22	0	0	0	0	16	4	0	0	0	0	4	0	19	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0
