"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	460	"AWI"	460	14426	15298	15009	0	0	4	85	2	0	0	222	0	13	7	0	0	0	0	4	0	0	1	0	0	0	1	0	7	0	0	0	0	99	0	62	0	0	0	0	0	2	4	2	1	0	4	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	462.5	"AWI"	462.5	14614.5	15383	15107.5	2	0	3	63	4	0	0	193	0	8	3	1	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	132	0	69	0	1	0	0	0	6	4	1	0	0	1	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	465	"AWI"	465	14725	15526	15210	1	0	0	21	9	0	0	103	0	24	5	0	0	0	0	3	5	0	0	0	0	0	0	0	14	0	0	0	0	214	0	110	0	0	9	0	0	8	7	0	0	0	6	2	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	467.5	"AWI"	467.5	14966	15597.5	15304.5	0	0	0	71	6	0	1	259	0	7	3	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	59	0	71	0	0	0	0	0	3	2	2	0	0	3	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	470	"AWI"	470	15120	15714	15411	1	0	2	72	11	0	0	196	0	16	3	0	0	0	1	0	4	0	0	0	0	0	0	0	9	0	0	0	0	120	0	81	0	0	0	0	0	4	3	2	0	0	1	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	472.5	"AWI"	472.5	15255	15888	15544	0	0	0	68	5	0	0	269	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	107	0	83	1	0	5	0	0	5	2	0	0	0	2	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	475	"AWI"	475	15315	16210	15661	1	0	3	106	4	0	0	273	0	8	3	0	0	0	0	2	1	0	0	0	0	0	1	0	5	0	0	0	0	81	0	61	0	0	0	0	0	8	8	0	0	0	0	1	1	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	477.5	"AWI"	477.5	15416.5	16411.5	15806	0	0	0	89	4	0	0	220	0	12	3	0	0	0	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	70	0	61	0	0	4	0	0	8	5	2	0	0	5	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	480	"AWI"	480	15479	16694	15936	0	0	0	75	3	0	0	159	0	15	2	0	0	0	0	2	2	4	0	0	0	0	1	0	4	0	0	0	0	104	0	73	0	0	0	0	0	4	5	0	0	0	1	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	482.5	"AWI"	482.5	15582	16858.5	16079.5	0	0	1	77	3	0	0	205	0	6	1	0	0	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	0	65	0	60	0	0	0	0	0	4	3	0	0	0	3	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	487.5	"AWI"	487.5	15761.5	17287	16355.5	0	0	0	99	3	0	0	192	0	10	3	0	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	75	0	71	0	0	0	0	0	2	2	0	0	0	3	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	490	"AWI"	490	15830	17534	16499	0	0	2	63	8	0	0	164	0	14	12	0	0	0	0	4	0	2	0	0	0	0	0	0	11	0	0	0	0	90	0	55	0	0	0	0	0	8	7	1	0	0	0	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	500	"AWI"	500	16228	18273	17083	0	1	0	86	6	0	0	188	0	6	3	0	0	0	2	4	0	0	0	0	0	0	0	0	7	0	0	0	0	75	0	65	0	0	6	0	0	6	3	0	1	0	3	0	0	1
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	505	"AWI"	505	16462	18627	17370	0	0	1	60	9	0	0	186	0	8	7	0	0	0	1	4	0	0	0	0	0	0	0	0	5	0	0	0	0	40	0	30	0	0	8	0	0	3	7	0	0	0	3	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	510	"AWI"	510	16669	18989	17658	1	0	0	111	5	0	0	259	0	11	5	0	0	0	5	2	0	5	0	0	0	0	0	0	7	0	0	0	0	88	0	30	0	0	0	0	0	6	4	0	0	0	2	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	520	"AWI"	520	17138	19675	18257	0	0	0	85	7	0	0	189	0	5	8	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	51	0	43	0	0	8	0	0	6	5	1	0	0	3	0	1	0
