"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3109	4045	"Flögeln"	53.669394	8.762382	51	"AWI"	51	424	1074	757	0	0	93	12	0	0	0	0	213	1	0	0	0	0	152	66	0	0	77	0	2	0	0	0	0	0	42	0	0	21	0	35	0	0	19	0	0	55	0	0	0	8	3	0	0	0	1	0
3109	4045	"Flögeln"	53.669394	8.762382	56	"AWI"	56	491	1147	842	0	0	125	1	1	0	0	0	203	0	0	0	0	0	147	18	0	0	70	0	2	0	0	0	0	0	122	0	0	14	1	26	0	0	0	0	0	54	0	0	0	1	3	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	61	"AWI"	61	603	1191	919	0	0	154	3	0	0	1	0	167	0	0	0	0	0	103	17	0	0	67	0	1	0	0	0	0	0	16	0	0	26	1	20	0	0	0	0	0	61	0	0	0	3	0	0	0	0	1	0
3109	4045	"Flögeln"	53.669394	8.762382	66	"AWI"	66	677	1247	1001	0	0	118	2	1	0	2	0	122	1	0	0	0	0	49	49	0	0	101	0	3	0	0	0	0	0	47	0	0	16	3	36	0	0	0	0	0	130	0	0	0	6	1	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	71	"AWI"	71	833	1278	1076	1	0	144	1	0	0	0	0	181	1	0	0	0	0	166	19	0	0	46	0	3	0	0	0	0	0	195	0	0	29	0	18	0	0	0	0	1	81	0	0	0	2	2	0	0	0	5	0
3109	4045	"Flögeln"	53.669394	8.762382	76	"AWI"	76	952	1346	1165	0	0	217	1	0	0	1	0	147	0	0	0	0	0	113	3	0	0	37	0	1	0	0	0	0	0	72	0	0	12	0	11	0	0	0	0	0	72	0	0	0	0	2	0	0	0	1	0
3109	4045	"Flögeln"	53.669394	8.762382	81	"AWI"	81	1115	1450	1299	0	0	144	0	0	0	0	0	142	0	0	0	0	0	59	10	0	0	63	0	5	0	0	0	0	0	66	0	0	26	0	19	0	0	0	0	0	89	0	0	0	3	2	0	0	0	5	0
3109	4045	"Flögeln"	53.669394	8.762382	86	"AWI"	86	1226	1592	1418	0	0	212	0	2	0	2	0	142	0	0	0	0	0	57	1	0	0	40	0	2	0	0	0	0	0	36	0	0	68	0	14	0	0	0	0	0	29	0	0	0	0	1	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	91	"AWI"	91	1377	1637	1502	0	0	139	1	0	0	2	0	184	0	0	0	0	0	107	11	0	0	53	0	0	0	0	0	0	0	40	0	0	29	0	22	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	96	"AWI"	96	1456	1714	1583	0	0	146	7	0	0	0	0	213	0	0	0	0	0	154	1	0	0	34	0	1	0	0	0	0	0	135	0	0	17	0	24	0	0	0	0	0	61	0	0	0	0	0	0	0	0	4	0
3109	4045	"Flögeln"	53.669394	8.762382	101	"AWI"	101	1527	1755	1633	0	0	158	4	0	0	2	0	198	0	0	0	0	0	214	57	0	0	33	0	2	0	0	0	0	0	283	0	0	22	1	14	0	0	0	0	0	68	0	0	0	0	0	0	0	1	3	0
3109	4045	"Flögeln"	53.669394	8.762382	105	"AWI"	105	1570	1802	1670	0	0	182	4	0	0	0	0	156	0	0	0	0	0	268	3	0	0	66	0	0	0	0	0	0	0	87	0	0	7	0	40	0	0	0	0	0	46	0	0	0	0	1	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	110	"AWI"	110	1615	1850	1721	0	0	281	6	1	0	2	0	81	0	0	0	0	0	98	12	0	0	41	0	1	0	0	0	0	1	43	0	0	20	1	28	0	0	0	0	0	36	0	0	0	0	6	0	0	1	4	0
3109	4045	"Flögeln"	53.669394	8.762382	115	"AWI"	115	1660	1931	1783	1	0	208	5	0	0	4	0	173	0	0	0	0	0	204	5	0	0	21	0	0	0	0	0	0	0	142	0	0	12	1	8	0	0	0	0	0	64	0	0	0	3	5	0	0	0	7	0
3109	4045	"Flögeln"	53.669394	8.762382	120	"AWI"	120	1697	2107	1858	0	0	235	8	0	0	2	0	131	0	0	0	0	0	182	7	0	0	42	0	1	0	0	0	0	0	82	0	0	14	0	14	0	0	0	0	0	62	0	0	0	1	0	0	0	0	1	0
3109	4045	"Flögeln"	53.669394	8.762382	125	"AWI"	125	1749	2266	1942	0	0	194	5	0	0	3	0	143	0	0	0	0	0	146	22	0	0	22	0	2	0	0	0	0	0	70	0	0	13	0	37	0	0	24	0	0	83	0	0	0	3	2	0	0	0	4	0
3109	4045	"Flögeln"	53.669394	8.762382	130	"AWI"	130	1788	2429	2034	0	0	218	1	0	0	3	0	125	0	0	0	0	0	186	58	0	0	32	0	6	0	0	0	0	0	118	0	0	12	0	33	0	0	0	0	0	74	0	0	0	2	3	0	0	1	5	0
3109	4045	"Flögeln"	53.669394	8.762382	135	"AWI"	135	1850	2580	2130	0	0	247	2	1	0	1	0	130	0	0	0	0	0	102	9	0	0	31	0	1	0	0	0	0	0	59	0	0	8	1	30	0	0	0	0	0	53	0	0	0	0	0	0	0	0	4	0
3109	4045	"Flögeln"	53.669394	8.762382	140	"AWI"	140	1900	2733	2230	0	0	186	6	0	0	5	0	160	0	2	0	0	0	104	32	0	0	19	0	2	0	0	0	0	1	184	0	0	7	0	39	0	0	0	0	0	81	0	0	0	2	2	0	0	0	4	0
3109	4045	"Flögeln"	53.669394	8.762382	145	"AWI"	145	1980	2856	2331	0	0	205	4	1	0	1	0	156	0	0	0	0	0	195	13	0	0	30	0	0	0	0	0	0	0	65	0	0	6	0	27	0	0	0	0	0	71	0	0	0	0	1	0	0	1	3	0
3109	4045	"Flögeln"	53.669394	8.762382	150	"AWI"	150	2037	3002	2436	1	0	277	7	1	0	0	0	150	0	0	0	0	0	175	24	0	0	22	0	5	0	0	0	0	0	165	0	0	7	1	25	4	0	0	0	0	69	0	0	0	2	1	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	155	"AWI"	155	2123	3106	2537	0	0	242	5	0	0	1	0	167	0	0	0	0	0	109	54	0	0	14	0	2	0	0	0	0	0	65	0	0	0	0	18	0	0	0	0	0	50	0	0	0	7	4	0	0	2	1	0
3109	4045	"Flögeln"	53.669394	8.762382	160	"AWI"	160	2183	3268	2639	0	0	210	6	0	0	0	0	168	0	0	0	0	0	138	43	0	0	16	0	1	0	0	0	0	0	92	0	0	2	0	39	0	0	0	0	0	57	0	0	0	0	2	0	0	1	4	0
3109	4045	"Flögeln"	53.669394	8.762382	165	"AWI"	165	2275	3355	2748	0	0	209	3	0	1	2	0	226	0	0	0	0	0	130	11	0	0	8	0	1	0	0	0	0	0	34	0	0	0	0	22	0	0	0	0	0	31	0	0	0	1	0	0	0	3	0	0
3109	4045	"Flögeln"	53.669394	8.762382	170	"AWI"	170	2343	3466	2852	0	0	249	0	0	0	5	0	122	2	0	0	0	0	146	32	0	0	6	0	6	0	0	0	0	0	79	0	0	4	0	34	0	0	0	0	0	72	0	0	0	2	1	0	0	1	5	0
3109	4045	"Flögeln"	53.669394	8.762382	175	"AWI"	175	2437	3581	2963	0	0	245	2	0	0	7	0	136	1	0	0	0	0	151	42	0	0	10	0	3	0	0	0	0	1	84	0	0	4	0	40	0	0	0	0	0	52	0	0	0	4	1	0	0	1	8	0
3109	4045	"Flögeln"	53.669394	8.762382	180	"AWI"	180	2516	3734	3065	0	0	277	4	0	0	1	0	81	0	0	0	0	0	255	36	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	47	0	0	0	0	0	81	0	0	0	2	0	0	0	4	5	0
3109	4045	"Flögeln"	53.669394	8.762382	185	"AWI"	185	2602	3832	3175	0	0	252	3	1	1	2	0	121	0	0	0	0	0	108	56	0	0	5	0	7	0	0	0	0	0	14	0	0	0	0	30	4	0	0	0	0	73	0	0	0	4	4	0	0	3	5	0
3109	4045	"Flögeln"	53.669394	8.762382	190	"AWI"	190	2689	3985	3284	0	0	330	3	0	0	3	0	73	0	0	0	0	0	151	85	0	0	5	0	2	0	0	0	0	0	29	0	0	1	2	36	0	0	0	0	0	48	0	0	0	3	0	0	0	7	1	0
3109	4045	"Flögeln"	53.669394	8.762382	195	"AWI"	195	2783	4099	3397	0	0	217	1	0	0	0	0	119	0	0	0	0	0	108	118	0	0	3	0	5	0	0	0	0	0	15	0	0	0	0	38	0	0	0	0	0	160	0	0	0	6	2	0	0	9	7	0
3109	4045	"Flögeln"	53.669394	8.762382	200	"AWI"	200	2872	4227	3506	0	0	333	4	0	0	1	0	58	0	0	0	0	0	167	53	0	0	5	0	3	0	0	0	0	0	21	0	0	0	0	36	0	0	0	0	0	52	0	0	0	1	2	0	0	6	5	0
3109	4045	"Flögeln"	53.669394	8.762382	205	"AWI"	205	2961	4347	3616	0	0	229	3	1	0	4	0	138	0	0	0	0	0	108	101	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	28	0	0	0	0	0	86	0	0	0	1	1	0	0	9	6	0
3109	4045	"Flögeln"	53.669394	8.762382	210	"AWI"	210	3068	4454	3725	0	0	282	6	0	0	2	0	106	0	0	0	0	0	162	22	0	0	0	0	3	0	0	0	0	0	7	0	0	0	1	16	0	0	0	0	0	82	0	0	0	0	1	0	0	6	3	0
3109	4045	"Flögeln"	53.669394	8.762382	215	"AWI"	215	3167	4578	3838	0	0	220	6	1	0	2	0	130	0	0	0	0	0	105	65	0	0	2	0	2	0	0	0	0	0	6	0	0	0	0	36	0	0	0	0	0	87	0	0	0	0	2	0	0	9	2	0
3109	4045	"Flögeln"	53.669394	8.762382	220	"AWI"	220	3264	4684	3948	1	0	212	1	0	1	1	0	104	0	0	0	0	0	106	64	0	0	3	0	4	0	0	0	0	0	8	0	0	0	4	39	0	0	0	0	1	113	0	0	0	0	0	0	0	8	12	0
3109	4045	"Flögeln"	53.669394	8.762382	225	"AWI"	225	3356	4806	4053	0	0	288	6	0	0	1	0	98	0	0	0	0	0	130	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	72	0	0	0	0	0	0	0	3	6	0
3109	4045	"Flögeln"	53.669394	8.762382	230	"AWI"	230	3456	4918	4158	0	0	256	2	1	0	1	0	94	0	0	0	0	0	146	17	0	0	3	0	5	0	0	0	0	0	11	0	0	0	0	38	0	0	0	0	0	80	0	0	0	0	0	0	0	6	18	0
3109	4045	"Flögeln"	53.669394	8.762382	235	"AWI"	235	3534	5061	4264	0	0	300	2	0	0	1	0	85	0	0	0	0	0	121	9	0	0	2	0	4	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	60	0	0	0	1	1	0	0	16	12	0
3109	4045	"Flögeln"	53.669394	8.762382	240	"AWI"	240	3625	5154	4371	0	0	261	1	0	0	0	0	108	0	0	0	0	0	156	16	0	0	0	0	3	0	0	0	0	0	4	0	0	0	3	32	0	0	0	0	0	71	0	0	0	1	1	0	0	14	7	0
3109	4045	"Flögeln"	53.669394	8.762382	245	"AWI"	245	3712	5291	4478	1	0	276	2	0	0	1	0	83	0	0	0	0	0	103	5	0	0	1	0	5	0	0	0	0	0	5	0	0	0	0	26	0	0	0	0	0	85	0	0	0	0	0	0	0	11	12	0
3109	4045	"Flögeln"	53.669394	8.762382	250	"AWI"	250	3812	5387	4587	1	0	275	1	0	0	1	0	81	0	0	0	0	0	95	8	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	27	0	0	0	0	0	86	0	0	0	1	0	0	0	17	11	0
3109	4045	"Flögeln"	53.669394	8.762382	255	"AWI"	255	3907	5514	4690	0	0	246	8	0	0	0	0	85	0	0	0	0	0	119	35	0	0	3	0	2	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	122	0	0	0	1	0	0	0	13	9	0
3109	4045	"Flögeln"	53.669394	8.762382	260	"AWI"	260	4015	5612	4798	0	0	276	8	0	1	0	0	81	0	0	0	0	0	170	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	81	0	0	0	1	0	0	0	16	9	0
3109	4045	"Flögeln"	53.669394	8.762382	265	"AWI"	265	4111	5746	4904	0	0	262	1	0	0	0	0	103	0	0	0	0	0	106	5	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	35	0	0	0	0	0	72	0	0	0	1	0	0	1	15	10	0
3109	4045	"Flögeln"	53.669394	8.762382	270	"AWI"	270	4197	5854	5012	1	0	228	1	1	1	0	0	85	0	0	0	0	0	104	7	0	0	2	0	3	0	0	0	0	0	7	0	0	0	0	28	0	0	0	0	1	109	0	0	0	0	2	0	0	29	13	0
3109	4045	"Flögeln"	53.669394	8.762382	275	"AWI"	275	4283	5965	5119	0	0	238	7	0	0	0	0	87	1	0	0	0	0	103	15	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	57	0	0	0	0	0	95	0	0	0	0	0	0	0	17	4	0
3109	4045	"Flögeln"	53.669394	8.762382	280	"AWI"	280	4385	6063	5230	0	0	235	0	0	1	0	0	87	0	0	0	0	0	99	7	0	0	0	0	6	0	0	0	0	0	8	0	0	0	1	27	0	0	0	0	0	113	0	0	0	0	0	1	0	19	12	0
3109	4045	"Flögeln"	53.669394	8.762382	285	"AWI"	285	4473	6173	5330	0	0	212	3	1	0	0	0	121	1	0	0	0	0	107	18	0	0	9	0	5	0	0	0	0	0	29	0	0	0	1	45	0	0	0	0	0	89	0	0	0	1	3	0	0	6	9	0
3109	4045	"Flögeln"	53.669394	8.762382	290	"AWI"	290	4576	6283	5435	0	0	257	4	0	0	0	0	109	0	0	0	0	0	87	2	0	0	0	0	1	0	0	0	0	0	22	0	0	0	0	21	0	0	0	0	0	84	0	0	0	0	0	0	0	20	28	0
3109	4045	"Flögeln"	53.669394	8.762382	295	"AWI"	295	4675	6400	5533	0	0	178	6	0	1	0	0	137	0	0	0	0	0	52	95	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	109	0	0	0	0	0	0	0	9	23	0
3109	4045	"Flögeln"	53.669394	8.762382	300	"AWI"	300	4763	6535	5633	0	0	246	4	0	1	0	0	102	0	0	0	0	0	92	12	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	31	0	0	0	0	0	81	0	0	0	0	0	0	0	17	19	0
3109	4045	"Flögeln"	53.669394	8.762382	305	"AWI"	305	4855	6642	5734	0	0	210	2	0	2	1	0	108	0	0	0	0	0	70	29	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	130	0	0	0	2	0	0	0	6	26	0
3109	4045	"Flögeln"	53.669394	8.762382	310	"AWI"	310	4928	6786	5829	0	0	188	0	0	1	0	0	127	0	0	0	0	0	35	29	0	0	1	0	6	0	0	0	0	0	8	0	0	0	0	34	0	0	0	0	0	105	0	0	0	0	2	0	0	13	24	0
3109	4045	"Flögeln"	53.669394	8.762382	315	"AWI"	315	5013	6901	5928	0	0	238	4	1	0	0	0	122	0	0	0	0	0	92	17	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0	39	0	0	0	0	0	70	0	0	0	2	0	0	0	12	14	0
3109	4045	"Flögeln"	53.669394	8.762382	320	"AWI"	320	5083	7034	6025	0	0	252	2	0	0	0	0	88	0	0	0	0	0	77	16	0	0	0	1	2	0	0	0	0	0	10	0	0	0	1	54	0	0	0	0	0	116	0	0	0	1	0	0	0	17	20	0
3109	4045	"Flögeln"	53.669394	8.762382	325	"AWI"	325	5188	7136	6123	0	0	214	1	2	4	1	0	114	0	0	0	0	0	89	49	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	72	0	0	0	0	0	100	0	0	3	1	0	0	0	16	17	0
3109	4045	"Flögeln"	53.669394	8.762382	330	"AWI"	330	5272	7258	6221	0	0	204	1	1	0	0	0	97	0	0	0	0	0	89	4	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	60	0	0	0	0	0	113	0	0	0	0	0	0	0	7	27	0
3109	4045	"Flögeln"	53.669394	8.762382	335	"AWI"	335	5367	7369	6323	0	0	147	0	2	0	0	0	205	0	1	0	0	0	50	11	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	76	0	0	0	0	1	53	0	0	2	2	0	0	0	9	9	0
3109	4045	"Flögeln"	53.669394	8.762382	340	"AWI"	340	5453	7501	6418	0	0	154	3	1	0	1	0	211	0	0	0	0	0	69	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	2	61	0	0	0	0	1	0	0	15	11	0
3109	4045	"Flögeln"	53.669394	8.762382	345	"AWI"	345	5538	7614	6517	0	0	239	1	0	0	0	0	110	0	0	0	0	0	80	31	0	0	1	0	2	0	0	0	0	0	12	0	0	0	0	35	0	0	0	0	3	84	0	0	0	0	1	0	0	15	13	0
3109	4045	"Flögeln"	53.669394	8.762382	350	"AWI"	350	5606	7735	6612	0	0	179	0	0	0	0	0	143	0	0	0	0	0	63	14	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	69	0	0	0	0	0	85	0	0	0	0	0	0	0	9	14	0
3109	4045	"Flögeln"	53.669394	8.762382	355	"AWI"	355	5708	7838	6709	0	0	161	0	0	0	0	0	224	0	0	0	0	0	31	7	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	68	0	0	0	0	0	31	0	0	0	0	2	0	0	5	9	0
3109	4045	"Flögeln"	53.669394	8.762382	360	"AWI"	360	5790	7950	6805	0	0	128	1	1	1	0	0	101	0	0	0	0	0	58	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	11	0	0	0	0	0	0	0	8	7	0
3109	4045	"Flögeln"	53.669394	8.762382	365	"AWI"	365	5885	8078	6902	0	0	111	0	2	0	0	0	284	0	0	0	0	0	58	5	0	0	0	0	1	0	0	0	0	0	5	0	4	0	0	57	0	0	0	0	1	32	0	0	0	0	0	0	0	7	8	0
3109	4045	"Flögeln"	53.669394	8.762382	370	"AWI"	370	5975	8186	7002	0	0	176	0	1	0	1	0	150	0	0	0	0	0	82	20	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	94	0	0	0	0	0	51	0	0	0	0	0	0	0	11	17	0
3109	4045	"Flögeln"	53.669394	8.762382	375	"AWI"	375	6073	8293	7107	0	0	7	0	0	0	0	0	129	0	0	0	0	0	50	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	342	0	0	0	0	1	14	0	0	0	0	1	0	0	3	4	0
3109	4045	"Flögeln"	53.669394	8.762382	380	"AWI"	380	6164	8406	7214	0	0	33	0	0	0	0	0	223	3	0	0	0	0	73	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	1	9	0	0	0	0	4	0	0	3	8	28
3109	4045	"Flögeln"	53.669394	8.762382	385	"AWI"	385	6253	8515	7311	0	0	81	0	0	0	0	0	158	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	233	0	0	0	0	3	28	0	0	15	0	7	0	0	10	3	0
3109	4045	"Flögeln"	53.669394	8.762382	390	"AWI"	390	6357	8627	7412	0	0	10	0	0	0	0	0	136	0	0	0	0	0	32	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	334	0	0	0	0	0	9	0	0	0	0	3	1	0	4	3	0
3109	4045	"Flögeln"	53.669394	8.762382	400	"AWI"	400	6542	8835	7609	0	0	2	0	0	0	0	0	19	0	0	0	0	0	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	420	"AWI"	420	6895	9265	8007	0	0	0	0	0	0	0	0	29	0	0	0	0	0	30	6	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	466	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	440	"AWI"	440	7270	9699	8405	0	0	0	0	0	0	0	0	132	0	0	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	460	"AWI"	460	7642	10121	8799	0	0	10	0	0	0	0	0	72	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	470	"AWI"	470	7830	10352	9002	0	0	3	0	0	0	0	0	251	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	5	0	0	0	0	6	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	478	"AWI"	478	7979	10510	9164	0	0	3	0	0	0	2	0	364	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	480	"AWI"	480	8016	10546	9205	0	0	0	0	0	0	0	0	310	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	187	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	485	"AWI"	485	8125	10646	9304	0	0	1	0	0	0	2	0	276	0	0	0	0	0	6	12	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	490	"AWI"	490	8212	10768	9399	0	0	78	2	0	0	1	0	172	3	0	0	0	0	55	51	0	0	9	0	2	0	0	0	0	0	20	0	0	3	1	182	0	0	0	0	1	40	0	0	0	4	6	0	0	3	4	0
3109	4045	"Flögeln"	53.669394	8.762382	500	"AWI"	500	8409	10949	9601	0	0	0	0	0	0	0	0	139	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	510	"AWI"	510	8603	11159	9799	0	0	0	0	0	0	2	0	303	0	0	0	0	0	2	141	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	187	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	520	"AWI"	520	8807	11385	10000	0	0	1	2	0	0	3	0	96	0	0	0	0	1	7	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	1	0	0	0	0	0	0	0	0	51	0	1	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	530	"AWI"	530	9005	11579	10207	0	0	5	0	0	0	0	0	469	0	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	43	0	15	0	0	0	0	0
3109	4045	"Flögeln"	53.669394	8.762382	540	"AWI"	540	9207	11772	10411	0	0	3	0	0	0	0	0	394	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	5	0	0	0	0	12	0	0	0	0	0
