"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Chamaerops"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Heliotropium"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26121	45322	"Lago Preola"	37.61667	12.63333	544	"AWI"	544	6125	6811	6422	0	1.85185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85185185185185	0	9.25925925925926	0	0	0	0	0	0	0	0	0	20.3703703703704	0	0	0	0	48.1481481481481	0	0	0	3.7037037037037	0	0	0	0	3.7037037037037	0	0	0	0	0	7.40740740740741	3.7037037037037
26121	45322	"Lago Preola"	37.61667	12.63333	560	"AWI"	560	6246	7003	6591	0	0.963855421686747	0	0	0	0	0	0	0	0	0	0.481927710843374	0	0	0	0.963855421686747	0	2.40963855421687	0	3.85542168674699	0	0	0	1.92771084337349	0	0.481927710843374	0	0	0	25.7831325301205	0	0	0.481927710843374	0	15.421686746988	0	0	0	0.481927710843374	39.0361445783133	0	0	0	1.44578313253012	0	0	0	0	0	4.33734939759036	1.92771084337349
26121	45322	"Lago Preola"	37.61667	12.63333	576	"AWI"	576	6406	7171	6757	0	0.925925925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.925925925925926	0.462962962962963	0	0.462962962962963	0	0	0	0	0.462962962962963	0	0	0	0	24.0740740740741	0	0	0	0	25.9259259259259	0	0	0	2.31481481481481	42.1296296296296	0	0	0	0.925925925925926	0	0	0	0	0	0	1.38888888888889
26121	45322	"Lago Preola"	37.61667	12.63333	592	"AWI"	592	6542	7343	6928	0.337837837837838	2.02702702702703	0	0	0	0.675675675675676	0	0	0	0	0	0	0	0	0	0	0.675675675675676	4.72972972972973	0	3.37837837837838	0	0	0	0	0	0	0	0	0	29.0540540540541	0	0	0	0	11.4864864864865	0	0	0	0.675675675675676	43.9189189189189	0	0	0	1.01351351351351	0	0.675675675675676	0	0	0	0	1.35135135135135
26121	45322	"Lago Preola"	37.61667	12.63333	608	"AWI"	608	6700	7512	7091	0	1.61290322580645	0	0	1.61290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83870967741935	0	0	0	0	0	0	0	0	0	30.6451612903226	0	0	0	0	24.1935483870968	0	0	0	3.2258064516129	29.0322580645161	0	0	0	1.61290322580645	0	0	0	0	0	1.61290322580645	1.61290322580645
26121	45322	"Lago Preola"	37.61667	12.63333	640	"AWI"	640	7013	7823	7436	0	2.89855072463768	0	0	0	1.44927536231884	0	0	0	0	0	2.89855072463768	0	0	0	0	2.89855072463768	18.8405797101449	0	8.69565217391304	0	0	0	2.89855072463768	1.44927536231884	0	0	0	0	21.7391304347826	0	0	0	1.44927536231884	5.79710144927536	0	0	0	1.44927536231884	11.5942028985507	0	0	0	5.79710144927536	0	0	0	0	0	7.2463768115942	2.89855072463768
26121	45322	"Lago Preola"	37.61667	12.63333	672	"AWI"	672	7393	8095	7775	0	2.52100840336134	0	0	0	0	0	0	0	0	0	5.04201680672269	0	0	0	0	12.6050420168067	25.2100840336134	0	2.52100840336134	0	0	0	10.0840336134454	0.840336134453782	0	0	0	0	10.0840336134454	0	0	0	0	3.36134453781513	0	0	0	1.68067226890756	17.6470588235294	0	0	0	2.52100840336134	0	0	0	0	0	5.04201680672269	0.840336134453782
26121	45322	"Lago Preola"	37.61667	12.63333	704	"AWI"	704	7780	8329	8106	0.704225352112676	2.11267605633803	0	0	0	0	0	0.704225352112676	0	0.704225352112676	0	0	0	0	0	0	0.704225352112676	7.04225352112676	0	0.704225352112676	0	0	0	3.52112676056338	0	0	0.352112676056338	0	0	8.45070422535211	0.704225352112676	0	0.704225352112676	2.11267605633803	0.704225352112676	0	49.6478873239437	0	0.704225352112676	16.1971830985916	0	0	0	0.704225352112676	0	1.40845070422535	0	0	0	1.40845070422535	0.704225352112676
26121	45322	"Lago Preola"	37.61667	12.63333	736	"AWI"	736	8236	8547	8410	0	9.25925925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85185185185185	12.962962962963	0	1.85185185185185	0	0	0	0	1.85185185185185	0	0	0	0	14.8148148148148	0	0	0	3.7037037037037	18.5185185185185	0	0	0	1.85185185185185	29.6296296296296	0	0	0	0	0	0	0	1.85185185185185	0	0	1.85185185185185
26121	45322	"Lago Preola"	37.61667	12.63333	752	"AWI"	752	8384	8837	8566	0	3.58565737051793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17131474103586	3.58565737051793	0	3.58565737051793	0	0	0	0	0	0	0	0	0	17.9282868525896	0	0	0	5.97609561752988	35.8565737051793	0	0	0	3.58565737051793	13.9442231075697	0	0	0	1.19521912350598	0	0	0	0	0	3.58565737051793	0
26121	45322	"Lago Preola"	37.61667	12.63333	768	"AWI"	768	8491	9095	8726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606060606060606	0	1.21212121212121	2.42424242424242	0	2.42424242424242	0	0	0	0	0	0	0	0	0	10.9090909090909	0	0	0	4.84848484848485	52.7272727272727	0	0	0	6.06060606060606	11.5151515151515	0	0	0	3.03030303030303	0	0	0	0	0.606060606060606	2.42424242424242	1.21212121212121
26121	45322	"Lago Preola"	37.61667	12.63333	784	"AWI"	784	8599	9322	8884	0	3.07692307692308	0	0	0	0	0	0	0	0.512820512820513	0	0	0	0	0.512820512820513	0	4.61538461538462	13.8461538461538	0	1.53846153846154	0	0	0	0	0	0	0	0	0	10.7692307692308	0	0	0.512820512820513	9.23076923076923	33.8461538461538	0	0	0	10.7692307692308	9.23076923076923	0	0	0	1.53846153846154	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	800	"AWI"	800	8704	9545	9048	0	3.26086956521739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17391304347826	1.08695652173913	0	2.17391304347826	0	0	0	1.08695652173913	0	0	0	0	0	1.08695652173913	0	0	1.08695652173913	2.17391304347826	66.304347826087	0	0	0	10.8695652173913	6.52173913043478	0	0	0	0	0	0	0	0	0	1.08695652173913	1.08695652173913
26121	45322	"Lago Preola"	37.61667	12.63333	832	"AWI"	832	8945	9966	9372	0	2.56410256410256	0	0	0	2.56410256410256	0	1.28205128205128	0	0	0	0	0	0	0	0	6.41025641025641	0	0	2.56410256410256	0	0	0	0.641025641025641	0	0	0	0	0	0	0	0	0	2.56410256410256	65.3846153846154	0	0	0	0	12.8205128205128	0	0	0	0	0	0	0	0	0.641025641025641	1.28205128205128	1.28205128205128
26121	45322	"Lago Preola"	37.61667	12.63333	844	"AWI"	844	9036	10112	9496	0	0.591715976331361	0	0	0	1.4792899408284	0	0	0	0	0	2.07100591715976	0	0	0	0	1.4792899408284	3.55029585798817	0	1.18343195266272	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18343195266272	84.6153846153846	0	0	0	1.18343195266272	2.66272189349112	0	0	0	0	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	848	"AWI"	848	9065	10162	9536	0	1.44404332129964	0	0	0	0.72202166064982	0	0	0	0	0	0	0	0	0	0	1.80505415162455	7.22021660649819	0	0.72202166064982	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6101083032491	83.0324909747292	0	0	0	0.36101083032491	1.08303249097473	0	0	0	0	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	852	"AWI"	852	9095	10208	9578	0	0.763358778625954	0	0	0	0.763358778625954	0	0	0	0	0	0	0	0	0	0	3.43511450381679	6.10687022900763	0	0.763358778625954	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72519083969466	80.1526717557252	0	0	0	0.763358778625954	1.52671755725191	0	0	0	0	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	856	"AWI"	856	9134	10255	9622	0	2.12765957446809	0	0	0	2.12765957446809	0	0	0	0	0	1.06382978723404	0	0	0	0	2.65957446808511	4.25531914893617	0	1.59574468085106	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72340425531915	74.468085106383	0	0	0	1.06382978723404	2.65957446808511	0	0	0	1.06382978723404	0	1.06382978723404	0	0	0	2.12765957446809	0
26121	45322	"Lago Preola"	37.61667	12.63333	860	"AWI"	860	9156	10310	9662	0	1.70940170940171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854700854700855	2.56410256410256	0	0.854700854700855	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70940170940171	88.034188034188	0	0	0	0.854700854700855	1.70940170940171	0	0	0	0.854700854700855	0	0	0	0	0	0	0.854700854700855
