"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Tilia"	"Ulmus"	"Violaceae"
15939	24559	"Port-La-Croix"	47.33528	-2.87417	39	"AWI"	39	2786	3148	2931	5	29	6	0	0	0	2	0	0	0	3	77	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	42	"AWI"	42	2847	3257	3022	3	25	2	0	0	0	1	1	0	0	7	142	1	0	1	0	0	1	14	0	127	0	11	6	0	2	0	8	0	1	1	1
15939	24559	"Port-La-Croix"	47.33528	-2.87417	45	"AWI"	45	2890	3367	3115	1	15	1	0	0	0	1	0	0	0	3	71	0	0	0	0	0	0	7	0	70	0	0	31	0	1	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	48	"AWI"	48	2988	3426	3209	1	29	1	0	1	0	1	0	0	0	2	91	0	0	1	0	0	1	6	0	30	0	1	25	0	1	0	1	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	51	"AWI"	51	3092	3510	3300	2	87	5	0	1	0	1	0	0	0	8	35	0	1	0	0	0	0	14	1	48	0	1	81	0	1	0	6	1	0	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	54	"AWI"	54	3239	3585	3382	1	48	4	0	0	0	3	0	0	0	6	88	0	0	0	0	0	1	0	0	42	0	6	12	0	2	0	0	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	57	"AWI"	57	3363	3740	3518	1	66	2	0	2	0	2	0	0	0	4	35	0	0	1	0	0	0	14	1	87	0	1	75	0	1	0	2	1	1	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	60	"AWI"	60	3426	4101	3663	5	44	5	0	0	0	1	0	0	0	3	65	0	0	0	0	1	1	12	1	94	0	1	35	0	1	0	0	1	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	63	"AWI"	63	3532	4249	3849	5	61	7	0	1	0	1	0	0	0	9	101	0	0	0	0	1	1	8	1	0	0	0	37	0	2	0	0	2	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	69	"AWI"	69	3776	4591	4214	4	88	5	2	0	0	2	1	0	0	6	28	0	0	0	0	0	1	19	1	102	0	2	36	0	0	0	0	0	2	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	72	"AWI"	72	4010	4718	4381	2	81	1	0	0	13	0	0	0	0	7	3	0	0	1	0	0	2	45	1	0	0	8	20	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	75	"AWI"	75	4174	4865	4558	2	98	2	0	0	28	0	0	0	0	3	10	0	0	0	0	0	1	0	0	119	0	0	27	0	0	0	0	0	2	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	78	"AWI"	78	4325	4997	4693	4	9	3	0	0	0	1	1	0	0	7	24	0	0	0	0	0	1	0	0	0	0	1	23	0	0	0	0	0	2	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	81	"AWI"	81	4431	5192	4817	3	4	2	0	0	0	1	0	0	0	3	54	0	0	0	0	1	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	84	"AWI"	84	4525	5348	4940	6	4	1	0	0	0	2	0	0	0	6	60	0	0	2	0	0	0	0	1	0	0	0	24	0	0	0	1	0	1	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	87	"AWI"	87	4642	5488	5057	3	0	1	0	0	25	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	1	0	0	2	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	90	"AWI"	90	4735	5640	5180	1	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	93	"AWI"	93	4866	5721	5305	1	0	0	0	0	42	0	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	0	0	0	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	96	"AWI"	96	4980	5845	5428	2	2	1	0	0	0	0	2	0	0	5	4	0	0	0	0	0	0	0	0	209	0	1	14	0	1	0	1	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	99	"AWI"	99	5076	5962	5553	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	102	"AWI"	102	5177	6107	5668	1	3	0	0	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	1	0	0	1	7	0	0	0	1	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	105	"AWI"	105	5248	6304	5769	1	8	0	0	0	0	0	0	0	0	3	78	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	110	"AWI"	110	5403	6602	5945	3	31	1	0	0	0	1	0	0	0	4	49	0	0	0	0	0	0	9	1	87	0	1	21	0	0	0	2	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	120	"AWI"	120	5676	7098	6313	2	4	0	0	1	0	1	0	0	0	8	55	1	0	0	0	0	2	0	0	169	0	2	3	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	130	"AWI"	130	5941	7625	6698	0	24	7	0	0	0	5	0	0	0	2	60	1	0	1	0	0	1	15	1	98	0	5	42	0	0	0	1	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	140	"AWI"	140	6224	8112	7060	1	23	1	0	1	0	2	0	1	0	4	76	0	0	0	0	0	2	8	0	90	0	4	32	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	150	"AWI"	150	6510	8564	7437	4	10	1	0	0	0	0	0	0	0	3	78	0	0	0	0	0	1	17	2	76	0	11	17	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	160	"AWI"	160	6796	9024	7820	1	29	4	0	0	0	2	0	0	0	6	92	0	0	0	0	0	0	9	1	0	0	2	14	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	170	"AWI"	170	7110	9477	8192	1	23	0	0	2	0	1	0	0	0	4	74	0	0	0	0	0	3	14	0	0	0	2	8	0	0	0	0	0	0	0	0
