"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3260	4228	"Breidfeld"	50.12278	6.06306	40	"AWI"	40	2516	3093	2833	0	0	93	0	0	0	0	8	0	0	0	0	24	4	1	68	22	1	0	6	0	0	0	0	1	0	2	0	0	20	1	5	0	3	0	0	11	2
3260	4228	"Breidfeld"	50.12278	6.06306	42	"AWI"	42	2569	3139	2881	0	3	56	1	0	1	0	5	0	2	0	0	17	1	0	54	15	0	0	5	0	0	0	0	0	0	3	0	0	24	0	1	0	0	0	0	9	2
3260	4228	"Breidfeld"	50.12278	6.06306	44	"AWI"	44	2606	3206	2931	0	1	89	0	0	0	0	7	0	0	0	0	29	2	0	56	2	2	0	14	0	0	0	0	0	0	1	0	44	35	1	2	0	2	1	0	11	0
3260	4228	"Breidfeld"	50.12278	6.06306	46	"AWI"	46	2652	3278	2980	0	0	71	1	1	0	0	16	0	0	0	0	25	4	0	68	1	2	0	13	0	0	0	0	0	0	2	1	28	39	3	2	0	2	0	0	4	0
3260	4228	"Breidfeld"	50.12278	6.06306	48	"AWI"	48	2690	3348	3027	0	1	83	0	0	0	0	3	0	0	0	0	19	5	0	50	5	0	0	6	0	0	1	0	0	0	0	4	31	54	0	4	0	4	2	0	13	0
3260	4228	"Breidfeld"	50.12278	6.06306	50	"AWI"	50	2719	3450	3072	0	1	89	2	0	0	0	6	0	1	0	0	24	1	0	50	7	5	0	12	0	0	0	0	1	0	6	1	27	50	2	1	0	3	0	0	12	1
3260	4228	"Breidfeld"	50.12278	6.06306	52	"AWI"	52	2767	3506	3120	1	0	142	2	0	1	0	5	0	0	2	2	29	1	0	39	2	2	0	9	0	1	0	1	0	0	1	1	59	95	0	15	0	8	1	0	9	1
3260	4228	"Breidfeld"	50.12278	6.06306	54	"AWI"	54	2804	3595	3166	0	1	81	1	1	0	0	2	0	0	0	0	40	1	0	21	0	0	0	7	1	0	0	0	0	0	4	0	0	71	2	5	0	2	0	0	7	1
3260	4228	"Breidfeld"	50.12278	6.06306	56	"AWI"	56	2844	3676	3214	0	1	93	1	1	0	0	8	0	0	0	1	30	0	0	13	0	3	0	4	0	0	0	0	0	0	4	0	0	72	0	6	0	1	0	0	7	1
3260	4228	"Breidfeld"	50.12278	6.06306	58	"AWI"	58	2881	3739	3264	0	0	74	1	1	0	0	0	0	0	0	0	42	1	0	18	0	0	0	8	0	0	0	0	0	0	3	0	0	70	2	9	0	5	0	0	5	2
3260	4228	"Breidfeld"	50.12278	6.06306	60	"AWI"	60	2911	3812	3309	0	0	107	0	0	0	0	7	0	0	0	0	31	0	0	18	1	0	0	10	0	0	0	0	0	1	1	0	0	60	1	10	0	4	4	0	1	0
3260	4228	"Breidfeld"	50.12278	6.06306	62	"AWI"	62	2952	3866	3356	0	0	69	0	0	0	0	1	0	0	0	0	32	1	0	3	0	0	0	2	0	0	0	0	0	0	2	0	14	52	0	1	0	1	1	0	5	1
3260	4228	"Breidfeld"	50.12278	6.06306	64	"AWI"	64	2987	3927	3405	0	0	101	0	0	0	0	8	0	0	0	1	38	3	0	6	0	2	0	2	0	0	0	0	0	1	1	0	15	30	0	8	0	2	2	0	5	1
