"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	226	"AWI"	226	4102	5160	4720	0	0	0	3	0	5	0	0	167	0	0	1	0	0	0	0	0	14	0	26	0	0	0	0	0	14	0	1	1	25	0	2	0	1	1	0	0	0	0	0	184	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	2	10	0	0	0	4	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	234	"AWI"	234	4436	5312	4961	1	0	0	1	0	1	0	0	136	0	0	1	0	0	0	0	0	28	1	15	0	0	0	0	0	5	1	2	1	10	0	0	0	0	0	0	0	0	0	0	235	1	0	0	0	0	9	0	0	0	0	0	4	0	0	0	1	19	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	238	"AWI"	238	4769	5378	5078	2	0	0	7	0	1	0	0	121	0	0	0	0	0	0	0	0	15	0	24	0	0	0	0	0	7	1	1	1	20	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	21	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	241	"AWI"	241	4919	5439	5177	0	1	0	3	0	3	0	0	116	0	0	0	0	0	0	0	0	23	0	12	0	0	0	0	0	3	1	0	0	10	0	1	0	0	1	0	0	0	0	0	223	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	26	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	246	"AWI"	246	5026	5726	5341	1	0	0	2	0	2	0	0	117	0	0	0	0	0	0	0	0	50	0	18	0	0	0	0	0	0	2	2	0	10	0	0	0	0	1	0	0	0	1	0	242	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	3	29	0	0	0	6	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	254	"AWI"	254	5194	6231	5605	2	1	0	0	0	1	0	0	87	0	0	0	0	0	0	0	0	31	0	13	0	0	0	0	0	0	2	3	1	8	0	1	0	0	0	0	0	0	0	0	229	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1	40	0	0	0	2	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	260	"AWI"	260	5306	6422	5851	0	0	0	0	0	2	0	0	112	0	0	0	0	0	0	0	0	50	0	19	0	0	0	0	0	0	3	4	2	25	0	0	0	0	0	0	0	0	0	0	244	1	0	0	0	0	9	0	0	0	0	0	6	0	0	0	1	36	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	268	"AWI"	268	5409	6859	6158	1	0	0	3	0	2	0	0	131	0	0	0	0	0	0	0	0	42	0	16	0	0	0	1	0	0	1	4	1	6	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	2	39	0	0	0	5	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	276	"AWI"	276	5835	7022	6451	0	0	0	4	0	0	1	0	110	0	0	0	0	0	0	0	0	43	0	13	0	0	0	0	0	0	2	3	2	17	0	0	0	0	0	0	0	0	1	0	207	1	0	0	0	0	10	0	0	0	0	0	4	0	0	0	0	40	0	0	0	4	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	284	"AWI"	284	6105	7176	6778	0	1	0	1	0	3	0	0	116	0	0	2	0	0	0	0	0	39	0	21	0	0	0	0	0	0	1	4	0	4	0	1	0	0	0	0	0	0	0	0	242	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	3	37	0	0	0	5	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	292	"AWI"	292	6517	7330	7016	0	0	0	0	0	2	0	0	95	0	0	0	0	0	0	0	0	47	0	7	0	0	0	0	0	0	7	1	1	12	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	1	36	0	0	0	3	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	300	"AWI"	300	6890	7419	7248	1	0	0	1	0	1	0	0	131	0	0	0	0	0	0	0	0	55	2	2	0	0	0	0	0	0	1	1	1	10	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	1	12	0	0	0	2	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	308	"AWI"	308	7022	7730	7410	0	0	0	8	0	3	0	0	138	0	0	0	0	0	0	0	0	52	0	4	0	0	0	1	0	0	1	3	0	3	0	0	0	1	0	0	0	0	0	0	235	0	0	0	0	0	6	0	0	0	0	0	3	0	1	0	3	3	0	0	0	5	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	316	"AWI"	316	7105	7934	7512	0	0	0	3	0	2	0	0	148	0	0	0	0	0	0	0	0	82	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	3	3	0	0	0	6	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	324	"AWI"	324	7169	8177	7609	1	0	0	4	0	2	0	0	130	0	0	3	0	0	0	0	0	51	0	4	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	12	0	0	0	0	5	2	0	0	0	4	3	0	0	0	6	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	332	"AWI"	332	7262	8307	7728	0	0	0	4	0	1	0	0	131	0	0	1	0	0	0	0	0	56	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	253	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	4	3	0	0	0	4	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	340	"AWI"	340	7322	8497	7839	0	0	0	3	0	1	0	0	115	0	0	0	0	0	0	0	0	58	0	3	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	273	0	0	0	0	0	12	0	0	0	0	0	8	0	0	0	3	0	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	346	"AWI"	346	7401	8587	7924	0	1	0	3	0	1	0	0	45	0	0	0	0	0	0	1	0	27	1	5	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	9	0	0	0	1	0	14	0	1	0	5	3	0	0	0	2	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	356	"AWI"	356	7474	8763	8062	0	1	0	3	0	0	0	0	107	0	0	0	0	0	0	0	0	49	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	232	1	0	0	0	0	6	0	0	0	0	0	6	0	0	0	1	3	0	0	0	2	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	364	"AWI"	364	7572	8899	8173	0	0	0	1	0	2	0	0	114	0	0	0	1	0	0	0	0	74	0	2	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	225	0	0	0	0	0	9	0	0	0	0	0	6	0	0	0	4	4	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	372	"AWI"	372	7644	9031	8280	0	0	0	3	0	1	0	0	120	0	0	0	0	0	0	0	0	51	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	222	0	0	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
