"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16355	25402	"Fontaine Henry"	49.2775	-0.45333	185	"AWI"	185	1307	1708	1527	4.16666666666667	0.694444444444444	0	0	0	0	0.694444444444444	0	0	6.94444444444444	31.25	0	1.38888888888889	0	0	0	0	0	0	0	1.38888888888889	40.2777777777778	0	11.1111111111111	0	1.38888888888889	0	0	0.694444444444444	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	209	"AWI"	209	1421	1853	1648	6.57894736842105	0	0	0	1.31578947368421	0	0	1.31578947368421	1.31578947368421	6.57894736842105	57.8947368421053	2.63157894736842	2.63157894736842	0	0	0	0	0	0	2.63157894736842	1.31578947368421	0	1.31578947368421	11.8421052631579	0	0	0	0	2.63157894736842	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	221	"AWI"	221	1483	1921	1710	8.33333333333333	0	0	0	5.20833333333333	0	0	0	2.08333333333333	11.4583333333333	51.0416666666667	0	0	0	0	0	0	0	0	2.08333333333333	0	0	0	11.4583333333333	0	1.04166666666667	0	0	3.125	1.04166666666667	2.08333333333333	1.04166666666667	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	235	"AWI"	235	1558	1991	1781	12.2641509433962	0.943396226415094	0	0	0.943396226415094	0	0	0	0	9.43396226415094	36.7924528301887	0	0	0	0	0.943396226415094	0	0	0	2.83018867924528	2.83018867924528	0	0	27.3584905660377	0	0	1.88679245283019	0	0.943396226415094	0	1.88679245283019	0.943396226415094	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	245	"AWI"	245	1608	2049	1832	6.97674418604651	0.775193798449612	0	0	0.775193798449612	7.75193798449612	1.55038759689922	0.775193798449612	0.775193798449612	3.10077519379845	27.906976744186	0	1.55038759689922	0	0	0	0	0	0	0.775193798449612	1.55038759689922	36.4341085271318	0	6.2015503875969	0	0.775193798449612	0	1.55038759689922	0	0	0.775193798449612	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	255	"AWI"	255	1651	2107	1883	5.16129032258065	0	0	0	0.645161290322581	7.09677419354839	3.2258064516129	1.29032258064516	1.29032258064516	8.38709677419355	22.5806451612903	0	0	0	0	0	0	0	0	1.29032258064516	0	31.6129032258064	0	16.1290322580645	0	0	0	0	1.29032258064516	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	259	"AWI"	259	1669	2127	1905	7.03125	1.5625	0	0	1.5625	0	0	0	0	7.03125	28.90625	0	0	0	0	0	0	0	0	1.5625	0.78125	32.03125	0	14.84375	0	1.5625	0	0	1.5625	0	0	1.5625	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	275	"AWI"	275	1747	2206	1988	9.375	1.5625	0	0	3.125	0	0	0	0	17.1875	42.1875	0	0	0	0	0	0	0	0	1.5625	0	0	0	25	0	0	0	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	280	"AWI"	280	1767	2235	2015	9.27835051546392	2.06185567010309	0	0	3.09278350515464	0	2.06185567010309	0	0	25.7731958762887	35.0515463917526	0	0	0	0	0	0	0	0	0	5.15463917525773	0	0	15.4639175257732	0	0	0	0	2.06185567010309	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	295	"AWI"	295	1843	2301	2090	10.6194690265487	1.76991150442478	0	0	0	0	0.884955752212389	0	0	23.0088495575221	38.9380530973451	0	0	0	0	0	0	0	0	1.76991150442478	3.53982300884956	0	0	15.0442477876106	0	0.884955752212389	0	0	1.76991150442478	0	1.76991150442478	0	0
