"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
2966	3866	"Aholammi"	61.8947	25.21692	1153	"AWI"	1153	7974	8986	8535	0	155	0	0	1	0	376	0	0	0	0	26	4	0	0	0	0	0	2	0	0	0	0	1	431	0	0	2	1	0	0	0	0	3	1	5	0
2966	3866	"Aholammi"	61.8947	25.21692	1158	"AWI"	1158	8456	9179	8790	0	67	0	1	1	0	426	0	0	0	0	21	0	0	0	0	0	0	4	0	0	0	0	0	366	0	0	7	1	0	0	0	0	1	1	7	0
2966	3866	"Aholammi"	61.8947	25.21692	1160	"AWI"	1160	8617	9268	8900	0	165	0	0	1	0	460	0	0	0	0	18	4	0	0	0	0	0	11	0	0	0	0	0	308	0	0	30	0	0	0	0	0	4	0	8	0
2966	3866	"Aholammi"	61.8947	25.21692	1162	"AWI"	1162	8690	9466	9023	0	110	0	0	2	0	458	0	0	0	0	22	2	0	0	0	0	0	5	0	0	0	0	0	395	1	0	8	0	0	0	0	0	7	0	2	0
2966	3866	"Aholammi"	61.8947	25.21692	1168	"AWI"	1168	8876	10236	9376	0	61	0	0	2	0	267	0	0	0	0	6	6	0	0	0	0	0	3	0	0	0	0	0	415	0	0	7	0	0	0	0	0	2	1	4	0
2966	3866	"Aholammi"	61.8947	25.21692	1178	"AWI"	1178	9260	11260	10016	0	8	1	0	0	0	195	2	0	0	0	10	9	1	0	0	0	0	1	1	0	0	0	0	391	0	0	11	1	0	0	0	0	1	1	2	0
2966	3866	"Aholammi"	61.8947	25.21692	1188	"AWI"	1188	9682	12128	10640	0	5	1	0	1	0	243	1	0	0	0	13	24	0	0	0	0	0	0	1	0	0	0	1	683	0	0	10	1	0	0	0	0	8	0	8	0
2966	3866	"Aholammi"	61.8947	25.21692	1198	"AWI"	1198	10148	12946	11295	0	8	3	0	2	0	301	2	0	0	1	11	27	2	0	0	0	0	0	0	0	0	0	0	447	2	0	6	0	0	0	0	0	11	0	2	1
2966	3866	"Aholammi"	61.8947	25.21692	1208	"AWI"	1208	10630	13783	11937	0	3	1	0	3	0	209	2	0	0	0	4	24	1	0	0	0	0	0	0	0	0	0	0	345	0	0	14	0	0	0	0	0	10	0	1	0
2966	3866	"Aholammi"	61.8947	25.21692	1218	"AWI"	1218	11116	14600	12587	0	10	2	0	6	0	178	1	0	0	0	1	13	2	0	0	0	0	0	0	0	0	0	0	257	2	0	8	0	0	0	0	0	14	0	3	0
2966	3866	"Aholammi"	61.8947	25.21692	1228	"AWI"	1228	11609	15349	13225	0	5	1	0	3	0	296	1	0	0	0	5	18	9	0	0	0	0	4	0	0	0	0	0	175	1	0	20	0	0	0	0	0	12	0	0	0
