"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
3236	4203	"Liivjarve Bog"	59.30546	27.57509	407	"AWI"	407	4878	5545	5239	1	152	1	0	0	0	160	0	39	0	4	2	0	47	98	0	9	4	0	3	8	24	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	417	"AWI"	417	5017	5633	5362	1	121	0	0	2	0	183	0	24	1	9	5	0	85	65	0	13	1	1	2	13	21	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	427	"AWI"	427	5160	5714	5480	0	190	1	0	2	0	146	1	35	0	11	0	0	90	85	0	4	1	0	2	5	16	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	437	"AWI"	437	5323	5787	5589	0	175	1	0	1	0	147	0	36	2	24	0	0	65	80	0	6	3	0	1	10	26	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	447	"AWI"	447	5548	5850	5691	0	129	0	0	0	0	117	0	61	0	7	1	1	73	147	0	2	3	0	1	14	34	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	457	"AWI"	457	5690	5947	5847	0	120	0	0	2	0	150	0	64	0	4	4	0	34	130	0	8	3	0	3	16	53	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	464	"AWI"	464	5773	6194	5963	0	139	3	0	1	0	140	0	50	1	4	3	0	43	129	0	7	3	2	2	24	39	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	476	"AWI"	476	5907	6724	6210	0	130	0	0	1	0	164	0	51	1	2	1	0	50	85	0	9	2	1	3	21	45	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	485	"AWI"	485	6023	7023	6415	1	131	0	0	0	0	188	0	38	1	5	1	0	24	108	0	7	1	1	1	14	26	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	494	"AWI"	494	6153	7291	6625	1	132	0	0	1	0	167	0	38	0	2	0	0	12	145	0	5	0	0	0	20	34	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	507	"AWI"	507	6379	7602	6930	0	124	0	0	1	0	147	0	37	2	2	0	0	17	139	0	4	0	2	1	22	29	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	518	"AWI"	518	6570	7894	7184	0	97	0	1	0	0	200	0	26	0	8	0	0	8	165	0	1	0	0	1	17	28	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	526	"AWI"	526	6707	8081	7366	0	91	0	0	0	0	221	0	12	0	0	0	0	13	146	0	1	1	2	0	8	20	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	534	"AWI"	534	6871	8268	7557	0	127	0	0	0	0	230	0	13	4	1	0	0	8	133	0	0	0	0	0	23	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	543	"AWI"	543	7049	8476	7759	0	78	0	0	1	0	270	0	15	28	0	0	0	7	150	0	1	1	5	0	7	22	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	548	"AWI"	548	7147	8568	7874	0	46	0	1	1	0	374	1	7	38	1	0	0	2	62	0	1	0	3	1	10	18	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	555	"AWI"	555	7319	8695	8040	0	111	0	0	1	0	270	0	31	18	1	0	0	2	110	0	0	0	0	0	7	18	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	564	"AWI"	564	7518	8866	8245	0	115	0	0	1	0	260	0	12	42	0	0	0	3	121	0	0	0	0	0	3	11	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	572	"AWI"	572	7723	9017	8417	0	109	0	0	1	0	244	0	15	13	0	0	0	1	110	0	1	1	1	1	2	17	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	579	"AWI"	579	7900	9135	8581	0	94	0	0	4	0	310	0	12	9	1	0	0	3	133	0	0	0	1	1	0	15	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	587	"AWI"	587	8148	9259	8770	0	49	0	0	3	0	300	0	10	29	0	0	0	0	160	0	0	0	4	4	0	3	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	596	"AWI"	596	8452	9401	8975	0	6	0	0	3	0	300	0	10	20	8	0	0	0	190	0	0	0	2	2	0	9	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	606	"AWI"	606	8752	9671	9248	0	6	1	1	3	0	180	0	3	43	4	0	0	2	300	0	0	2	4	6	1	18	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	615	"AWI"	615	9005	10008	9525	0	0	0	0	0	0	234	0	0	13	6	0	0	1	280	0	0	0	2	2	0	2	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	621	"AWI"	621	9166	10267	9721	0	1	0	0	1	0	402	0	1	8	13	0	0	0	118	0	0	1	2	3	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	631	"AWI"	631	9517	10579	10055	0	1	3	1	0	0	86	0	0	48	0	0	0	0	214	0	0	1	1	4	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	638	"AWI"	638	9871	10752	10281	0	6	0	1	0	0	34	0	2	53	1	0	0	2	160	0	0	0	0	2	0	0	0
3236	4203	"Liivjarve Bog"	59.30546	27.57509	645	"AWI"	645	10280	10955	10618	0	9	0	0	1	0	21	0	0	24	0	0	0	0	73	0	0	0	0	0	0	0	0
