"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15863	24414	"Brameloup"	44.74444	3.08111	645	"AWI"	645	9822	11704	10717	0	0	0	0	0.40650406504065	0	0	0	20.7317073170732	0	0	0	0	0	0	0	0	0	0	0	0	40.650406504065	0	2.03252032520325	0	0	0	0	0	0	0	0	0	0	0	0	0.40650406504065	0	0	0	0.40650406504065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40650406504065	0	23.1707317073171	0	3.65853658536585	0	0	0	0	3.65853658536585	0	0	0	0	0	0	0	4.47154471544715	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	650	"AWI"	650	9902	11764	10810	0	0	0	0	0.421940928270042	0	0	0	32.4894514767932	0	0	0	0	0	0	0	0	0	0	0	0	34.1772151898734	0	1.68776371308017	0	0	0	0	0	0	0	0	0	0	0	0	0.421940928270042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4092827004219	0	2.53164556962025	0	0	0	0	4.64135021097046	0.843881856540084	0	0	0	0	0.421940928270042	0	2.9535864978903	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	655	"AWI"	655	9964	11830	10908	0	0	0	0	0	0	0	0	35.4385964912281	0	0	0	0	0	0	0	0	0	0	0	0	25.2631578947368	0	1.05263157894737	0	0	0	0	0	0	0	0	0	0	0	0	1.75438596491228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.701754385964912	0	26.3157894736842	0	3.85964912280702	0	0	0	0	3.15789473684211	0.701754385964912	0	0	0	0	0	0	1.75438596491228	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	660	"AWI"	660	10027	11930	11009	0	0.36101083032491	0	0.72202166064982	1.08303249097473	0	0.72202166064982	0	31.4079422382672	0	0	0	0	0	0	0	0	0	0	0	0	20.2166064981949	0	0.72202166064982	0	0	0	0	0	0	0	0	0	0	0	0	0.36101083032491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7184115523466	0	0	0	0	18.0505415162455	0	4.69314079422383	0	0	0	0	3.6101083032491	1.80505415162455	0	0	0	0	0	0	2.52707581227437	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	665	"AWI"	665	10067	12054	11099	0	0	0	0	1.09489051094891	0	0.72992700729927	0	36.8613138686131	0	0	0	0	0	0	0	0	0	0	0	0	14.5985401459854	0	1.09489051094891	0	0	0	0	0	0	0	0	0	0	0	0	0.364963503649635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4087591240876	0	0	1.09489051094891	0	14.963503649635	0	7.66423357664234	0	0	0	0.72992700729927	6.56934306569343	1.09489051094891	0	0	0	0	0	0	0.72992700729927	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	667	"AWI"	667	10092	12108	11134	0	0	0	0	1.72413793103448	0	1.29310344827586	0	43.5344827586207	0	0	0	0	0	0	0	0	0	0	0	0	10.7758620689655	0	1.29310344827586	0	0	0	0	0	0	0	0	0	0	0	0	0.431034482758621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29310344827586	0	12.5	0	13.7931034482759	0	0	0	0	10.7758620689655	1.29310344827586	0	0	0	0	0	0	1.29310344827586	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	670	"AWI"	670	10113	12189	11190	0	0	0	0	0	0	0.429184549356223	0	21.8884120171674	0	0	0	0	0	0	0	0	0	0	0	0	51.5021459227468	0	2.57510729613734	0	0	0	0	0	0	0	0.429184549356223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429184549356223	0	16.7381974248927	0	1.28755364806867	0	0	0	0	0.858369098712446	0.429184549356223	0	0	0	0	0	0	3.43347639484979	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	675	"AWI"	675	10232	12275	11283	0	0	0	0.564971751412429	1.12994350282486	0	2.25988700564972	0	36.1581920903955	0	0	0	0	0	0	0	0	0	0	0	0	2.25988700564972	0.564971751412429	2.25988700564972	0	0	0	0	0	0	0	0	0	0	0	0	1.69491525423729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.1638418079096	0	0	0.564971751412429	0	6.21468926553672	0	4.51977401129944	0	0	0	0	11.864406779661	5.64971751412429	0	0	0	0	0.564971751412429	0.564971751412429	0	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	680	"AWI"	680	10368	12306	11377	0	0	0	1.87793427230047	1.40845070422535	0	1.40845070422535	0	43.6619718309859	0	0	0.469483568075117	0	0	0	0	0	0	0	0	0	0.938967136150235	0	2.34741784037559	0	0	0	0	0	0	0	0	0	0	0	0	0.938967136150235	0.469483568075117	0	0	0.469483568075117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938967136150235	0	15.4929577464789	0	5.16431924882629	0	0	0	1.87793427230047	20.18779342723	1.87793427230047	0	0	0	0	0	0	0.469483568075117	0	0	0	0
15863	24414	"Brameloup"	44.74444	3.08111	685	"AWI"	685	10491	12355	11472	0	0	0	0.543478260869565	2.17391304347826	0	2.17391304347826	0	54.3478260869565	0	0	0	0	0	0	0	0	0	0	0	0	0.543478260869565	0	3.80434782608696	0	0	0	0	0	0	0	0	0	0	0	0	0.543478260869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6304347826087	0	4.34782608695652	0	7.60869565217391	0	0	0	0	17.3913043478261	2.71739130434783	0	0	0	0	2.17391304347826	0	0	0	0	0	0
