"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
27171	48072	"Dárko"	49.639158	15.87283	380	"AWI"	380	6046	6655	6379	0.363636363636364	0.848484848484849	6.66666666666667	0	0	0	1.21212121212121	0	0	0	0	0	0	0	0	0.121212121212121	0	0	16.3636363636364	1.93939393939394	0	0	0	0	3.03030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0.606060606060606	49.0909090909091	0	0	0	0	0.121212121212121	0	9.6969696969697	0	0	0	0.121212121212121	0	0	0	0	0	0	0	0	0	9.81818181818182	0
27171	48072	"Dárko"	49.639158	15.87283	390	"AWI"	390	6264	6774	6591	0	0.246609124537608	6.53514180024661	0	0	0	0.493218249075216	0	0	0	0	0	0	0	0	0	0	0	24.2909987669544	6.4118372379778	0	0	0	0	1.72626387176326	0	0	0	0	0	0	0	0	0	0	0	0	0.123304562268804	45.7459926017263	0	0	0	0	0	0	7.27496917385943	0	0	0	0.123304562268804	0	0	0	0	0	0	0	0	0	6.90505548705302	0.123304562268804
27171	48072	"Dárko"	49.639158	15.87283	400	"AWI"	400	6578	6864	6745	0.258064516129032	0.387096774193548	7.61290322580645	0	0	0	0.516129032258065	0	0	0	0	0	0	0.387096774193548	0	0	0	0	25.6774193548387	3.2258064516129	0	0	0	0	1.54838709677419	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5806451612903	0	0	0	0	0	0	11.3548387096774	0	0	0	0	0	0	0	0	0	0	0	0.258064516129032	0	14.0645161290323	0.129032258064516
27171	48072	"Dárko"	49.639158	15.87283	410	"AWI"	410	6673	7034	6823	0.24330900243309	0.121654501216545	5.10948905109489	0	0	0.364963503649635	0.608272506082725	0	0	0	0	0	0	0.24330900243309	0	0	0	0	19.8296836982968	2.18978102189781	0	0	0	0	1.70316301703163	0	0	0	0	0	0	0	0	0	0	0	0	0.121654501216545	54.6228710462287	0	0	0	0	0	0	6.69099756690998	0	0	0	0	0	0.121654501216545	0	0	0	0	0	0	0	8.02919708029197	0
27171	48072	"Dárko"	49.639158	15.87283	420	"AWI"	420	6732	7130	6916	0.141043723554302	0.141043723554302	4.79548660084626	0	0	0.141043723554302	0.705218617771509	0	0	0	0	0	0	0	0	0	0	0	30.1833568406206	4.37235543018336	0	0	0	0	0.987306064880113	0	0	0	0	0	0	0	0	0	0	0	0	0.141043723554302	34.2736248236954	0	0	0	0	0.141043723554302	0	9.02679830747532	0	0	0	0	0.141043723554302	0	0	0	0	0	0	0.141043723554302	0	14.5275035260931	0.141043723554302
27171	48072	"Dárko"	49.639158	15.87283	430	"AWI"	430	6808	7226	7017	0.488997555012225	0.122249388753056	4.40097799511002	0	0	0.122249388753056	0.366748166259169	0	0	0	0	0	0	0.366748166259169	0	0	0	0	17.2371638141809	3.78973105134474	0	0	0	0	1.58924205378973	0	0	0	0	0	0	0	0	0	0	0	0	0	51.2224938875306	0	0	0	0	0	0	7.94621026894866	0	0	0	0	0	0.122249388753056	0	0	0	0	0	0.122249388753056	0	12.1026894865526	0
27171	48072	"Dárko"	49.639158	15.87283	440	"AWI"	440	6896	7327	7119	0	0.259067357512953	4.79274611398964	0	0	0.129533678756477	0.647668393782383	0	0	0	0	0	0	0	0	0	0	0	19.1709844559585	7.12435233160622	0	0	0	0	1.6839378238342	0	0	0	0	0	0	0	0.129533678756477	0	0	0	0	0	44.4300518134715	0	0	0	0	0.129533678756477	0	8.03108808290155	0	0	0	0	0	0.129533678756477	0	0.259067357512953	0	0	0	0	0	12.9533678756477	0.129533678756477
27171	48072	"Dárko"	49.639158	15.87283	450	"AWI"	450	7013	7403	7220	0	0	9.15208613728129	0	0	0.269179004037685	0.134589502018843	0	0	0	0	0	0	0	0	0	0	0	39.7039030955585	3.76850605652759	0	0	0	0	1.61507402422611	0	0	0.134589502018843	0	0	0	0	0	0	0	0	0	0	23.0148048452221	0	0	0	0	0	0	11.3055181695828	0	0	0	0	0	0.134589502018843	0	0.134589502018843	0	0	0	0.269179004037685	0	10.228802153432	0.134589502018843
27171	48072	"Dárko"	49.639158	15.87283	460	"AWI"	460	7136	7483	7312	0	0	7.71312584573748	0	0	0.13531799729364	0.54127198917456	0	0	0	0	0.13531799729364	0	0.13531799729364	0	0	0	0	27.7401894451962	7.30717185385656	0	0	0	0	2.7063599458728	0	0	0	0	0	0	0	0	0	0	0	0	0	29.4993234100135	0	0	0	0	0	0	8.7956698240866	0	0	0	0	0	0.40595399188092	0	0	0	0	0	0	0	14.8849797023004	0
27171	48072	"Dárko"	49.639158	15.87283	470	"AWI"	470	7293	7555	7393	0	0	8.74403815580286	0	0	0.317965023847377	0.794912559618442	0	0	0	0	0	0	0	0	0	0	0	24.0063593004769	12.241653418124	0	0	0	0	1.58982511923688	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1192368839428	0	0	0	0	0	0	12.241653418124	0	0	0	0	0.158982511923688	0	0	0.317965023847377	0	0	0	0.158982511923688	0	14.1494435612083	0.158982511923688
