"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3478	4497	"Mire Johvika"	58.4848	22.38803	70	"AWI"	70	1221	2435	1705	0	0	13.953488372093	0	0.145348837209302	0.581395348837209	0	38.8081395348837	0	0	0	0	0	3.34302325581395	1.59883720930233	0	0	0	0	0.145348837209302	0.581395348837209	0	0	0	4.65116279069767	32.703488372093	0	0	0	0	0	1.01744186046512	0	0	0.436046511627907	0	0	0	0.145348837209302	0	0	0.436046511627907	1.45348837209302	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	75	"AWI"	75	1675	2709	2297	0	0.0722021660649819	12.3465703971119	0.144404332129964	0	0.505415162454874	0	50.9025270758123	0	0	0	0	0	3.24909747292419	0.505415162454874	0	0	0	0	0.505415162454874	0.144404332129964	0	0.36101083032491	0	7.87003610108303	16.6064981949458	0	0	0.144404332129964	0	0	4.11552346570397	0	0	0	0	0	0.216606498194946	0.577617328519856	0	0.0722021660649819	1.29963898916968	0.36101083032491	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	80	"AWI"	80	2391	3269	2788	0	0	13.8632162661738	0	0	0.369685767097967	0	64.6950092421442	0	0	0	0	0	3.69685767097967	0.739371534195933	0	0	0	0	0.184842883548983	0	0	0.55452865064695	0	1.84842883548983	9.42698706099815	0	0	0	0	0.184842883548983	1.29390018484288	0.184842883548983	0	0	0	0	0	0.369685767097967	0	0	1.29390018484288	1.29390018484288	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	85	"AWI"	85	2664	3897	3191	0	0	30.779054916986	0	0	0	0	38.8250319284802	0	0	0	0	0	7.0242656449553	0.127713920817369	0	0	0	0	0.766283524904214	0	0	0.510855683269476	0	3.7037037037037	11.749680715198	0	0	0.255427841634738	0	0	1.27713920817369	0	0	0	0	0.127713920817369	0	0.127713920817369	0.766283524904214	0	2.04342273307791	1.91570881226054	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	90	"AWI"	90	2936	4312	3611	0	0	14.0540540540541	0	0	0	0	49.7297297297297	0	0	0	0	0	7.92792792792793	0.540540540540541	0	0	0	0	1.26126126126126	0.720720720720721	0	0.540540540540541	0	1.26126126126126	15.1351351351351	0	0	0	0	0	3.24324324324324	0	0	0	0	0	0	0.18018018018018	0.18018018018018	0	2.16216216216216	2.88288288288288	0.18018018018018	0
3478	4497	"Mire Johvika"	58.4848	22.38803	95	"AWI"	95	3288	4665	4011	0	0.126262626262626	15.0252525252525	0	0.126262626262626	0.252525252525253	0	27.1464646464646	0	0	0	0	0	7.82828282828283	0.126262626262626	0	0	0.126262626262626	0	0.378787878787879	4.04040404040404	0	0	0	1.13636363636364	33.7121212121212	0	0	0	0	0	2.3989898989899	0	0.378787878787879	0	0	0	0	0.126262626262626	0	0	3.91414141414141	3.15656565656566	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	100	"AWI"	100	3780	4957	4419	0	0.376647834274953	13.3709981167608	0	0.0941619585687382	0.188323917137476	0	30.3201506591337	0.188323917137476	0.0941619585687382	0	0	0	5.55555555555556	0.282485875706215	0	0	0	0	0.470809792843691	7.06214689265537	0	0.470809792843691	0.0941619585687382	1.03578154425612	31.2617702448211	0	0	0	0.0941619585687382	0	1.41242937853107	0	0.753295668549906	0	0	0.0941619585687382	0.0941619585687382	0.188323917137476	0	0.0941619585687382	3.48399246704331	2.44821092278719	0.376647834274953	0.0941619585687382
3478	4497	"Mire Johvika"	58.4848	22.38803	110	"AWI"	110	4527	5573	5095	0	0	17.84140969163	0	0	0	0	43.1718061674009	0	0	0	0	0	0.66079295154185	1.3215859030837	0	0	0	0	0.66079295154185	0	0	0	0	0	27.9735682819383	0	0	0	0	0	0.66079295154185	0	0	0	0	0	0	0	0	0	3.74449339207048	3.74449339207048	0.220264317180617	0
3478	4497	"Mire Johvika"	58.4848	22.38803	120	"AWI"	120	5420	5961	5712	0.220264317180617	0	17.4008810572687	0	0	0	0	35.6828193832599	0	0	0	0	0	1.10132158590308	1.3215859030837	0	0	0	0	0.66079295154185	0	0	0	0	0.440528634361234	37.6651982378855	0	0	0	0	0	0.440528634361234	0	0.220264317180617	0	0	0	0	0.440528634361234	0	0	1.76211453744493	2.6431718061674	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	130	"AWI"	130	5824	6979	6255	0	0	20.5128205128205	0	0	0	0	42.0940170940171	0.213675213675214	0	0.213675213675214	0	0	1.92307692307692	4.27350427350427	0	0	0	0	0.213675213675214	0.213675213675214	0	0	0	0.213675213675214	23.9316239316239	0	0	0	0	0	1.06837606837607	0	0	0	0	0	0.213675213675214	0.427350427350427	0	0	1.06837606837607	3.2051282051282	0.213675213675214	0
3478	4497	"Mire Johvika"	58.4848	22.38803	140	"AWI"	140	6182	7685	6845	0	0	6.95187165775401	0	0	0.35650623885918	0	39.572192513369	0	0	0	0	0	1.06951871657754	6.41711229946524	0	0	0	0	0.71301247771836	0	0	0.17825311942959	0.17825311942959	0.53475935828877	38.1461675579323	0.17825311942959	0	0.17825311942959	0.35650623885918	0	0.89126559714795	0	0	0	0	0	0	0.71301247771836	0	0	0	3.38680926916221	0.17825311942959	0
3478	4497	"Mire Johvika"	58.4848	22.38803	150	"AWI"	150	6643	8310	7434	0	0	1.53550863723608	0.191938579654511	0	0.383877159309021	0	35.3166986564299	0.191938579654511	0	0	0	0	1.34357005758157	0.959692898272553	0	0	0	0.191938579654511	0.191938579654511	0.191938579654511	0	0	0	0.383877159309021	54.89443378119	0	0	0	0.191938579654511	0	0.575815738963532	0	0	0	0	0	0	0.383877159309021	0	0	0	2.87907869481766	0.191938579654511	0
3478	4497	"Mire Johvika"	58.4848	22.38803	160	"AWI"	160	7179	8836	8005	0	0	0.210084033613445	0	0	0.210084033613445	0	42.0168067226891	0	0	0	0	0	0.840336134453782	0.420168067226891	0	0	0	0	0	0	0	0	0	0.420168067226891	53.1512605042017	0	0	0	0	0	0	0	0	0	0	0	0	0.630252100840336	0	0	0	2.10084033613445	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	180	"AWI"	180	8564	9824	9160	0	0	1.24069478908189	0	0.248138957816377	0	0	37.2208436724566	0.248138957816377	0	0	0	0	0.496277915632754	5.4590570719603	0	0	0	0.248138957816377	0	0	0	0	0.248138957816377	0.248138957816377	53.3498759305211	0	0	0	0	0	0.248138957816377	0	0	0	0	0	0	0.248138957816377	0	0	0.248138957816377	0.248138957816377	0	0
3478	4497	"Mire Johvika"	58.4848	22.38803	190	"AWI"	190	9046	10866	9792	0	0	0.77720207253886	0	0	0.518134715025907	0	16.0621761658031	0	0	0	0	0	0	51.8134715025907	0	0	0	0	0.518134715025907	0	0	0	0	0	29.7927461139896	0	0	0	0.259067357512953	0	0	0	0	0	0	0	0	0	0	0	0	0.259067357512953	0	0
