"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
16141	24944	"Lac de Malpas"	46.83389	6.29389	156	"AWI"	156	645	916	792	36	0	11	1	0	2	0	2	0	24	2	0	0	24	0	0	1	0	0	0	26	5	9	0	85	0	0	1	0	1	1	2	1	1	1	5	0	15	13	18	55	0	0	0	42	1	0	0	7	3	0	0	0	0	0	0	0	8	0	4	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	160	"AWI"	160	717	946	841	64	0	6	0	0	3	0	2	0	17	1	0	0	4	0	0	0	0	0	0	31	4	0	0	109	0	0	0	0	1	3	1	0	0	0	4	0	43	2	0	0	0	1	1	14	0	0	1	4	4	0	0	0	0	0	0	1	5	0	3	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	164	"AWI"	164	757	1038	893	167	0	10	3	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	35	18	0	0	16	1	1	0	0	0	1	0	0	0	0	2	0	39	13	0	0	0	0	0	16	0	0	1	1	3	0	0	1	1	0	0	0	1	1	0	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	168	"AWI"	168	797	1106	945	142	0	21	0	0	1	0	1	0	5	1	0	0	1	0	0	0	0	0	0	40	6	0	0	32	0	0	0	0	0	3	0	0	0	0	2	0	45	17	0	0	0	0	0	14	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1
16141	24944	"Lac de Malpas"	46.83389	6.29389	172	"AWI"	172	838	1175	996	144	1	29	0	0	4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	39	7	0	0	29	0	1	0	0	0	1	0	0	0	0	4	0	33	10	0	0	0	0	0	22	0	0	0	1	0	0	0	0	0	1	0	1	4	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	176	"AWI"	176	877	1248	1050	95	1	20	1	0	1	0	1	0	18	0	0	0	0	0	0	0	0	0	0	36	14	0	0	28	0	0	0	0	0	0	0	0	0	0	4	0	55	14	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	180	"AWI"	180	920	1312	1103	128	0	25	0	0	3	0	3	0	15	0	1	0	0	0	0	0	0	1	0	36	12	3	0	35	0	4	0	0	0	2	0	0	0	0	7	0	31	15	0	0	0	0	0	16	0	0	5	0	2	0	0	0	0	0	0	0	3	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	184	"AWI"	184	970	1363	1157	176	0	7	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	43	0	0	34	0	4	0	0	0	0	0	0	0	0	0	0	98	16	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	188	"AWI"	188	1023	1412	1213	137	0	24	1	0	3	1	0	0	11	0	0	0	0	0	0	0	0	1	0	31	12	0	0	50	0	4	0	0	0	0	0	0	0	0	5	0	48	12	0	0	0	0	0	16	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	192	"AWI"	192	1078	1461	1266	95	0	21	1	0	3	0	0	0	18	1	0	0	0	0	0	0	0	0	0	33	29	0	0	71	0	7	0	0	0	2	0	0	0	0	5	0	29	12	0	0	0	0	0	40	1	0	1	1	2	0	0	0	0	0	0	4	10	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	196	"AWI"	196	1128	1510	1320	103	1	19	0	1	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	41	12	0	0	95	0	5	0	0	0	0	0	0	0	0	7	0	48	7	0	0	0	0	0	32	1	0	1	2	1	0	0	0	0	0	0	5	11	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	200	"AWI"	200	1175	1557	1373	106	0	7	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	21	0	0	85	0	2	0	0	0	2	0	0	1	0	10	0	69	10	0	0	0	0	0	27	1	0	1	3	3	0	0	0	0	0	0	1	3	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	204	"AWI"	204	1238	1602	1428	108	1	16	0	0	4	0	1	0	12	1	0	0	0	0	1	0	0	0	0	30	27	3	0	89	0	3	0	0	0	1	0	0	0	0	6	0	73	11	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	208	"AWI"	208	1310	1641	1482	107	2	12	0	0	3	0	1	0	11	1	1	0	0	0	0	0	0	0	0	36	23	0	0	96	0	3	0	0	0	0	0	0	0	0	3	0	57	16	0	0	0	0	0	28	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	212	"AWI"	212	1378	1678	1533	111	0	26	0	0	2	0	0	0	7	1	1	0	0	0	0	0	0	0	0	22	23	3	0	78	0	0	0	0	0	2	1	0	0	0	2	0	60	8	0	0	0	0	0	16	1	0	0	0	2	0	0	0	1	0	0	0	5	0	1	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	216	"AWI"	216	1432	1728	1586	106	0	18	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	27	0	0	100	0	5	0	0	1	0	0	0	0	0	6	0	38	19	0	0	0	0	0	28	1	0	0	0	4	0	0	0	0	0	0	4	13	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	220	"AWI"	220	1458	1847	1634	108	0	13	0	0	6	0	5	0	14	0	0	0	0	0	0	0	0	0	0	36	13	0	0	85	0	5	0	0	0	2	0	0	1	0	3	0	56	12	0	0	0	0	0	34	1	0	0	1	3	0	0	0	0	0	0	3	5	0	2	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	224	"AWI"	224	1499	1923	1689	119	0	16	0	0	8	0	0	0	12	2	0	0	0	0	0	0	0	0	0	37	43	5	0	119	0	3	0	0	0	0	0	2	0	0	4	0	55	13	0	0	0	0	0	24	0	0	0	0	3	0	0	0	0	0	0	3	5	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	228	"AWI"	228	1536	2001	1743	101	1	7	0	0	5	0	1	0	16	1	1	0	0	0	0	0	0	0	0	34	31	3	0	101	0	2	0	0	0	1	0	0	0	0	12	0	48	6	0	0	1	0	0	28	1	0	0	0	2	0	0	0	1	0	0	2	3	0	1	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	232	"AWI"	232	1577	2073	1795	118	2	15	0	0	1	0	0	0	24	0	0	0	0	0	0	0	1	0	0	40	17	0	0	174	0	4	0	0	0	0	0	1	1	0	4	0	58	14	0	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	0	3	9	0	2	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	236	"AWI"	236	1615	2150	1850	110	1	17	0	0	2	0	0	0	7	1	0	0	0	0	0	0	0	0	0	39	13	0	0	101	1	1	0	0	0	0	0	0	0	0	6	0	46	14	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	0	1	7	1	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	240	"AWI"	240	1653	2229	1904	116	2	13	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	13	0	0	106	0	3	0	0	0	0	0	0	0	0	6	0	59	13	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	244	"AWI"	244	1695	2300	1958	112	0	24	0	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	36	14	5	0	115	0	6	0	0	0	0	0	0	0	0	3	0	56	12	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	7	5	0	1	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	248	"AWI"	248	1737	2374	2013	90	0	13	0	0	1	0	1	0	27	0	0	0	0	0	0	0	0	0	0	44	22	0	0	101	0	4	0	1	0	0	1	0	0	0	3	0	58	13	0	0	0	0	0	32	2	0	1	2	0	0	0	0	0	0	0	2	6	0	0	0
16141	24944	"Lac de Malpas"	46.83389	6.29389	250	"AWI"	250	1755	2420	2040	80	0	32	0	0	4	0	2	0	25	0	0	0	0	0	0	0	0	0	0	48	10	0	0	126	0	11	0	0	0	1	0	0	0	0	6	0	48	10	0	0	0	0	0	60	1	0	0	1	0	0	0	0	0	0	0	8	11	0	1	0
