"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Erythrina"	"Euonymus"	"Fabaceae"	"Fagus"	"Ficus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrtus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Tamarix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	391	"AWI"	391	5695	5964	5860	35	1	95	0	0	0	0	0	0	3	0	0	0	0	0	21	0	0	0	0	0	0	3	0	0	0	1	87	0	3	0	0	0	1	0	1	0	0	2	0	50	2	0	0	0	0	119	53	0	0	0	0	0	3	0	1	0	0	0	0	6	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	392	"AWI"	392	5703	5988	5876	38	1	81	0	0	0	0	3	0	3	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	54	0	1	0	0	1	2	0	0	0	2	4	0	60	0	0	0	0	0	122	78	0	0	0	12	0	9	0	1	0	0	0	0	2	0	1	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	393	"AWI"	393	5724	5991	5886	32	0	94	0	0	0	1	2	0	3	0	0	0	0	0	37	477	0	0	0	0	0	11	0	0	0	0	75	0	2	0	1	2	0	0	1	0	4	4	1	31	1	3	0	0	0	98	67	0	0	0	0	0	7	0	0	0	0	0	1	4	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	394	"AWI"	394	5748	5997	5896	28	0	71	6	0	0	0	2	0	5	0	0	0	0	0	33	305	0	0	0	0	0	4	0	0	0	2	71	0	1	0	0	1	1	0	0	0	4	5	0	41	0	4	0	38	0	123	99	0	0	0	1	0	2	0	3	0	0	0	0	6	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	395	"AWI"	395	5767	6006	5907	26	0	99	12	0	0	0	2	0	5	0	0	0	0	0	41	299	0	0	0	1	0	2	0	0	9	1	81	0	1	0	0	0	6	0	1	0	6	2	0	31	0	0	0	0	0	107	80	0	0	0	2	0	3	0	2	0	1	1	0	9	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	396	"AWI"	396	5779	6016	5917	31	0	52	8	0	0	1	2	0	5	0	0	0	0	0	27	0	0	0	0	0	0	2	0	0	3	2	78	0	0	0	0	3	0	0	1	0	12	2	0	40	0	0	0	0	0	133	97	0	0	0	0	0	3	0	0	0	0	0	2	7	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	397	"AWI"	397	5789	6027	5928	38	0	47	3	0	0	0	1	0	5	1	0	0	0	0	42	0	0	24	0	0	0	6	0	0	0	0	61	0	0	0	1	1	0	0	0	0	4	3	0	58	1	0	0	0	0	97	67	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	398	"AWI"	398	5803	6037	5940	28	0	60	3	0	0	0	2	0	5	0	0	0	0	0	40	0	0	21	0	0	0	7	0	0	4	0	54	0	0	0	1	0	0	0	0	0	0	3	0	42	1	0	0	0	0	110	75	0	0	0	1	0	1	0	1	0	0	0	0	4	1	0	0
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	399	"AWI"	399	5814	6048	5952	37	0	74	0	0	0	0	4	0	4	1	0	1	0	0	44	0	0	37	0	0	0	4	0	0	3	0	68	0	1	2	0	0	0	0	0	0	0	4	0	38	0	0	0	0	0	93	50	0	0	0	1	0	0	0	1	0	1	0	3	3	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	400	"AWI"	400	5827	6062	5964	30	0	50	4	0	0	0	3	0	10	0	0	0	0	0	56	0	0	33	0	0	0	9	0	0	0	0	63	0	3	0	1	0	0	0	1	0	0	7	1	36	0	0	0	0	0	94	52	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	401	"AWI"	401	5842	6071	5976	21	0	68	12	0	0	0	4	0	4	0	0	0	0	0	62	0	0	0	0	0	1	3	0	0	0	0	59	0	1	0	0	1	0	0	0	0	2	10	0	30	0	0	0	0	0	121	65	0	0	0	0	0	3	0	0	0	0	0	0	5	1	0	0
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	402	"AWI"	402	5851	6094	5988	30	0	42	0	0	0	0	0	0	2	0	0	0	0	0	43	0	0	0	0	0	0	9	0	0	0	0	95	0	1	0	0	0	0	0	0	0	9	1	0	37	1	0	0	0	0	134	71	0	0	0	1	0	3	0	0	0	1	0	0	5	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	403	"AWI"	403	5865	6097	5996	59	0	76	25	0	0	0	1	0	4	0	0	0	0	0	39	0	0	37	0	0	0	9	0	1	9	0	78	0	0	0	0	0	0	0	0	0	4	2	0	43	1	0	0	0	0	112	48	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	404	"AWI"	404	5881	6104	6003	30	1	101	46	0	0	0	1	0	0	0	0	0	0	0	57	0	0	16	0	1	0	5	0	0	0	0	70	0	4	0	0	0	0	0	3	0	3	2	0	57	1	0	1	0	0	77	57	0	0	0	0	0	5	0	0	0	0	0	2	5	0	0	7
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	405	"AWI"	405	5898	6108	6011	42	0	90	41	0	0	0	6	0	3	1	0	0	0	0	55	0	0	25	0	0	0	6	0	0	0	0	54	0	2	0	0	0	0	0	0	0	3	1	0	43	0	0	0	0	0	99	65	0	0	0	0	0	4	0	0	0	0	0	1	5	0	0	6
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	406	"AWI"	406	5907	6113	6019	26	0	84	10	0	0	0	2	0	6	0	0	0	0	0	59	0	0	20	0	0	0	7	0	0	7	0	53	1	0	0	0	0	0	0	0	0	2	6	0	29	0	0	0	0	0	109	79	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	407	"AWI"	407	5918	6120	6027	36	0	61	10	0	0	0	3	0	3	0	0	0	0	0	71	0	0	0	0	0	0	10	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	4	0	45	0	0	0	0	0	143	78	0	0	0	2	3	7	0	0	0	0	0	1	4	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	408	"AWI"	408	5927	6129	6035	62	2	64	0	0	0	0	4	0	4	0	0	0	0	0	65	0	0	0	0	0	0	4	0	0	0	0	42	0	2	0	1	0	0	0	1	0	3	2	0	42	2	0	0	0	0	112	99	0	0	0	1	0	2	0	0	0	0	0	1	5	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	409	"AWI"	409	5935	6140	6043	55	0	69	0	0	0	2	4	0	5	0	0	0	0	0	57	0	0	17	0	0	0	9	0	1	10	0	54	0	1	0	1	0	0	0	1	0	7	6	0	49	1	0	0	0	0	115	90	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	410	"AWI"	410	5942	6150	6050	65	0	65	9	0	1	0	0	0	2	0	0	0	0	0	55	0	0	22	0	0	0	7	0	0	10	0	45	0	1	0	1	3	0	0	0	0	0	5	0	43	0	0	0	0	0	82	110	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	411	"AWI"	411	5948	6162	6057	54	0	52	0	0	0	0	2	0	4	0	0	0	0	0	60	0	0	17	0	0	0	10	0	0	5	0	48	0	2	0	1	0	0	0	0	1	0	4	0	61	0	2	0	0	0	96	105	0	0	0	1	0	1	0	0	0	0	0	4	4	0	1	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	412	"AWI"	412	5954	6173	6063	123	0	50	3	0	0	0	2	0	6	0	0	0	0	0	30	0	0	19	0	0	0	5	0	0	0	0	88	0	2	0	5	0	0	0	0	0	0	2	0	63	0	0	0	0	0	60	90	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	413	"AWI"	413	5967	6177	6072	132	1	26	2	0	0	0	1	0	2	0	0	0	0	3	30	0	0	9	0	0	0	5	0	0	0	0	93	0	0	0	6	0	0	0	0	0	0	6	0	46	0	0	0	0	0	99	77	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	414	"AWI"	414	5980	6180	6080	151	0	18	0	0	0	0	0	0	2	0	0	0	0	0	22	0	0	21	0	0	0	8	0	0	0	0	91	0	1	0	3	0	0	0	0	0	2	2	1	60	2	0	0	0	0	55	86	0	0	0	3	0	0	0	2	0	0	0	2	6	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	415	"AWI"	415	5990	6182	6089	89	0	34	0	0	0	1	4	0	1	0	0	0	0	0	20	0	0	21	0	0	0	4	0	1	0	1	108	0	4	0	5	0	0	0	1	0	0	2	0	72	0	0	0	0	0	64	82	0	0	0	3	0	3	0	0	0	0	0	3	4	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	416	"AWI"	416	5998	6186	6099	104	0	40	0	0	0	2	1	0	2	0	0	0	0	0	16	0	0	9	0	0	0	7	0	0	0	0	94	0	2	0	0	0	0	0	2	0	0	1	0	87	1	2	0	0	0	64	70	0	1	0	2	0	2	0	1	0	0	0	2	2	0	1	3
