"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
15946	24574	"La Grande Brousse"	47.48667	0.67417	165	"AWI"	165	1358	1667	1500	0	14	3	8	0	0	0	2	0	5	0	0	19	0	2	1	0	4	125	0	0	2	1	0	1	1	1	0	0	1	0	0	10	0	0	0	9	0	1	0	0	0	2	0	2	1	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	170	"AWI"	170	1399	1700	1532	0	28	1	8	1	5	0	0	0	3	0	0	42	0	2	0	0	8	62	0	0	0	5	0	0	1	5	1	0	1	1	0	20	0	0	0	16	0	7	1	0	0	0	1	1	1	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	175	"AWI"	175	1420	1753	1557	0	34	4	18	0	2	0	2	0	2	1	0	17	0	1	0	0	11	96	0	0	1	10	0	0	0	4	0	3	0	1	0	20	0	0	0	9	1	4	0	0	0	1	0	3	0	0	1	1	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	185	"AWI"	185	1469	1874	1609	0	20	1	15	1	2	0	0	0	1	0	1	34	1	1	0	0	9	67	0	0	0	3	0	0	0	9	0	0	0	1	0	24	0	0	0	13	0	5	0	0	0	0	0	2	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	190	"AWI"	190	1494	1938	1634	0	23	2	12	0	3	0	0	0	3	0	0	34	0	1	0	0	6	56	0	1	2	2	0	0	0	5	1	0	0	2	0	14	0	0	0	24	0	0	0	0	13	3	0	0	2	0	1	2	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	195	"AWI"	195	1511	2022	1659	0	9	3	13	0	2	15	1	0	8	0	0	19	0	0	0	0	7	54	0	0	2	1	0	0	0	1	0	0	0	0	0	27	0	0	1	15	1	5	0	0	6	2	0	1	1	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	205	"AWI"	205	1645	2611	1903	0	2	0	6	0	0	0	0	0	1	0	0	4	0	0	0	0	1	8	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1	0	1
15946	24574	"La Grande Brousse"	47.48667	0.67417	215	"AWI"	215	1904	3639	2563	0	11	0	20	0	1	0	0	0	0	0	0	8	0	0	0	0	8	59	0	1	1	3	0	0	1	2	0	1	0	0	0	12	0	0	0	18	0	1	0	0	0	0	0	2	0	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	290	"AWI"	290	8066	9781	8759	0	6	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	49	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	4	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	295	"AWI"	295	8168	9931	8972	0	1	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	100	142	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	6	1
15946	24574	"La Grande Brousse"	47.48667	0.67417	300	"AWI"	300	8251	10202	9168	0	10	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	57	91	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	2	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	335	"AWI"	335	9829	11024	10545	0	3	1	6	0	1	0	1	0	1	0	0	0	0	0	0	0	8	65	0	0	0	0	0	0	0	1	0	0	0	0	170	0	0	0	0	2	0	10	0	0	0	2	0	2	0	0	1	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	345	"AWI"	345	10582	11170	10880	0	1	1	9	0	3	0	2	0	0	0	0	0	0	0	0	0	2	67	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	355	"AWI"	355	10791	11482	11110	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	3	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	365	"AWI"	365	10914	11822	11301	0	0	1	0	0	16	0	3	0	0	0	0	0	0	1	0	0	0	30	0	0	2	0	1	0	0	8	0	0	0	0	287	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	375	"AWI"	375	11003	12089	11491	0	0	0	3	0	1	0	3	0	0	0	0	0	0	1	0	0	0	104	0	0	0	0	0	0	0	6	0	0	0	0	181	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	385	"AWI"	385	11166	12235	11689	0	0	0	5	0	4	0	4	0	0	0	0	0	0	0	0	0	1	55	0	0	1	0	0	0	0	2	0	0	0	0	147	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	390	"AWI"	390	11220	12375	11784	0	1	0	5	0	21	0	9	0	2	0	0	0	0	0	0	1	0	113	0	0	0	0	0	0	0	4	0	0	0	0	143	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	395	"AWI"	395	11328	12430	11877	0	0	0	9	0	30	0	10	0	0	0	0	0	0	0	0	0	0	101	0	0	1	0	0	0	0	6	0	0	0	0	155	0	0	0	0	0	0	5	0	0	0	5	0	1	1	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	405	"AWI"	405	11452	12612	12078	0	1	0	8	0	37	0	13	0	0	0	0	0	0	0	0	0	2	88	0	0	0	0	0	0	0	6	0	0	0	0	101	0	0	0	0	0	0	4	0	0	0	4	0	3	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	410	"AWI"	410	11612	12660	12171	0	3	0	6	0	86	0	15	0	0	0	0	1	0	2	0	0	0	62	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	430	"AWI"	430	12059	12985	12530	0	0	1	1	0	44	0	1	0	0	0	0	0	2	0	0	0	0	104	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	2	0	1	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	440	"AWI"	440	12304	13268	12787	0	1	0	7	0	53	0	9	0	1	0	1	0	0	2	0	1	0	141	0	0	0	0	0	0	0	13	0	0	0	0	49	0	0	0	0	1	0	5	0	0	0	2	0	8	0	0	0	0	0
15946	24574	"La Grande Brousse"	47.48667	0.67417	450	"AWI"	450	12490	14156	13082	0	5	6	7	0	44	0	1	0	0	0	0	1	0	1	0	0	4	92	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	2	0	10	0	0	0	0	0	0	0	0	2	0	0
