"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
15778	24250	"Kožlí"	49.37639	14.02583	70	"AWI"	70	2592	6691	4418	2.18340611353712	0.109170305676856	18.5589519650655	0	0.436681222707424	0.764192139737991	0.109170305676856	0	4.36681222707424	0	0	0	0	0	2.83842794759825	0	3.82096069868996	0	0.218340611353712	0	0	0	0	0	0	0	39.8471615720524	16.703056768559	0	0	0	0	4.58515283842795	0	0	0.109170305676856	0	0	0	4.6943231441048	0.655021834061135
15778	24250	"Kožlí"	49.37639	14.02583	75	"AWI"	75	3076	7005	4966	1.37795275590551	0	2.75590551181102	0	0	0.196850393700787	0	0	2.55905511811024	0	0	0	0	0	4.13385826771654	0	4.52755905511811	0	0.196850393700787	0	0	0	0	0	0	0	33.2677165354331	36.2204724409449	0	0	0	0	2.95275590551181	0	0	0	0	0	0	10.2362204724409	1.5748031496063
15778	24250	"Kožlí"	49.37639	14.02583	80	"AWI"	80	3385	7577	5486	0.23094688221709	0.23094688221709	2.07852193995381	0	0	0	0	0	2.54041570438799	0	0	0	0	0	5.77367205542725	0	0.69284064665127	0	0	0	0	0	0	0	0	0	39.4919168591224	44.8036951501155	0.23094688221709	0	0	0	0.92378752886836	0	0	0	0	0.23094688221709	0	2.54041570438799	0.23094688221709
15778	24250	"Kožlí"	49.37639	14.02583	85	"AWI"	85	4007	7864	6037	0.151745068285281	0	1.66919575113809	0	0	0	0	0	4.55235204855842	0	0	0	0	0	5.91805766312595	0	0.303490136570561	0	0	0	0	0	0	0	0	0	15.4779969650986	70.1062215477997	0	0	0	0	0.455235204855842	0	0	0	0	0.303490136570561	0	1.06221547799697	0
15778	24250	"Kožlí"	49.37639	14.02583	90	"AWI"	90	4380	8321	6574	0	0	0.852272727272727	0	0	0.142045454545455	0	0	2.55681818181818	0	0	0	0	0	5.25568181818182	0	0.568181818181818	0	0	0	0	0	0	0	0	0	7.24431818181818	82.1022727272727	0	0	0	0	0	0	0	0.142045454545455	0	0.284090909090909	0	0.710227272727273	0.142045454545455
15778	24250	"Kožlí"	49.37639	14.02583	95	"AWI"	95	5166	8565	7108	0	0	1.01596516690856	0	0	0.725689404934688	0	0	3.77358490566038	0	0	0	0	0	1.59651669085631	0	0.290275761973875	0	0	0	0	0	0	0	0	0	2.75761973875181	88.8243831640058	0	0	0	0	0	0	0	0.145137880986938	0	0.725689404934688	0	0.145137880986938	0
15778	24250	"Kožlí"	49.37639	14.02583	100	"AWI"	100	5641	8966	7671	0	0	0.756620428751576	0	0	0.378310214375788	0	0	2.64817150063052	0	0	0	0	0	0.378310214375788	0	0.378310214375788	0	0	0	0.126103404791929	0	0	0	0	0	1.63934426229508	93.0643127364439	0	0	0	0	0	0	0	0.126103404791929	0	0.504413619167718	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	105	"AWI"	105	6728	9164	8116	0	0	0.130890052356021	0	0	0	0	0	2.4869109947644	0	0	0	0	0	0.261780104712042	0	1.43979057591623	0	0	0	0	0	0	0	0	0	1.04712041884817	94.5026178010471	0	0	0	0	0	0	0	0	0	0.130890052356021	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	110	"AWI"	110	7398	9546	8627	0	0	0.272851296043656	0	0	0	0	0	1.77353342428377	0	0.136425648021828	0	0	0	0.136425648021828	0	1.36425648021828	0	0	0	0	0	0	0	0	0	0.272851296043656	96.043656207367	0	0	0	0	0	0	0	0	0	0	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	120	"AWI"	120	8677	10905	9568	0	0	0	0	0	0.574052812858783	0	0	3.67393800229621	0.229621125143513	0.114810562571757	0	0	0	0.114810562571757	0	8.49598163030999	0	0	0	0	0	0	0	0	0	0.229621125143513	85.8783008036739	0	0	0	0	0	0	0	0	0	0.68886337543054	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	130	"AWI"	130	9152	13105	10480	0	0	0.100603621730382	0	0	1.30784708249497	0	0	4.32595573440644	0.704225352112676	0.100603621730382	0	0	0	0	0	13.3802816901408	0	0	0	0	0	0.201207243460765	0	0	0	0.301810865191147	78.2696177062374	0	0	0	0	0	0	0	0.201207243460765	0	1.10663983903421	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	140	"AWI"	140	9702	14737	11508	0	0	0	0	0	1.48423005565863	0	0	5.19480519480519	1.11317254174397	0.185528756957328	0	0	0	0	0	13.543599257885	0	0	0	0.0927643784786642	0.278293135435993	0	0	0	0	0.0927643784786642	76.530612244898	0	0	0	0	0	0	0	0.185528756957328	0	1.2987012987013	0	0	0
