"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Orchidaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
363	374	"Le Marais St Boetien"	49.61667	3.81667	160	"AWI"	160	2212	2809	2555	2	100	5	3	0	12	0	62	0	0	0	0	0	0	0	0	0	139	1087	0	0	0	0	89	10	0	0	2	0	0	0	0	1	3	0	36	0	0	0	1	273	0	0	27	12	18	2	0	0	0	0	2	11	8	0	2	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	170	"AWI"	170	2473	2917	2710	0	105	1	1	1	5	0	41	12	0	0	0	3	0	0	0	1	111	630	0	0	0	0	170	27	1	0	1	0	0	0	0	1	2	0	45	0	0	0	0	169	0	0	35	0	1	3	0	0	0	0	0	12	24	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	180	"AWI"	180	2722	3053	2860	0	116	4	3	0	12	0	10	12	1	0	0	2	0	0	0	0	136	2400	0	0	0	0	170	31	0	0	0	0	0	0	1	1	0	2	38	8	0	0	3	199	0	0	18	0	12	0	0	0	0	0	0	30	11	2	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	190	"AWI"	190	2832	3274	3021	1	109	0	3	0	2	0	30	2	0	0	0	0	0	0	0	0	93	1848	0	0	0	0	186	58	0	0	0	0	0	0	0	1	0	3	29	0	0	0	2	215	0	0	17	0	6	0	0	0	0	0	1	37	21	4	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	210	"AWI"	210	3137	3623	3327	1	136	0	10	0	4	0	8	22	0	0	0	3	0	0	0	0	151	458	0	0	0	0	31	60	0	0	0	0	0	0	0	0	0	1	31	0	0	0	9	164	0	0	14	0	4	0	0	0	0	0	0	10	22	2	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	215	"AWI"	215	3251	3731	3421	4	89	0	3	0	0	0	1	19	0	0	0	4	0	0	0	0	137	130	0	0	0	0	45	19	0	0	1	0	0	0	0	0	0	0	19	0	0	0	4	114	0	0	16	0	4	4	0	1	0	0	0	20	15	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	225	"AWI"	225	3420	4218	3704	1	97	1	8	0	1	0	2	16	0	0	0	1	0	0	0	0	128	203	0	0	0	0	16	23	0	0	2	0	0	0	0	0	0	0	27	0	0	0	0	83	0	0	9	0	7	0	0	0	0	1	0	12	8	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	230	"AWI"	230	3515	4540	3871	2	60	0	1	1	3	0	2	3	0	0	4	2	0	0	0	0	115	958	0	0	0	0	3	38	1	0	1	0	0	0	0	1	0	2	55	0	0	0	2	48	0	0	20	0	6	0	0	0	0	0	1	41	9	10	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	235	"AWI"	235	3590	4763	4038	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	21	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	240	"AWI"	240	3710	4935	4223	0	274	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	391	122	0	0	0	0	3	57	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	78	0	0	25	0	5	0	0	0	0	0	0	53	55	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	245	"AWI"	245	3824	5155	4409	0	177	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	135	80	0	0	0	0	2	29	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	54	0	0	17	0	7	0	0	0	0	0	0	26	17	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	255	"AWI"	255	4104	5557	4768	6	439	1	1	2	1	0	3	5	0	0	0	0	0	0	0	0	333	157	0	0	0	0	4	81	0	0	0	0	0	0	0	0	0	0	34	0	0	0	1	173	0	0	47	0	3	0	1	0	0	0	0	98	46	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	265	"AWI"	265	4407	5951	5141	2	285	0	4	2	1	0	5	0	0	0	0	0	0	0	0	0	175	75	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	149	0	0	4	0	2	0	0	0	0	1	0	29	20	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	275	"AWI"	275	4763	6259	5513	6	431	1	18	5	5	0	10	4	0	0	0	0	0	0	1	0	372	645	0	0	0	0	0	135	0	0	0	2	0	0	1	0	0	0	45	0	0	0	0	336	0	0	33	0	2	1	0	0	0	5	0	64	85	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	285	"AWI"	285	5115	6528	5881	7	800	2	4	5	1	0	6	2	0	0	0	0	0	0	0	0	208	300	0	0	0	0	0	92	0	0	0	0	0	0	1	0	0	1	48	0	0	0	0	230	0	0	9	0	22	0	0	0	0	0	0	109	70	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	295	"AWI"	295	5493	6797	6254	2	1076	2	2	2	0	0	22	0	0	0	0	0	0	0	0	0	240	117	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	193	0	0	6	0	30	0	0	0	0	0	0	110	21	1	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	305	"AWI"	305	6054	7032	6630	0	344	0	2	1	0	0	6	4	0	0	0	0	0	0	0	0	513	53	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	120	0	0	18	0	7	0	0	0	0	0	0	149	108	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	315	"AWI"	315	6733	7245	7005	0	20	0	9	0	0	0	3	4	0	0	0	1	0	0	0	0	390	249	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	176	0	0	20	0	0	0	0	0	0	0	0	80	156	0	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	325	"AWI"	325	7101	8478	7605	0	0	0	4	2	2	0	1	1	0	0	0	0	0	0	0	0	461	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	244	0	0	9	0	3	0	0	0	0	0	0	0	207	5	0	0
363	374	"Le Marais St Boetien"	49.61667	3.81667	423	"AWI"	423	11334	12734	12068	0	0	0	21	0	0	0	412	1	0	0	0	0	0	0	0	0	0	1504	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	570	0	0	0	0	0	0	0	17	0	40	0	0	0	0	0	16	0	0	14	0	0
