"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23834	41310	"Stonetor Brook"	50.65556	-3.91	85	"AWI"	85	5044	5461	5251	0	84	0	0	0	0	0	3	0	1	0	43	3	0	94	0	0	133	21	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	1	67	6	0	0	0	1	0	2	1	7	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	86	"AWI"	86	5238	5518	5346	0	78	0	0	1	0	0	4	0	0	0	0	2	0	95	0	0	124	33	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	64	2	0	0	0	1	0	0	1	2	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	87	"AWI"	87	5347	5605	5451	0	159	0	0	1	0	0	3	0	0	0	0	0	0	87	0	0	115	0	0	0	1	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	53	1	0	0	0	5	0	0	1	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	88	"AWI"	88	5383	5733	5556	0	154	0	0	0	0	0	5	0	0	0	0	1	0	106	0	0	73	17	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	46	1	0	0	0	3	0	1	0	7	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	89	"AWI"	89	5416	5914	5659	0	131	0	3	0	0	0	1	0	0	0	0	0	0	154	0	0	55	6	0	0	1	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	56	2	0	0	0	18	0	2	1	4	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	90	"AWI"	90	5436	6101	5758	0	85	0	0	2	0	0	4	0	0	0	0	0	0	103	0	0	115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	35	0	0	0	0	0	63	1	0	0	0	11	0	0	1	7	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	91	"AWI"	91	5598	6135	5853	0	68	0	2	1	0	0	7	0	0	0	0	1	0	186	0	0	69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	89	1	0	0	0	10	0	1	0	10	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	92	"AWI"	92	5742	6169	5950	0	62	2	0	1	0	0	7	0	0	0	0	0	0	169	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	87	2	0	0	0	17	0	2	1	10	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	93	"AWI"	93	5871	6205	6049	0	80	0	2	0	0	0	14	0	0	0	0	1	0	160	0	0	107	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	55	2	0	0	0	18	0	2	0	13	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	94	"AWI"	94	5975	6247	6158	0	61	0	2	1	0	0	6	0	0	0	0	0	0	141	0	0	136	5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	76	1	0	0	0	8	0	2	0	12	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	95	"AWI"	95	6053	6356	6259	0	9	0	0	1	0	0	12	0	0	0	0	0	0	193	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	0	82	1	0	0	0	13	0	1	1	23	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	96	"AWI"	96	6547	6817	6714	0	33	0	0	0	0	0	12	0	0	0	0	0	0	137	0	0	153	3	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	86	2	0	0	0	6	0	1	0	14	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	97	"AWI"	97	7025	7308	7170	0	73	0	0	1	0	0	1	0	0	0	0	0	1	123	0	0	130	6	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	70	1	0	0	0	6	0	0	1	9	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	98	"AWI"	98	7476	7812	7626	0	13	1	1	2	0	0	10	0	0	0	0	0	0	109	0	0	194	8	0	0	1	0	0	0	0	0	0	2	0	0	0	60	0	0	0	0	0	52	0	0	0	0	4	0	2	0	6	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	99	"AWI"	99	7907	8322	8088	0	15	0	0	0	2	0	12	0	0	0	0	1	0	63	0	0	239	16	0	0	0	0	0	0	0	0	0	0	0	1	0	63	0	0	0	0	0	28	1	0	0	0	13	0	0	0	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	100	"AWI"	100	8333	8842	8549	0	6	0	0	0	1	0	10	0	0	0	0	1	1	46	0	0	287	32	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	14	0	0	0	0	4	0	0	0	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	101	"AWI"	101	8514	9031	8705	0	2	0	0	0	1	0	19	1	0	0	0	0	0	131	0	0	255	25	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	1	0	1	57	0	0	0	0	6	0	2	0	12	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	102	"AWI"	102	8574	9423	8852	0	0	0	0	0	1	0	15	0	0	0	0	0	0	42	0	0	243	49	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	23	1	0	0	0	2	0	1	0	4	0
