"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15701	24091	"Sommersüss"	46.759926	11.680222	110	"AWI"	110	6613	7572	7078	1	0	19	0	4	0	10	0	113	0	0	0	0	0	0	0	0	0	17	0	0	41	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	237	0	0	0	0	0	0	23	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	115	"AWI"	115	6706	7699	7200	0	0	15	0	3	0	4	0	98	0	0	0	0	0	0	0	0	0	13	0	0	38	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	205	0	0	0	0	0	0	14	0	1	0	0	0	1	0	0	0	0	0	0	0	7	3	0	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	120	"AWI"	120	6765	7913	7305	0	0	24	0	2	0	3	0	261	0	2	1	0	0	0	0	0	0	14	0	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	202	437	0	0	0	0	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0	8	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	125	"AWI"	125	6888	8044	7425	0	0	5	1	0	0	6	0	81	0	0	0	0	0	0	0	0	0	6	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	143	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	130	"AWI"	130	6965	8240	7538	0	0	12	0	1	0	2	0	100	0	0	0	0	0	0	0	0	0	12	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	149	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	135	"AWI"	135	7074	8363	7662	1	1	28	1	1	0	5	0	197	0	1	0	0	0	0	0	0	0	20	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	250	0	0	0	0	0	0	25	0	0	0	1	0	1	0	0	0	0	0	0	0	7	5	0	2	0
15701	24091	"Sommersüss"	46.759926	11.680222	140	"AWI"	140	7141	8527	7778	0	0	8	0	3	0	0	0	70	0	1	0	0	0	0	0	0	0	5	0	0	40	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	175	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	145	"AWI"	145	7255	8622	7892	0	0	21	0	2	0	1	0	99	0	0	0	0	0	0	0	0	0	19	0	0	47	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	163	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	150	"AWI"	150	7321	8778	8017	0	0	7	0	2	0	2	0	40	0	0	2	0	0	0	0	0	0	8	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	107	487	0	0	0	0	0	10	0	0	0	2	0	1	1	0	0	0	0	0	0	3	2	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	155	"AWI"	155	7442	8884	8128	1	0	6	1	0	0	5	0	34	0	0	0	0	0	0	0	0	0	6	0	0	86	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	135	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	161	"AWI"	161	7536	9025	8263	0	0	7	0	2	0	3	0	41	0	0	1	0	0	0	0	2	0	4	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	9	0	0	0	0	0	0	3	0	1	0	3	0	4	0	0	0	0	0	0	0	7	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	165	"AWI"	165	7656	9092	8359	0	0	3	3	3	0	7	0	91	0	1	0	0	0	0	0	0	0	4	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	1	0	1	10	3	3	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	170	"AWI"	170	7749	9237	8481	0	0	3	0	0	0	2	0	9	0	1	0	0	0	0	0	0	0	7	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	3	926	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	11	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	175	"AWI"	175	7894	9313	8606	0	0	5	2	2	0	4	0	48	0	0	0	0	0	0	0	0	0	2	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	1	13	7	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	180	"AWI"	180	7998	9445	8732	0	0	15	1	4	0	3	0	112	0	2	0	0	0	0	0	0	0	15	0	0	40	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	0	5	865	0	0	0	0	0	5	0	0	0	2	0	16	0	0	0	0	1	0	1	21	4	0	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	185	"AWI"	185	8123	9511	8853	0	0	3	0	0	0	4	0	50	0	1	0	0	0	0	0	0	0	9	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	2	1	0	0	0	0	0	0	9	4	0	2	0
15701	24091	"Sommersüss"	46.759926	11.680222	190	"AWI"	190	8207	9630	8973	0	0	9	0	0	0	0	0	83	0	1	0	0	0	0	0	0	0	4	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	586	0	0	0	0	0	6	0	0	0	1	0	6	0	0	0	1	0	1	0	3	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	195	"AWI"	195	8362	9736	9096	0	1	4	2	5	0	2	0	90	0	0	1	0	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	5	6	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	200	"AWI"	200	8466	9853	9221	0	0	12	4	7	0	13	0	197	0	4	0	0	0	0	0	0	0	8	0	0	197	1	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	556	0	0	0	0	0	11	0	0	0	8	0	1	0	0	0	0	0	0	2	10	6	0	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	205	"AWI"	205	8636	9923	9338	0	0	10	2	4	0	15	0	70	0	1	0	0	0	0	0	0	0	4	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	210	"AWI"	210	8742	10020	9463	0	0	4	1	6	0	4	0	78	0	0	0	0	0	0	0	1	0	5	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	813	0	0	0	0	0	2	0	0	0	1	0	5	0	0	0	0	0	0	0	3	7	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	215	"AWI"	215	8894	10085	9580	0	0	3	0	1	0	2	0	42	0	0	0	0	0	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	689	0	0	0	0	0	4	0	0	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	220	"AWI"	220	8993	10202	9705	0	0	12	0	2	0	3	0	89	0	1	0	0	0	0	0	1	0	3	0	0	84	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	812	0	0	0	0	0	8	0	0	0	0	0	6	1	0	0	0	0	0	1	2	6	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	225	"AWI"	225	9211	10252	9822	0	0	10	3	2	0	9	0	59	0	0	0	0	0	0	0	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	852	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	1	0	3	1	0	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	230	"AWI"	230	9350	10344	9939	0	0	7	2	0	0	10	0	115	0	1	0	0	0	0	0	0	0	1	0	0	51	2	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	1	832	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	2	0	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	235	"AWI"	235	9531	10395	10047	0	0	8	2	1	0	8	0	107	0	0	1	0	0	0	0	0	0	1	0	0	51	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	720	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1	1	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	240	"AWI"	240	9648	10481	10159	0	0	8	3	5	0	5	0	106	0	0	0	0	0	0	0	0	0	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	17	0	0	0	0	0	0	15	0	0	0	1	0	1	0	0	0	0	0	0	0	11	1	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	245	"AWI"	245	9865	10541	10259	0	0	3	0	1	0	7	0	66	0	0	0	0	0	0	0	0	0	9	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	9	720	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	250	"AWI"	250	9985	10664	10373	0	0	4	1	5	0	6	0	71	0	1	0	0	0	0	0	0	0	9	0	0	73	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	0	4	610	0	0	0	0	0	7	0	0	0	1	0	3	0	0	0	1	0	0	1	3	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	255	"AWI"	255	10085	10793	10478	0	0	13	1	3	0	5	0	95	0	0	0	0	0	0	0	0	0	5	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	14	0	0	0	6	0	7	0	0	0	0	0	0	1	6	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	260	"AWI"	260	10157	11010	10571	0	0	4	3	0	0	3	0	61	0	0	0	0	0	0	0	0	0	2	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	771	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	7	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	265	"AWI"	265	10262	11109	10679	0	0	10	1	3	0	3	0	98	0	0	0	0	0	0	0	0	0	6	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	3	713	0	0	0	0	0	13	0	0	0	0	0	14	0	0	0	2	0	0	0	9	3	0	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	270	"AWI"	270	10330	11282	10776	0	3	9	1	1	0	3	0	74	0	1	0	0	0	0	0	0	0	7	0	0	40	0	0	0	0	0	0	0	0	0	0	0	3	0	7	1	0	0	0	5	876	0	0	0	0	0	15	0	0	0	1	0	14	0	0	0	0	0	0	2	13	9	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	275	"AWI"	275	10440	11370	10885	0	0	1	0	2	0	1	0	43	0	0	0	0	0	0	0	0	0	5	0	0	30	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	2	753	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	3	3	0	1	0
15701	24091	"Sommersüss"	46.759926	11.680222	280	"AWI"	280	10514	11502	10990	0	0	12	1	2	0	4	0	125	0	0	0	0	0	0	0	0	0	6	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	917	0	0	0	0	0	5	0	0	0	1	0	7	0	0	0	0	0	0	1	6	8	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	285	"AWI"	285	10644	11578	11097	0	0	6	0	0	0	3	0	79	0	1	0	0	0	0	0	0	0	4	0	0	45	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	3	937	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	7	8	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	290	"AWI"	290	10715	11692	11204	0	0	7	2	1	0	4	0	87	0	0	0	0	0	0	0	0	0	2	0	0	155	0	0	0	1	0	0	0	0	0	0	0	2	0	6	1	0	0	0	3	827	0	0	0	0	0	5	0	0	0	2	0	6	0	0	0	0	0	0	0	6	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	295	"AWI"	295	10841	11763	11306	0	0	6	0	1	0	6	0	47	0	0	0	0	0	0	0	0	0	1	0	0	94	1	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	3	881	0	0	0	1	0	4	0	0	0	1	0	9	0	0	0	0	0	0	2	3	7	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	300	"AWI"	300	10924	11872	11413	0	0	3	3	0	0	7	0	47	0	1	0	0	0	0	0	0	0	1	0	0	97	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	3	714	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	2	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	305	"AWI"	305	11104	11927	11513	0	0	8	0	2	0	3	0	49	0	0	0	0	0	0	0	0	0	2	0	0	68	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	1	824	0	0	0	0	0	4	0	0	0	1	0	11	0	0	0	0	0	0	0	1	0	1	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	310	"AWI"	310	11210	12027	11620	0	1	10	1	0	0	21	0	106	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0	0	0	0	0	0	0	0	0	0	12	0	5	1	0	0	0	1	752	0	0	0	0	0	7	0	0	0	2	0	2	0	0	0	0	0	0	2	2	4	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	315	"AWI"	315	11335	12106	11748	0	1	9	3	1	0	15	0	106	0	0	0	0	0	0	0	0	0	1	0	0	39	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	1	0	0	1	831	0	0	0	0	0	6	0	0	0	1	0	3	0	0	0	1	1	0	0	3	2	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	320	"AWI"	320	11404	12266	11874	0	0	14	1	7	0	20	0	148	0	1	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	16	0	6	1	0	0	0	0	690	0	0	0	0	0	11	0	0	0	3	0	8	0	0	0	0	0	0	1	0	5	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	325	"AWI"	325	11541	12337	11984	0	0	5	0	2	0	17	0	98	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	10	0	9	1	0	0	0	0	516	0	0	0	0	0	6	0	0	0	1	0	4	1	0	0	0	2	0	3	0	2	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	330	"AWI"	330	11620	12458	12100	0	1	9	2	2	0	19	0	136	0	1	0	0	0	0	0	0	0	1	0	0	50	2	0	0	0	0	0	0	0	0	0	0	8	0	10	1	0	0	0	1	699	0	0	0	0	0	11	0	0	0	1	0	3	1	0	0	0	0	0	0	3	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	335	"AWI"	335	11721	12520	12175	0	0	4	2	5	0	20	0	128	0	0	0	0	0	0	0	0	0	1	0	0	59	1	0	0	0	0	0	0	0	0	0	0	20	0	7	0	0	0	0	0	703	0	0	0	0	0	8	0	0	0	2	0	3	0	0	0	0	0	0	2	1	0	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	340	"AWI"	340	11796	12610	12252	0	1	5	4	5	0	29	0	172	0	0	0	0	0	0	0	0	0	2	0	0	69	1	0	0	0	0	0	0	0	0	0	0	29	0	21	1	0	0	0	1	689	0	0	0	0	0	6	0	0	0	2	0	7	0	0	0	0	0	0	3	0	3	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	345	"AWI"	345	11909	12664	12331	0	0	7	5	3	0	17	0	148	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	19	0	15	3	0	0	0	1	644	0	0	0	0	0	6	0	0	0	2	0	3	0	0	0	0	0	0	1	0	1	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	350	"AWI"	350	11984	12735	12410	0	1	6	4	4	0	41	0	177	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0	1	0	0	0	0	0	0	0	26	0	19	0	0	0	0	1	704	0	0	0	0	0	10	0	0	0	5	0	1	0	0	0	2	0	0	4	0	0	0	0	0
15701	24091	"Sommersüss"	46.759926	11.680222	355	"AWI"	355	12115	12779	12486	0	0	5	5	9	0	42	0	158	0	1	0	0	0	0	0	0	0	0	0	0	67	1	0	0	0	0	0	0	0	0	0	0	21	0	11	0	0	0	0	1	593	0	0	0	0	0	8	0	0	0	3	0	2	0	0	0	0	0	0	3	2	1	0	1	0
