"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23847	41335	"Hares Down"	50.97806	-3.64389	40	"AWI"	40	421	925	684	0	0	0.451467268623025	0.451467268623025	0.225733634311512	0	0	0	0.90293453724605	0	0.225733634311512	0	0	0	0.677200902934537	5.4176072234763	0	30.9255079006772	0	0	0	0.677200902934537	0.225733634311512	0	0	0	0	0	0	0	0	0	0	0.451467268623025	0.225733634311512	0	50.3386004514673	0	0	0	6.99774266365688	1.58013544018059	0	0.225733634311512	0	0	0	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	44	"AWI"	44	524	960	757	0	0	0.657894736842105	0	0	0	0	4.82456140350877	0.657894736842105	0	0	0	0	0	0.657894736842105	4.60526315789474	0	24.5614035087719	0	0.219298245614035	0	0.657894736842105	0.43859649122807	0	0	0.219298245614035	0	0	0	0	0	0	0.219298245614035	0.43859649122807	0.219298245614035	0	50	0	0	0	10.0877192982456	1.09649122807018	0	0.219298245614035	0	0	0	0	0	0.219298245614035	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	48	"AWI"	48	588	1020	833	0	0	1.02249488752556	0	0	0.613496932515337	0	3.68098159509202	0.613496932515337	0	0	0	0	0	0.204498977505113	4.08997955010225	0	19.6319018404908	5.93047034764826	0	0	1.22699386503067	0.81799591002045	0.204498977505113	0	0.204498977505113	0	0	0.204498977505113	0	0	0.204498977505113	0.204498977505113	0	0	0	47.4437627811861	0	0	0	12.2699386503067	1.02249488752556	0	0	0	0.204498977505113	0	0	0	0	0	0.204498977505113
23847	41335	"Hares Down"	50.97806	-3.64389	52	"AWI"	52	710	1097	907	0	0	0.663716814159292	0	0.442477876106195	0	0	0	1.54867256637168	0.221238938053097	0.221238938053097	0	0	0	0.442477876106195	3.31858407079646	0	29.8672566371681	4.64601769911504	1.10619469026549	0	0.221238938053097	0.221238938053097	0	0	0.221238938053097	0	0.884955752212389	0	0	0	0	0	0	0	0	42.9203539823009	0	0	0	10.6194690265487	1.99115044247788	0	0.221238938053097	0	0	0	0.221238938053097	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	56	"AWI"	56	833	1167	989	0	0	1.27931769722815	0.213219616204691	0.213219616204691	0	0	4.47761194029851	0.426439232409382	0	0	0	0	0	0	2.13219616204691	0	29.8507462686567	0	0	0	0.852878464818763	0	0.213219616204691	0	0.213219616204691	0	0	0	0	0	0	0.213219616204691	0	0.426439232409382	0	40.5117270788913	0	0	0	16.4179104477612	1.91897654584222	0	0.213219616204691	0	0.213219616204691	0	0	0	0	0	0.213219616204691
23847	41335	"Hares Down"	50.97806	-3.64389	60	"AWI"	60	908	1298	1072	0	0	1.37931034482759	0.344827586206897	0.689655172413793	0	0	12.7586206896552	1.37931034482759	1.03448275862069	0	0	0	0	0.344827586206897	3.10344827586207	0.344827586206897	64.4827586206897	0	0	0	0.689655172413793	0	0	0	0	0	0	0	0	0	0	0	0	1.03448275862069	0	0	0	0	0	12.4137931034483	0	0	0	0	0	0	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	64	"AWI"	64	998	1436	1198	0	0	1.91082802547771	0	0.318471337579618	0	0	0	1.59235668789809	0	0	0	0	0	0.318471337579618	3.5031847133758	0	79.2993630573248	0	0	0	0.955414012738854	0	0	0	0	0	0	0	0	0	0	0	0	0.636942675159236	0	0	0	0	0.318471337579618	9.87261146496815	0.318471337579618	0	0.318471337579618	0	0.318471337579618	0	0	0	0	0.318471337579618	0
23847	41335	"Hares Down"	50.97806	-3.64389	68	"AWI"	68	1041	1672	1313	0	0	6.14754098360656	0.409836065573771	0	0	0	0	1.22950819672131	0.409836065573771	0	0	0	0	0	5.32786885245902	0	75	0	0	0	0.409836065573771	0	0	0	0	0	0	0	0	0	0	0	0	0.819672131147541	0	0	0	0	0	7.37704918032787	1.22950819672131	0	0.409836065573771	0	0.819672131147541	0	0	0	0.409836065573771	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	72	"AWI"	72	1135	1824	1435	0	0	2.5974025974026	0	0.324675324675325	0	0	0	0.974025974025974	0	0	0	0	0	0	2.5974025974026	0	84.0909090909091	0	0	0	0	0.649350649350649	0	0	0.324675324675325	0.324675324675325	0	0	0	0	0	0	0.324675324675325	0.649350649350649	0	0	0	0	0	5.84415584415584	1.2987012987013	0	0	0	0	0	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	76	"AWI"	76	1218	1899	1578	0	0	5.42635658914729	0.387596899224806	0	0.387596899224806	0	0	1.16279069767442	0	0	0	0	0	0	2.32558139534884	0	75.1937984496124	0	0	0	0.775193798449612	0	0.387596899224806	0	0	0	0	0	0	0	0	0	0.387596899224806	0.775193798449612	0	0	0	0.387596899224806	0	10.4651162790698	0.387596899224806	0	0	0	0.387596899224806	0.387596899224806	0.387596899224806	0	0	0.387596899224806	0
23847	41335	"Hares Down"	50.97806	-3.64389	80	"AWI"	80	1265	2018	1713	0	0	11.3475177304965	0	0	0	0	0	1.41843971631206	0.709219858156028	0	0	0	0	0.709219858156028	5.67375886524823	0	57.4468085106383	0	0	0	0.709219858156028	0	0	0	0	0	0	0	0	1.41843971631206	0	0	0	2.12765957446809	0	0	0	0	0	9.9290780141844	3.54609929078014	0	1.41843971631206	0	0.709219858156028	2.12765957446809	0	0	0	0.709219858156028	0
23847	41335	"Hares Down"	50.97806	-3.64389	84	"AWI"	84	1534	2057	1823	0	0	12.5786163522013	0	1.25786163522013	0	0	0	0	0	0	0	0	0	1.88679245283019	9.43396226415094	0	54.7169811320755	0	0	0	0	0	0.628930817610063	0.628930817610063	0	0	0	0	0	0	0	0	0	0.628930817610063	0	0	0	0	0	13.8364779874214	3.77358490566038	0	0	0	0	0.628930817610063	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	88	"AWI"	88	1729	2120	1943	0	0	15.9420289855072	0	0	0	0	0	1.44927536231884	0	0	0	0	0	0	6.52173913043478	0	44.9275362318841	0	0	0	1.44927536231884	0	0.72463768115942	4.34782608695652	0	0	0	0	0	0	0.72463768115942	0	0	2.17391304347826	0	0	0.72463768115942	0	0	15.2173913043478	2.17391304347826	0	0.72463768115942	0	0	2.89855072463768	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	92	"AWI"	92	1832	2198	2032	0	0	11.4864864864865	1.35135135135135	0	0	0	0	1.35135135135135	0.675675675675676	0	0.675675675675676	0	0	0.675675675675676	10.8108108108108	0	51.3513513513513	0	0	0	0	0	0	0	0.675675675675676	0	0	0	0	0	0	0	0	1.35135135135135	0	0	0	0	0	15.5405405405405	2.7027027027027	0	0	0	0	0	0.675675675675676	0	0	0.675675675675676	0
23847	41335	"Hares Down"	50.97806	-3.64389	96	"AWI"	96	1906	2247	2094	0	0	24.7619047619048	0	0	0	0	0	0	0	0	0	0	0	1.9047619047619	8.57142857142857	0	40.9523809523809	0	0	0	0	0	0.476190476190476	0	0.476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.5238095238095	1.9047619047619	0	0	0	0	0	1.42857142857143	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	100	"AWI"	100	1951	2336	2149	0	0	27.9279279279279	0	0.45045045045045	0	0	0	1.8018018018018	0.900900900900901	0	0.45045045045045	0	0	0.900900900900901	14.4144144144144	0	33.3333333333333	0	0	0	0	0	0.45045045045045	0	0	0	0	0	0.45045045045045	0	0	0	0	0.45045045045045	0	0	0	0	0	16.2162162162162	0.900900900900901	0	0	0	0.45045045045045	0.900900900900901	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	104	"AWI"	104	2009	2362	2199	0	0	20.5	0	0	0	0	0	2	0	0	0	0	0	2	12	0	45	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13.5	0.5	0	1	0	0	0	0.5	0	0	0	0.5
