"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
26148	45393	"Vällamäe"	57.73722	27.06917	350	"AWI"	350	752	1124	951	8	0	2	0	58	0	2	0	0	56	74	0	2	0	0	0	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	395	"AWI"	395	893	1233	1087	10	2	2	0	80	6	2	0	0	48	52	6	2	0	0	2	2	2
26148	45393	"Vällamäe"	57.73722	27.06917	410	"AWI"	410	937	1269	1132	30	0	0	0	84	2	0	2	2	44	40	0	2	0	0	0	0	4
26148	45393	"Vällamäe"	57.73722	27.06917	435	"AWI"	435	1049	1318	1210	16	0	0	0	84	4	0	0	0	64	32	0	2	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	455	"AWI"	455	1157	1371	1283	34	0	2	0	130	4	0	0	0	4	24	0	2	0	0	2	0	8
26148	45393	"Vällamäe"	57.73722	27.06917	475	"AWI"	475	1207	1485	1344	50	0	0	0	82	4	2	0	2	20	36	0	0	0	0	4	6	4
26148	45393	"Vällamäe"	57.73722	27.06917	495	"AWI"	495	1253	1617	1410	26	0	2	0	74	2	0	4	0	32	64	0	2	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	515	"AWI"	515	1299	1742	1488	22	0	0	0	84	8	2	2	0	44	42	0	4	0	0	2	2	6
26148	45393	"Vällamäe"	57.73722	27.06917	535	"AWI"	535	1369	1813	1565	50	2	0	0	76	12	0	4	2	40	28	0	2	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	580	"AWI"	580	1510	1985	1748	24	0	0	0	126	12	2	0	4	14	24	0	4	2	0	0	2	2
26148	45393	"Vällamäe"	57.73722	27.06917	610	"AWI"	610	1622	2095	1871	32	0	0	0	94	12	0	2	2	36	32	0	2	0	0	0	2	6
26148	45393	"Vällamäe"	57.73722	27.06917	630	"AWI"	630	1709	2152	1949	36	2	0	2	62	12	0	0	0	36	56	0	2	0	0	4	2	6
26148	45393	"Vällamäe"	57.73722	27.06917	655	"AWI"	655	1810	2221	2049	28	0	0	0	64	4	0	2	0	60	38	0	2	0	0	0	2	12
26148	45393	"Vällamäe"	57.73722	27.06917	690	"AWI"	690	2019	2300	2181	16	0	0	0	36	4	2	0	2	108	24	0	2	0	0	4	2	10
26148	45393	"Vällamäe"	57.73722	27.06917	705	"AWI"	705	2100	2346	2249	30	0	0	0	42	16	0	0	0	100	10	0	2	0	0	6	2	8
26148	45393	"Vällamäe"	57.73722	27.06917	765	"AWI"	765	2331	2659	2525	28	0	0	0	72	12	0	6	2	48	26	0	6	2	0	4	4	30
26148	45393	"Vällamäe"	57.73722	27.06917	750	"AWI"	750	2262	2628	2444	20	0	2	0	42	20	0	0	0	96	20	0	2	0	0	6	2	16
26148	45393	"Vällamäe"	57.73722	27.06917	729	"AWI"	729	2190	2523	2351	16	0	0	0	38	20	0	0	2	108	18	0	6	0	0	2	4	10
26148	45393	"Vällamäe"	57.73722	27.06917	785	"AWI"	785	2426	2783	2639	50	2	2	0	64	20	2	0	0	12	32	0	6	2	0	2	6	24
26148	45393	"Vällamäe"	57.73722	27.06917	810	"AWI"	810	2540	3032	2789	28	0	0	0	76	12	0	0	0	28	30	0	4	0	0	6	6	24
26148	45393	"Vällamäe"	57.73722	27.06917	830	"AWI"	830	2649	3182	2923	26	0	2	0	56	8	2	2	0	84	22	0	4	0	0	4	12	16
26148	45393	"Vällamäe"	57.73722	27.06917	860	"AWI"	860	2906	3297	3127	24	0	2	0	40	12	0	0	2	84	40	0	2	2	0	4	8	20
26148	45393	"Vällamäe"	57.73722	27.06917	880	"AWI"	880	3066	3379	3255	24	0	0	0	38	20	0	0	0	88	16	0	10	0	0	2	4	20
26148	45393	"Vällamäe"	57.73722	27.06917	910	"AWI"	910	3201	3573	3391	46	0	0	0	48	16	2	4	4	52	22	0	4	0	0	8	4	24
26148	45393	"Vällamäe"	57.73722	27.06917	930	"AWI"	930	3280	3688	3479	44	0	0	0	52	20	0	0	2	50	18	0	2	0	2	8	12	32
26148	45393	"Vällamäe"	57.73722	27.06917	975	"AWI"	975	3490	3865	3689	38	0	2	0	40	12	2	0	2	80	20	0	2	0	0	2	4	10
26148	45393	"Vällamäe"	57.73722	27.06917	985	"AWI"	985	3595	3920	3745	46	0	2	0	50	24	0	0	4	28	18	0	6	0	0	2	28	16
26148	45393	"Vällamäe"	57.73722	27.06917	1025	"AWI"	1025	3834	4785	4127	20	0	0	0	20	8	0	0	0	100	16	0	2	0	0	4	18	26
26148	45393	"Vällamäe"	57.73722	27.06917	1045	"AWI"	1045	3979	5167	4427	28	0	0	0	28	16	0	2	0	88	20	0	6	0	0	0	12	20
26148	45393	"Vällamäe"	57.73722	27.06917	1085	"AWI"	1085	4356	5764	5072	42	0	0	0	36	10	0	0	0	60	20	0	4	0	0	0	26	20
26148	45393	"Vällamäe"	57.73722	27.06917	1095	"AWI"	1095	4505	5853	5225	36	0	0	0	36	24	2	0	0	68	16	0	4	0	0	4	18	18
26148	45393	"Vällamäe"	57.73722	27.06917	1105	"AWI"	1105	4610	5977	5395	52	0	0	0	36	16	2	0	0	58	20	0	2	0	0	2	26	16
26148	45393	"Vällamäe"	57.73722	27.06917	1155	"AWI"	1155	5706	6330	6122	34	0	0	0	32	22	0	0	0	58	24	0	2	0	0	2	20	24
26148	45393	"Vällamäe"	57.73722	27.06917	1180	"AWI"	1180	6307	6492	6381	42	0	0	0	44	48	0	2	2	56	12	0	2	0	0	4	36	26
26148	45393	"Vällamäe"	57.73722	27.06917	1195	"AWI"	1195	6359	6684	6491	40	2	2	0	30	76	0	2	0	34	24	0	4	0	0	2	26	42
26148	45393	"Vällamäe"	57.73722	27.06917	1235	"AWI"	1235	6469	7107	6734	42	0	0	0	50	36	2	6	0	16	24	0	2	0	0	0	28	34
26148	45393	"Vällamäe"	57.73722	27.06917	1260	"AWI"	1260	6579	7290	6896	50	0	0	0	32	40	0	0	0	22	26	0	4	0	0	2	50	36
26148	45393	"Vällamäe"	57.73722	27.06917	1295	"AWI"	1295	6787	7496	7125	52	0	0	0	98	40	0	2	0	16	16	0	4	0	0	2	30	24
26148	45393	"Vällamäe"	57.73722	27.06917	1320	"AWI"	1320	7053	7638	7323	28	0	0	0	48	24	18	0	0	26	22	0	2	0	0	0	10	22
26148	45393	"Vällamäe"	57.73722	27.06917	1335	"AWI"	1335	7264	7765	7525	44	0	0	0	90	24	2	0	0	12	24	0	2	0	0	2	4	14
26148	45393	"Vällamäe"	57.73722	27.06917	1350	"AWI"	1350	7468	7994	7758	48	0	2	0	88	160	2	0	0	10	26	0	2	0	0	0	4	36
26148	45393	"Vällamäe"	57.73722	27.06917	1360	"AWI"	1360	7543	8388	7905	44	0	0	0	56	112	2	0	0	4	72	0	2	0	0	0	2	24
26148	45393	"Vällamäe"	57.73722	27.06917	1375	"AWI"	1375	7652	8720	8074	24	0	0	0	52	64	2	2	0	16	96	0	2	0	0	0	2	12
26148	45393	"Vällamäe"	57.73722	27.06917	1395	"AWI"	1395	7765	9042	8270	24	0	0	0	106	140	2	0	0	8	82	0	0	2	0	0	0	42
26148	45393	"Vällamäe"	57.73722	27.06917	1415	"AWI"	1415	7880	9320	8467	2	0	0	0	136	12	0	0	0	6	42	0	0	0	0	2	0	10
26148	45393	"Vällamäe"	57.73722	27.06917	1435	"AWI"	1435	8025	9578	8672	4	0	2	0	114	12	4	0	0	8	40	0	0	0	0	2	0	24
26148	45393	"Vällamäe"	57.73722	27.06917	1465	"AWI"	1465	8235	9973	8981	10	0	2	0	128	12	2	0	0	8	36	0	0	0	0	2	0	12
26148	45393	"Vällamäe"	57.73722	27.06917	1480	"AWI"	1480	8367	10164	9139	2	0	2	0	116	12	2	2	0	4	56	0	0	0	0	2	0	26
26148	45393	"Vällamäe"	57.73722	27.06917	1500	"AWI"	1500	8523	10440	9333	2	0	0	0	86	20	2	2	0	2	76	0	0	0	0	2	0	24
26148	45393	"Vällamäe"	57.73722	27.06917	1507	"AWI"	1507	8576	10515	9410	4	0	0	0	108	2	2	2	0	2	76	0	0	0	0	0	0	12
26148	45393	"Vällamäe"	57.73722	27.06917	1517	"AWI"	1517	8638	10628	9519	2	0	0	0	112	2	0	0	0	2	52	0	0	0	0	4	0	16
26148	45393	"Vällamäe"	57.73722	27.06917	1523	"AWI"	1523	8689	10715	9581	2	0	0	0	128	2	2	0	0	2	42	0	0	0	0	0	0	22
26148	45393	"Vällamäe"	57.73722	27.06917	1527	"AWI"	1527	8734	10738	9618	2	0	0	0	96	0	0	0	0	2	92	0	0	0	0	0	0	12
26148	45393	"Vällamäe"	57.73722	27.06917	1533	"AWI"	1533	8791	10807	9680	2	0	0	0	100	0	0	0	0	2	72	0	0	0	0	0	0	20
26148	45393	"Vällamäe"	57.73722	27.06917	1545	"AWI"	1545	8878	10981	9801	2	0	0	0	64	0	0	0	0	2	110	0	0	0	0	0	0	12
