"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"	"Urticaceae"
3044	3971	"Carrivmoragh"	54.30019	-5.98393	107	"AWI"	107	4391	6246	5055	132	0	2	0	0	0	6	0	0	0	132	20	0	1	7	0	74	0	0	56	1	0	0	0	4	53	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	109	"AWI"	109	4428	6776	5254	150	0	3	0	0	0	4	0	0	0	161	2	4	0	8	0	48	0	0	66	0	3	0	0	0	27	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	111	"AWI"	111	4581	7095	5490	250	0	2	0	0	0	23	0	0	0	244	10	0	0	10	0	103	0	0	38	3	0	0	1	0	51	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	113	"AWI"	113	4802	7237	5772	178	0	4	1	0	0	5	0	0	1	126	20	0	0	0	0	61	0	0	41	2	0	0	0	6	40	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	115	"AWI"	115	4959	7401	6088	182	0	3	0	0	0	10	0	0	0	221	15	0	0	10	0	76	0	0	71	0	0	0	0	0	47	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	119	"AWI"	119	5151	7978	6665	83	0	10	0	0	0	8	0	0	0	158	6	1	0	4	0	142	0	0	25	0	18	0	0	4	32	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	121	"AWI"	121	5387	8240	6911	96	0	9	0	0	0	13	2	0	1	145	18	1	1	3	2	107	0	0	37	3	0	0	0	12	14	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	123	"AWI"	123	5622	8362	7134	30	0	2	2	0	0	15	1	0	0	140	21	0	0	5	0	187	0	0	27	1	18	0	1	11	26	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	125	"AWI"	125	5781	8550	7358	15	0	3	1	0	0	21	0	0	1	163	28	2	1	1	0	147	0	0	34	0	0	0	0	8	45	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	133	"AWI"	133	6261	9784	8069	1	0	1	1	0	0	10	0	0	0	82	330	0	0	0	0	14	0	0	7	0	12	0	0	4	32	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	141	"AWI"	141	6663	10969	8666	4	0	1	3	0	0	26	0	0	0	400	1	0	0	2	0	7	0	0	0	0	0	0	1	15	8	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	149	"AWI"	149	7104	11947	9280	0	1	1	3	0	0	203	0	0	0	67	79	1	0	0	1	17	0	0	2	1	41	0	1	26	3	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	157	"AWI"	157	7611	12885	9881	0	0	0	0	0	0	47	1	0	0	5	23	0	0	0	0	1	0	0	0	0	6	0	0	2	100	0
