"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Malvaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	99	"AWI"	99	4469	5454	5115	0	0	0	7	2	0	198	0	0	0	0	0	0	29	0	0	0	0	7	8	0	0	2	9	206	0	17	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	4	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	104	"AWI"	104	5036	5557	5362	25	0	2	0	2	0	188	0	0	0	3	0	0	0	0	0	0	1	10	8	0	0	0	5	243	0	7	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	109	"AWI"	109	5435	5792	5622	0	0	0	3	3	0	166	1	0	0	1	0	0	0	0	0	0	0	13	13	0	0	0	2	230	0	7	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	114	"AWI"	114	5579	6076	5818	0	0	0	5	2	0	212	0	0	0	0	0	0	0	0	0	0	1	9	13	0	1	0	3	172	0	11	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	119	"AWI"	119	5639	6450	5979	0	0	0	0	0	0	127	0	0	0	0	0	0	0	1	0	0	0	11	11	0	1	0	5	131	0	4	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	3	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	124	"AWI"	124	5809	6594	6157	0	1	1	1	4	0	208	0	0	0	0	0	0	0	0	0	0	0	17	12	0	1	0	4	185	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	129	"AWI"	129	5891	6729	6357	0	2	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	20	6	0	1	0	4	141	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	134	"AWI"	134	6284	6847	6550	14	1	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	20	10	0	1	0	3	161	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	139	"AWI"	139	6533	7068	6766	0	1	3	3	3	0	185	0	0	1	0	0	0	0	0	0	0	1	7	11	0	0	0	1	182	0	11	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	6	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	144	"AWI"	144	6715	7411	7029	0	0	0	0	0	0	172	0	0	1	0	0	0	0	0	0	0	0	16	7	0	0	0	0	109	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	149	"AWI"	149	6800	7975	7282	32	1	0	0	3	0	189	0	0	0	0	0	0	0	0	0	0	0	3	22	0	4	0	3	164	0	7	0	0	1	0	0	0	0	0	0	0	2	3	0	1	1	5	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	154	"AWI"	154	7076	8172	7599	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	1	1	130	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	159	"AWI"	159	7248	8358	7939	12	1	1	0	5	0	243	0	0	0	0	0	0	0	0	1	0	0	6	31	0	0	0	5	187	0	11	1	0	0	0	2	0	0	0	0	0	2	3	0	0	0	3	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	164	"AWI"	164	7854	8480	8221	0	3	1	1	4	0	195	0	0	0	3	0	0	0	0	0	0	0	6	79	0	0	0	1	179	0	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	169	"AWI"	169	8275	8737	8512	0	1	1	0	1	0	112	0	0	0	0	0	0	0	0	0	0	0	21	22	0	0	0	3	173	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	174	"AWI"	174	8477	9211	8798	0	1	0	0	8	0	215	0	0	0	1	0	0	0	0	0	0	0	14	23	0	0	0	4	188	0	26	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	184	"AWI"	184	8795	10027	9368	0	0	0	0	4	0	245	0	0	1	0	0	0	0	2	0	0	0	15	8	0	0	0	3	89	0	26	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	189	"AWI"	189	8936	10256	9717	0	1	0	0	3	0	241	0	0	0	0	0	0	0	0	0	0	0	28	4	0	1	1	2	62	0	23	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	194	"AWI"	194	9411	10383	9971	0	0	2	0	3	0	244	0	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	2	52	0	19	0	4	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	199	"AWI"	199	9709	10513	10237	0	0	2	0	4	0	103	0	0	0	0	0	0	0	0	0	0	0	46	2	0	0	0	1	24	0	13	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	204	"AWI"	204	9878	10657	10394	0	0	0	0	4	0	213	0	0	0	0	0	0	0	0	0	0	0	21	3	0	0	0	1	40	0	22	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	209	"AWI"	209	10022	10893	10526	0	0	1	0	18	0	137	0	0	0	0	0	0	0	1	0	0	0	53	1	0	0	0	0	5	0	10	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	214	"AWI"	214	10148	11053	10640	0	1	0	0	2	0	221	0	0	0	0	0	0	0	0	0	0	0	15	1	0	2	0	2	18	0	19	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	219	"AWI"	219	10248	11259	10750	3	2	0	0	6	0	233	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	12	0	27	0	0	0	0	0	0	0	2	0	0	7	12	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	224	"AWI"	224	10364	11374	10864	0	1	0	1	15	0	240	0	0	0	0	0	0	0	0	0	0	0	26	6	2	0	1	2	5	0	38	0	0	2	0	0	0	0	0	0	1	7	8	0	3	0	0	2
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	229	"AWI"	229	10463	11504	10986	0	1	1	0	10	0	135	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	1	1	9	0	47	0	5	0	0	1	2	0	1	0	1	3	14	0	2	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	234	"AWI"	234	10583	11598	11098	0	2	0	0	0	0	93	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	0	0	4	0	34	0	0	0	0	0	0	0	0	0	0	9	7	0	1	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	239	"AWI"	239	10666	11720	11210	0	3	1	1	7	0	129	0	0	0	0	0	0	10	1	0	0	0	8	10	0	0	0	2	9	0	71	0	9	3	0	1	0	1	0	0	0	16	12	0	2	0	1	1
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	244	"AWI"	244	10786	11802	11319	0	2	1	0	14	0	145	0	0	0	2	0	0	0	1	0	0	0	10	1	0	0	0	2	10	0	61	0	0	1	0	0	0	0	0	0	0	26	20	0	3	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	249	"AWI"	249	10879	11894	11430	0	12	0	0	27	0	39	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	1	19	53	0	1	0	0	1
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	254	"AWI"	254	11014	11968	11542	0	5	1	0	39	0	90	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	13	0	15	0	0	1	0	0	0	0	0	0	1	28	48	0	2	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	259	"AWI"	259	11110	12072	11653	0	8	0	0	90	0	32	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	0	8	38	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	264	"AWI"	264	11248	12141	11757	0	11	0	0	79	0	19	1	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	8	12	0	2	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	269	"AWI"	269	11339	12223	11863	0	20	0	0	144	0	40	1	0	0	0	0	0	0	0	0	0	1	15	2	0	0	0	0	5	0	16	0	0	0	0	1	0	0	0	0	0	16	16	0	2	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	279	"AWI"	279	11532	12351	12027	0	9	0	0	109	0	5	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	284	"AWI"	284	11626	12409	12089	0	11	0	0	92	0	14	1	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	289	"AWI"	289	11703	12481	12142	0	14	0	0	72	0	12	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	33	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	294	"AWI"	294	11804	12529	12201	0	17	0	0	55	0	19	1	0	0	0	11	0	0	1	0	0	0	9	0	0	0	0	1	2	0	10	0	0	0	0	0	0	0	0	0	1	5	39	0	4	0	0	0
